gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
HCN3,,,,no,0.574,0.666,6575,7777,0.213,ENSG00000143630,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3,Cell membrane,,
KCNA3,,,,no,0.303,0.332,3470,3885,0.134,ENSG00000177272,Potassium voltage-gated channel subfamily A member 3 (HGK5) (HLK3) (HPCN3) (Voltage-gated K(+) channel HuKIII) (Voltage-gated potassium channel subunit Kv1.3),Cell membrane,,
KCNA4,,,,no,0.042,0.009,477,101,-2.269,ENSG00000182255,Potassium voltage-gated channel subfamily A member 4 (HPCN2) (Voltage-gated K(+) channel HuKII) (Voltage-gated potassium channel HBK4) (Voltage-gated potassium channel HK1) (Voltage-gated potassium channel subunit Kv1.4),Cell membrane,,
KCNA5,,,,no,0.527,0.303,6036,3546,-0.796,ENSG00000130037,Potassium voltage-gated channel subfamily A member 5 (HPCN1) (Voltage-gated potassium channel HK2) (Voltage-gated potassium channel subunit Kv1.5),Cell membrane,bronchial smooth muscle cell;OFF-bipolar cell,
KCNAB3,,,,no,0.3,0.432,3435,5053,0.528,ENSG00000170049,Voltage-gated potassium channel subunit beta-3 (K(+) channel subunit beta-3) (Kv-beta-3),Cytoplasm,,
KCNB1,,,,no,0.132,0.08,1508,935,-0.719,ENSG00000158445,Potassium voltage-gated channel subfamily B member 1 (Delayed rectifier potassium channel 1) (DRK1) (h-DRK1) (Voltage-gated potassium channel subunit Kv2.1),Cell membrane,neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;retinal rod cell,
KCNC1,,,,no,0.157,0.147,1802,1719,-0.097,ENSG00000129159,Potassium voltage-gated channel subfamily C member 1 (NGK2) (Voltage-gated potassium channel subunit Kv3.1) (Voltage-gated potassium channel subunit Kv4),Cell membrane,,
KCNC3,,,,no,3.397,3.096,38905,36173,-0.134,ENSG00000131398,Potassium voltage-gated channel subfamily C member 3 (KSHIIID) (Voltage-gated potassium channel subunit Kv3.3),Cell membrane,taste receptor cell,
KCNC4,,,,no,3.547,4.923,40629,57520,0.473,ENSG00000116396,Potassium voltage-gated channel subfamily C member 4 (KSHIIIC) (Voltage-gated potassium channel subunit Kv3.4),Membrane,,
KCNF1,,,,no,0.396,0.107,4534,1247,-1.891,ENSG00000162975,Potassium voltage-gated channel subfamily F member 1 (Voltage-gated potassium channel subunit Kv5.1) (kH1),Membrane,,
KCNH1,,,,no,0.232,0.075,2656,871,-1.637,ENSG00000143473,Potassium voltage-gated channel subfamily H member 1 (Ether-a-go-go potassium channel 1) (EAG channel 1) (h-eag) (hEAG1) (Voltage-gated potassium channel subunit Kv10.1),Cell membrane,neuroendocrine cell;chromaffin cell;skeletal muscle fibroblast,
KCNH3,,,,no,0.165,0.201,1889,2348,0.285,ENSG00000135519,Potassium voltage-gated channel subfamily H member 3 (Brain-specific eag-like channel 1) (BEC1) (Ether-a-go-go-like potassium channel 2) (ELK channel 2) (ELK2) (Voltage-gated potassium channel subunit Kv12.2),Membrane,,
KCNH4,,,,no,0.037,0.024,426,282,-0.624,ENSG00000089558,Potassium voltage-gated channel subfamily H member 4 (Brain-specific eag-like channel 2) (BEC2) (Ether-a-go-go-like potassium channel 1) (ELK channel 1) (ELK1) (Voltage-gated potassium channel subunit Kv12.3),Membrane,,
KCNH5,,,,no,0.015,0.009,169,104,-0.729,ENSG00000140015,Potassium voltage-gated channel subfamily H member 5 (Ether-a-go-go potassium channel 2) (hEAG2) (Voltage-gated potassium channel subunit Kv10.2),Membrane,ciliary muscle cell;interneuron;bipolar neuron;retinal bipolar neuron;amacrine cell;sympathetic neuron,
KCNH6,,,,no,0.199,0.185,2279,2160,-0.106,ENSG00000173826,Potassium voltage-gated channel subfamily H member 6 (Ether-a-go-go-related gene potassium channel 2) (ERG-2) (Eag-related protein 2) (Ether-a-go-go-related protein 2) (hERG-2) (hERG2) (Voltage-gated potassium channel subunit Kv11.2),Membrane,lung neuroendocrine cell,
KCNJ10,,,,no,0.057,0.022,658,258,-1.38,ENSG00000177807,"ATP-sensitive inward rectifier potassium channel 10 (ATP-dependent inwardly rectifying potassium channel Kir4.1) (Inward rectifier K(+) channel Kir1.2) (Potassium channel, inwardly rectifying subfamily J member 10)",Membrane,,
KCNJ11,,,,no,1.585,0.987,18151,11533,-0.683,ENSG00000187486,"ATP-sensitive inward rectifier potassium channel 11 (IKATP) (Inward rectifier K(+) channel Kir6.2) (Potassium channel, inwardly rectifying subfamily J member 11)",Membrane,,
KCNJ12,,,,no,0.106,0.126,1213,1473,0.251,ENSG00000184185,"ATP-sensitive inward rectifier potassium channel 12 (Inward rectifier K(+) channel Kir2.2) (IRK-2) (Inward rectifier K(+) channel Kir2.2v) (Potassium channel, inwardly rectifying subfamily J member 12)",Membrane,,
KCNJ15,,,,no,5.832,7.055,66789,82440,0.275,ENSG00000157551,"ATP-sensitive inward rectifier potassium channel 15 (Inward rectifier K(+) channel Kir1.3) (Inward rectifier K(+) channel Kir4.2) (Potassium channel, inwardly rectifying subfamily J member 15)",Membrane,epithelial cell of proximal tubule;cholangiocyte;kidney collecting duct principal cell;renal principal cell;type II pneumocyte;kidney epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle thin descending limb epithelial cell;kidney cell;lung secretory cell,
KCNJ16,,,,no,4.115,3.782,47134,44193,-0.122,ENSG00000153822,"Inward rectifier potassium channel 16 (Inward rectifier K(+) channel Kir5.1) (Potassium channel, inwardly rectifying subfamily J member 16)",Membrane,epithelial cell;epithelial cell of proximal tubule;kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;parietal epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney loop of Henle thin descending limb epithelial cell;kidney cell;kidney collecting duct cell,
KCNJ2,,,,no,0.425,0.411,4866,4799,-0.049,ENSG00000123700,"Inward rectifier potassium channel 2 (Cardiac inward rectifier potassium channel) (Inward rectifier K(+) channel Kir2.1) (IRK-1) (hIRK1) (Potassium channel, inwardly rectifying subfamily J member 2)",Membrane,,
KCNJ6,,,,no,0.373,0.226,4274,2642,-0.723,ENSG00000157542,"G protein-activated inward rectifier potassium channel 2 (GIRK-2) (BIR1) (Inward rectifier K(+) channel Kir3.2) (KATP-2) (Potassium channel, inwardly rectifying subfamily J member 6)",Membrane,type EC enteroendocrine cell;retina horizontal cell;stellate neuron,
KCNJ8,,,,no,12.276,9.242,140598,107987,-0.41,ENSG00000121361,"ATP-sensitive inward rectifier potassium channel 8 (Inward rectifier K(+) channel Kir6.1) (Potassium channel, inwardly rectifying subfamily J member 8) (uKATP-1)",Membrane,interstitial cell of Cajal;capillary endothelial cell;pancreatic D cell;cerebral cortex endothelial cell;pericyte;mural cell,
KCNJ9,,,,no,0.026,0.01,301,120,-1.356,ENSG00000162728,"G protein-activated inward rectifier potassium channel 3 (GIRK-3) (Inward rectifier K(+) channel Kir3.3) (Potassium channel, inwardly rectifying subfamily J member 9)",Membrane,,
KCNK1,,,,no,1.47,0.86,16832,10054,-0.772,ENSG00000135750,Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel K2P1) (Potassium channel KCNO1),Cell membrane,epithelial cell of urethra;cerebellar granule cell,
KCNK10,,,,no,0.454,0.35,5200,4095,-0.374,ENSG00000100433,Potassium channel subfamily K member 10 (Outward rectifying potassium channel protein TREK-2) (TREK-2 K(+) channel subunit),Membrane,,
KCNK13,,,,no,0.317,0.256,3630,2991,-0.308,ENSG00000152315,Potassium channel subfamily K member 13 (Tandem pore domain halothane-inhibited potassium channel 1) (THIK-1),Membrane,,
KCNK16,,,,no,0.714,0.679,8178,7933,-0.073,ENSG00000095981,Potassium channel subfamily K member 16 (2P domain potassium channel Talk-1) (TWIK-related alkaline pH-activated K(+) channel 1) (TALK-1),Membrane,,
KCNK17,,,,no,0.375,0.566,4296,6611,0.593,ENSG00000124780,Potassium channel subfamily K member 17 (2P domain potassium channel Talk-2) (Acid-sensitive potassium channel protein TASK-4) (TWIK-related acid-sensitive K(+) channel 4) (TWIK-related alkaline pH-activated K(+) channel 2) (TALK-2),Membrane,,
KCNK18,,,,no,0.033,,373,0,,ENSG00000186795,Potassium channel subfamily K member 18 (TWIK-related individual potassium channel) (TWIK-related spinal cord potassium channel),Cell membrane,,
KCNK2,,,,no,0.52,0.267,5959,3119,-0.963,ENSG00000082482,Potassium channel subfamily K member 2 (Outward rectifying potassium channel protein TREK-1) (TREK-1 K(+) channel subunit) (Two pore domain potassium channel TREK-1) (Two pore potassium channel TPKC1),Endoplasmic reticulum membrane,kidney interstitial cell,
KCNK3,,,,no,4.414,7.096,50555,82915,0.685,ENSG00000171303,Potassium channel subfamily K member 3 (Acid-sensitive potassium channel protein TASK-1) (TWIK-related acid-sensitive K(+) channel 1) (Two pore potassium channel KT3.1) (Two pore K(+) channel KT3.1),Cell membrane,,
KCNK4,,,,no,0.026,0.01,299,114,-1.42,ENSG00000182450,Potassium channel subfamily K member 4 (TWIK-related arachidonic acid-stimulated potassium channel protein) (TRAAK) (Two pore potassium channel KT4.1) (Two pore K(+) channel KT4.1),Cell membrane,,
KCNK6,,,,no,1.547,2.061,17712,24080,0.414,ENSG00000099337,Potassium channel subfamily K member 6 (Inward rectifying potassium channel protein TWIK-2) (TWIK-originated similarity sequence),Membrane,,
KCNK9,,,,no,0.06,0.028,683,333,-1.065,ENSG00000169427,Potassium channel subfamily K member 9 (Acid-sensitive potassium channel protein TASK-3) (TWIK-related acid-sensitive K(+) channel 3) (Two pore potassium channel KT3.2) (Two pore K(+) channel KT3.2),Cell membrane,,
