gene,detection_pct_0041323,detection_pct_0041326,cell_type,cellchat_pathway,full_name,HALLMARK,KEGG,REACTOME
ALG11,4.295,2.854,,,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",,N-Glycan biosynthesis;Various types of N-glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193;Disease R-HSA-1643685;Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592
ALG13,4.836,3.63,T follicular helper cell,,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,,N-Glycan biosynthesis;Various types of N-glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193;Disease R-HSA-1643685;Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592
ALG2,13.951,13.855,,,"Alpha-1,3/1,6-mannosyltransferase ALG2",,N-Glycan biosynthesis;Various types of N-glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193;Disease R-HSA-1643685;Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592
ALG6,1.502,1.318,,,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",,N-Glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193;Disease R-HSA-1643685;Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592
ALG9,5.602,5.312,,,"Alpha-1,2-mannosyltransferase ALG9",,N-Glycan biosynthesis;Various types of N-glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193;Disease R-HSA-1643685;Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592
ALKBH5,10.582,9.488,,,RNA demethylase ALKBH5,,,DNA Damage Reversal R-HSA-73942;DNA Repair R-HSA-73894;Reversal Of Alkylation Damage By DNA Dioxygenases R-HSA-73943
ALOX12,0.039,0.011,platelet;megakaryocyte,,Polyunsaturated fatty acid lipoxygenase ALOX12,,Arachidonic acid metabolism;Inflammatory mediator regulation of TRP channels;Serotonergic synapse,Arachidonic Acid Metabolism R-HSA-2142753;Biosynthesis Of DHA-derived SPMs R-HSA-9018677;Biosynthesis Of Specialized Proresolving Mediators (SPMs) R-HSA-9018678;Fatty Acid Metabolism R-HSA-8978868;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Synthesis Of 12-Eicosatetraenoic Acid Derivatives R-HSA-2142712;Synthesis Of Lipoxins (LX) R-HSA-2142700
ALPK1,2.463,2.881,,,Alpha-protein kinase 1,,,Alpha-protein Kinase 1 Signaling Pathway R-HSA-9645460;Cytokine Signaling In Immune System R-HSA-1280215;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Interleukin-1 Family Signaling R-HSA-446652;Interleukin-1 Signaling R-HSA-9020702;MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871;MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155;MyD88-independent TLR4 Cascade R-HSA-166166;MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058;Signaling By Interleukins R-HSA-449147;TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989;TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138;Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164;Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016;Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181;Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138;Toll-like Receptor Cascades R-HSA-168898
ALPK3,4.835,2.537,,,Alpha-protein kinase 3,,,
ALX1,0.028,,mesangial cell,,ALX homeobox protein 1 (Cartilage homeoprotein 1) (CART-1),,,
AMACR,1.896,2.441,pulmonary ionocyte;ionocyte,,Alpha-methylacyl-CoA racemase,IL-2/STAT5 Signaling;Bile Acid Metabolism,Peroxisome;Primary bile acid biosynthesis,Beta-oxidation Of pristanoyl-CoA R-HSA-389887;Bile Acid And Bile Salt Metabolism R-HSA-194068;Fatty Acid Metabolism R-HSA-8978868;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Metabolism Of Steroids R-HSA-8957322;Peroxisomal Lipid Metabolism R-HSA-390918;Peroxisomal Protein Import R-HSA-9033241;Protein Localization R-HSA-9609507;Synthesis Of Bile Acids And Bile Salts R-HSA-192105;Synthesis Of Bile Acids And Bile Salts Via 24-Hydroxycholesterol R-HSA-193775;Synthesis Of Bile Acids And Bile Salts Via 7Alpha-Hydroxycholesterol R-HSA-193368
AMER1,1.862,2.185,,,APC membrane recruitment protein 1 (Amer1) (Protein FAM123B) (Wilms tumor gene on the X chromosome protein),,,APC Truncation Mutants Have Impaired AXIN Binding R-HSA-5467337;Beta-catenin Phosphorylation Cascade R-HSA-196299;CTNNB1 S33 Mutants Not Phosphorylated R-HSA-5358747;Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253;Disassembly Of Destruction Complex And Recruitment Of AXIN To Membrane R-HSA-4641262;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Signal Transduction R-HSA-162582;Signaling By WNT R-HSA-195721;Signaling By WNT In Cancer R-HSA-4791275;TCF Dependent Signaling In Response To WNT R-HSA-201681
AMIGO1,1.295,1.354,,,Amphoterin-induced protein 1 (AMIGO-1) (Alivin-2),Apical Junction,,
AMIGO3,0.37,0.332,,,Amphoterin-induced protein 3 (AMIGO-3) (Alivin-3),,,
AMOT,1.824,1.789,,,Angiomotin,Hedgehog Signaling,Hippo signaling pathway;Tight junction,Signal Transduction R-HSA-162582;Signaling By Hippo R-HSA-2028269
ANAPC1,6.197,7.201,,,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),,Cell cycle;Human T-cell leukemia virus 1 infection;Oocyte meiosis;Progesterone-mediated oocyte maturation;Ubiquitin mediated proteolysis,"APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409;APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143;APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048;APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154;APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409;APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178;APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419;Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139;Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136;Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814;Adaptive Immune System R-HSA-1280218;Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168;Assembly Of Pre-Replicative Complex R-HSA-68867;Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084;CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017;Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184;Cell Cycle Checkpoints R-HSA-69620;Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;Cellular Senescence R-HSA-2559583;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169;Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407;DNA Replication Pre-Initiation R-HSA-69002;DNA Replication R-HSA-69306;Disease R-HSA-1643685;Diseases Of Mitotic Cell Cycle R-HSA-9675126;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Immune System R-HSA-168256;Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430;M Phase R-HSA-68886;Mitotic Anaphase R-HSA-68882;Mitotic Metaphase And Anaphase R-HSA-2555396;Mitotic Spindle Checkpoint R-HSA-69618;Phosphorylation Of APC/C R-HSA-176412;RNA Polymerase II Transcription R-HSA-73857;Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408;S Phase R-HSA-69242;Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582;Separation Of Sister Chromatids R-HSA-2467813;Switching Of Origins To A Post-Replicative State R-HSA-69052;Synthesis Of DNA R-HSA-69239;Transcriptional Regulation By VENTX R-HSA-8853884"
ANGPTL3,0.243,0.08,hepatoblast,ANGPTL,Angiopoietin-related protein 3 (Angiopoietin-5) (ANG-5) (Angiopoietin-like protein 3),Xenobiotic Metabolism,Cholesterol metabolism,"Assembly Of Active LPL And LIPC Lipase Complexes R-HSA-8963889;NR1H2 And NR1H3 Regulate Gene Expression Linked To Lipogenesis R-HSA-9029558;NR1H2 And NR1H3-mediated Signaling R-HSA-9024446;Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824;Plasma Lipoprotein Remodeling R-HSA-8963899;Signal Transduction R-HSA-162582;Signaling By Nuclear Receptors R-HSA-9006931;Transport Of Small Molecules R-HSA-382551"
ANGPTL6,0.159,0.261,,,Angiopoietin-related protein 6 (Angiopoietin-like protein 6) (Angiopoietin-related growth factor) (Angiopoietin-related protein 5),,,
ANK1,0.088,0.067,erythrocyte;enucleate erythrocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte;erythroblast;primitive red blood cell,,Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin),heme Metabolism,Proteoglycans in cancer,Asparagine N-linked Glycosylation R-HSA-446203;Axon Guidance R-HSA-422475;CHL1 Interactions R-HSA-447041;COPI-mediated Anterograde Transport R-HSA-6807878;Developmental Biology R-HSA-1266738;ER To Golgi Anterograde Transport R-HSA-199977;Interaction Between L1 And Ankyrins R-HSA-445095;L1CAM Interactions R-HSA-373760;Membrane Trafficking R-HSA-199991;Metabolism Of Proteins R-HSA-392499;Nervous System Development R-HSA-9675108;Neurofascin Interactions R-HSA-447043;NrCAM Interactions R-HSA-447038;Post-translational Protein Modification R-HSA-597592;Transport To Golgi And Subsequent Modification R-HSA-948021;Vesicle-mediated Transport R-HSA-5653656
ANKHD1,10.792,14.004,,,Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK),,,
ANKK1,0.054,0.051,,,Ankyrin repeat and protein kinase domain-containing protein 1,,,
ANKRD13D,1.979,2.838,,,Ankyrin repeat domain-containing protein 13D,,,
ANKRD17,9.613,9.097,,,Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16),,,
ANKRD40,8.601,7.801,,,Ankyrin repeat domain-containing protein 40,,,
ANKS6,3.115,3.198,,,Ankyrin repeat and SAM domain-containing protein 6 (Ankyrin repeat domain-containing protein 14) (SamCystin) (Sterile alpha motif domain-containing protein 6) (SAM domain-containing protein 6),,,
ANKZF1,4.957,6.657,,,tRNA endonuclease ANKZF1,Hypoxia;Glycolysis,,
ANO1,1.94,2.101,basal cell;interstitial cell of Cajal,,Anoctamin-1 (Discovered on gastrointestinal stromal tumors protein 1) (Oral cancer overexpressed protein 2) (Transmembrane protein 16A) (Tumor-amplified and overexpressed sequence 2),KRAS Signaling Up,,Ion Channel Transport R-HSA-983712;Stimuli-sensing Channels R-HSA-2672351;Transport Of Small Molecules R-HSA-382551
ANXA10,2.243,2.876,paneth cell;paneth cell of epithelium of small intestine,,Annexin A10 (Annexin-10) (Annexin-14),KRAS Signaling Up,,
ANXA8,0.071,0.036,basal cell of epithelium of trachea,,Annexin A8 (Annexin VIII) (Annexin-8) (Vascular anticoagulant-beta) (VAC-beta),,,
AP1M1,5.044,5.038,,,AP-1 complex subunit mu-1 (AP-mu chain family member mu1A) (Adaptor protein complex AP-1 subunit mu-1) (Adaptor-related protein complex 1 subunit mu-1) (Clathrin assembly protein complex 1 mu-1 medium chain 1) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor HA1/AP1 adaptin mu-1 subunit) (Mu-adaptin 1) (Mu1A-adaptin),,Human immunodeficiency virus 1 infection;Lysosome,Adaptive Immune System R-HSA-1280218;Disease R-HSA-1643685;Golgi Associated Vesicle Biogenesis R-HSA-432722;HIV Infection R-HSA-162906;Host Interactions Of HIV Factors R-HSA-162909;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Lysosome Vesicle Biogenesis R-HSA-432720;MHC Class II Antigen Presentation R-HSA-2132295;Membrane Trafficking R-HSA-199991;Nef Mediated Downregulation Of MHC Class I Complex Cell Surface Expression R-HSA-164940;Nef-mediated Downmodulation Of Cell Surface Receptors By Recruitment To Clathrin Adapters R-HSA-164938;Neutrophil Degranulation R-HSA-6798695;Role Of Nef In HIV-1 Replication And Disease Pathogenesis R-HSA-164952;Vesicle-mediated Transport R-HSA-5653656;trans-Golgi Network Vesicle Budding R-HSA-199992
AP1S3,2.129,1.35,,,AP-1 complex subunit sigma-3 (Adaptor protein complex AP-1 subunit sigma-1C) (Adaptor-related protein complex 1 subunit sigma-1C) (Clathrin assembly protein complex 1 sigma-1C small chain) (Golgi adaptor HA1/AP1 adaptin sigma-1C subunit) (Sigma 1C subunit of AP-1 clathrin) (Sigma-adaptin 1C) (Sigma1C-adaptin),,Human immunodeficiency virus 1 infection;Lysosome,Adaptive Immune System R-HSA-1280218;Disease R-HSA-1643685;Golgi Associated Vesicle Biogenesis R-HSA-432722;HIV Infection R-HSA-162906;Host Interactions Of HIV Factors R-HSA-162909;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Lysosome Vesicle Biogenesis R-HSA-432720;MHC Class II Antigen Presentation R-HSA-2132295;Membrane Trafficking R-HSA-199991;Nef Mediated Downregulation Of MHC Class I Complex Cell Surface Expression R-HSA-164940;Nef-mediated Downmodulation Of Cell Surface Receptors By Recruitment To Clathrin Adapters R-HSA-164938;Role Of Nef In HIV-1 Replication And Disease Pathogenesis R-HSA-164952;Vesicle-mediated Transport R-HSA-5653656;trans-Golgi Network Vesicle Budding R-HSA-199992
AP2A1,11.32,12.698,Leydig cell;erythroid lineage cell,,AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit),,Endocrine and other factor-regulated calcium reabsorption;Endocytosis;Huntington disease;Synaptic vesicle cycle,"Adaptive Immune System R-HSA-1280218;Axon Guidance R-HSA-422475;Beta-catenin Independent WNT Signaling R-HSA-3858494;Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825;Clathrin-mediated Endocytosis R-HSA-8856828;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721;HIV Infection R-HSA-162906;Host Interactions Of HIV Factors R-HSA-162909;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;L1CAM Interactions R-HSA-373760;LDL Clearance R-HSA-8964038;MHC Class II Antigen Presentation R-HSA-2132295;Membrane Trafficking R-HSA-199991;Nef Mediated CD4 Down-regulation R-HSA-167590;Nef Mediated CD8 Down-regulation R-HSA-182218;Nef-mediated Downmodulation Of Cell Surface Receptors By Recruitment To Clathrin Adapters R-HSA-164938;Nervous System Development R-HSA-9675108;Neuronal System R-HSA-112316;Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314;PCP/CE Pathway R-HSA-4086400;Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824;Plasma Lipoprotein Clearance R-HSA-8964043;Potential Therapeutics For SARS R-HSA-9679191;Recycling Pathway Of L1 R-HSA-437239;Retrograde Neurotrophin Signaling R-HSA-177504;SARS-CoV Infections R-HSA-9679506;Signal Transduction R-HSA-162582;Signaling By NTRK1 (TRKA) R-HSA-187037;Signaling By NTRKs R-HSA-166520;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By WNT R-HSA-195721;Role Of Nef In HIV-1 Replication And Disease Pathogenesis R-HSA-164952;Trafficking Of GluR2-containing AMPA Receptors R-HSA-416993;Transmission Across Chemical Synapses R-HSA-112315;Transport Of Small Molecules R-HSA-382551;VLDLR Internalisation And Degradation R-HSA-8866427;Vesicle-mediated Transport R-HSA-5653656;WNT5A-dependent Internalization Of FZD2, FZD5 And ROR2 R-HSA-5140745;WNT5A-dependent Internalization Of FZD4 R-HSA-5099900"
AP3B2,0.529,0.538,,,AP-3 complex subunit beta-2 (Adaptor protein complex AP-3 subunit beta-2) (Adaptor-related protein complex 3 subunit beta-2) (Beta-3B-adaptin) (Clathrin assembly protein complex 3 beta-2 large chain) (Neuron-specific vesicle coat protein beta-NAP),,Lysosome,
AP3D1,17.299,19.204,,,AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin),,Lysosome,
AP5B1,5.088,4.826,,,AP-5 complex subunit beta-1 (Adaptor-related protein complex 5 beta subunit) (Beta5),,,
APC,2.242,1.79,enteroendocrine cell of small intestine;astrocyte,,Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5),Mitotic Spindle;TGF-beta Signaling,Alzheimer disease;Basal cell carcinoma;Breast cancer;Colorectal cancer;Cushing syndrome;Endometrial cancer;Gastric cancer;Hepatocellular carcinoma;Hippo signaling pathway;Human papillomavirus infection;MicroRNAs in cancer;Pathways in cancer;Pathways of neurodegeneration;Regulation of actin cytoskeleton;Signaling pathways regulating pluripotency of stem cells;Wnt signaling pathway,
APELA,0.032,,,APJ,Apelin receptor early endogenous ligand (Protein Elabela) (ELA) (Protein Toddler),,,
APEX2,1.521,1.799,,,DNA-(apurinic or apyrimidinic site) endonuclease 2,,Base excision repair,
APH1B,1.934,1.925,,,Gamma-secretase subunit APH-1B (APH-1b) (Aph-1beta) (Presenilin-stabilization factor-like),,Alzheimer disease;Notch signaling pathway,"Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948;Amyloid Fiber Formation R-HSA-977225;Axon Guidance R-HSA-422475;Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998;Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862;Death Receptor Signaling R-HSA-73887;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;Metabolism Of Proteins R-HSA-392499;NOTCH2 Activation And Transmission Of Signal To Nucleus R-HSA-2979096;NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507;NOTCH4 Activation And Transmission Of Signal To Nucleus R-HSA-9013700;NRIF Signals Cell Death From Nucleus R-HSA-205043;Nervous System Development R-HSA-9675108;Noncanonical Activation Of NOTCH3 R-HSA-9017802;Nuclear Signaling By ERBB4 R-HSA-1251985;Regulated Proteolysis Of p75NTR R-HSA-193692;Signal Transduction R-HSA-162582;Signaling By ERBB4 R-HSA-1236394;Signaling By NOTCH R-HSA-157118;Signaling By NOTCH1 R-HSA-1980143;Signaling By NOTCH2 R-HSA-1980145;Signaling By NOTCH3 R-HSA-9012852;Signaling By NOTCH4 R-HSA-9013694;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;P75 NTR Receptor-Mediated Signaling R-HSA-193704"
API5,12.976,11.907,,,Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL),,,
APLF,2.679,1.68,,,Aprataxin and PNK-like factor,,,
APOBEC3B,0.255,0.223,,,DNA dC->dU-editing enzyme APOBEC-3B (A3B),,Human immunodeficiency virus 1 infection,Formation Of Editosome R-HSA-75094;Metabolism Of RNA R-HSA-8953854;mRNA Editing R-HSA-75072
APOBEC3D,0.112,0.164,,,DNA dC->dU-editing enzyme APOBEC-3D (A3D) (A3DE),,Human immunodeficiency virus 1 infection,
APOBEC3F,0.385,0.325,,,DNA dC->dU-editing enzyme APOBEC-3F,Complement,Human immunodeficiency virus 1 infection,
APOL1,2.976,3.829,,,Apolipoprotein L1 (Apolipoprotein L) (Apo-L) (ApoL) (Apolipoprotein L-I) (ApoL-I),,African trypanosomiasis,Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Post-translational Protein Phosphorylation R-HSA-8957275;Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426;Scavenging Of Heme From Plasma R-HSA-2168880;Vesicle-mediated Transport R-HSA-5653656
APPBP2,6.49,6.647,,,Amyloid protein-binding protein 2 (Amyloid beta precursor protein-binding protein 2) (APP-BP2) (Protein interacting with APP tail 1),Androgen Response,,
APTX,5.88,5.166,,,Aprataxin,,,
ARFIP1,3.469,3.636,,,Arfaptin-1 (ADP-ribosylation factor-interacting protein 1),Protein Secretion,,
ARHGAP35,10.331,10.862,,,Rho GTPase-activating protein 35 (Glucocorticoid receptor DNA-binding factor 1) (Glucocorticoid receptor repression factor 1) (GRF-1) (Rho GAP p190A) (p190-A),,Focal adhesion;Leukocyte transendothelial migration;Platelet activation;Regulation of actin cytoskeleton,"Axon Guidance R-HSA-422475;CDC42 GTPase Cycle R-HSA-9013148;Developmental Biology R-HSA-1266738;Nervous System Development R-HSA-9675108;PTK6 Regulates RHO GTPases, RAS GTPase And MAP Kinases R-HSA-8849471;RAC1 GTPase Cycle R-HSA-9013149;RAC2 GTPase Cycle R-HSA-9013404;RAC3 GTPase Cycle R-HSA-9013423;RHO GTPase Cycle R-HSA-9012999;RHOA GTPase Cycle R-HSA-8980692;RHOB GTPase Cycle R-HSA-9013026;RHOC GTPase Cycle R-HSA-9013106;RHOD GTPase Cycle R-HSA-9013405;RHOG GTPase Cycle R-HSA-9013408;RHOJ GTPase Cycle R-HSA-9013409;RHOQ GTPase Cycle R-HSA-9013406;RND1 GTPase Cycle R-HSA-9696273;RND2 GTPase Cycle R-HSA-9696270;RND3 GTPase Cycle R-HSA-9696264;Sema4D In Semaphorin Signaling R-HSA-400685;Sema4D Mediated Inhibition Of Cell Attachment And Migration R-HSA-416550;Semaphorin Interactions R-HSA-373755;Signal Transduction R-HSA-162582;Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
ARHGAP36,0.022,,,,Rho GTPase-activating protein 36,,,
ARHGEF2,4.689,7.396,,,Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (Microtubule-regulated Rho-GEF) (Proliferating cell nucleolar antigen p40),Mitotic Spindle,Fluid shear stress and atherosclerosis;Pathogenic Escherichia coli infection;Shigellosis;Tight junction,"Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998;Death Receptor Signaling R-HSA-73887;G Alpha (12/13) Signaling Events R-HSA-416482;GPCR Downstream Signaling R-HSA-388396;NRAGE Signals Death Thru JNK R-HSA-193648;RHO GTPase Cycle R-HSA-9012999;RHOA GTPase Cycle R-HSA-8980692;RHOB GTPase Cycle R-HSA-9013026;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;P75 NTR Receptor-Mediated Signaling R-HSA-193704"
ARID1A,8.211,9.872,,,"AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)",,Hepatocellular carcinoma;Thermogenesis,Chromatin Modifying Enzymes R-HSA-3247509;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;RMTs Methylate Histone Arginines R-HSA-3214858;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243;Transcriptional Regulation By RUNX1 R-HSA-8878171
ARID3B,1.125,1.341,,,AT-rich interactive domain-containing protein 3B (ARID domain-containing protein 3B) (Bright and dead ringer protein) (Bright-like protein),,,
ARL4D,0.418,0.337,endosteal cell,,ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L),,,
ARL8B,14.948,12.581,,,ADP-ribosylation factor-like protein 8B,,Salmonella infection,
ARMC5,0.437,0.44,,,Armadillo repeat-containing protein 5,,Cushing syndrome,
ARMC7,0.674,0.768,,,Armadillo repeat-containing protein 7,,,
ARMH3,3.464,4.542,,,Armadillo-like helical domain-containing protein 3,,,
ARNT,7.834,8.125,,,"Aryl hydrocarbon receptor nuclear translocator (ARNT protein) (Class E basic helix-loop-helix protein 2) (bHLHe2) (Dioxin receptor, nuclear translocator) (Hypoxia-inducible factor 1-beta) (HIF-1-beta) (HIF1-beta)",,Chemical carcinogenesis;Cushing syndrome;HIF-1 signaling pathway;Pathways in cancer;Renal cell carcinoma,
ARNTL,2.412,3.3,,,,,Circadian rhythm;Dopaminergic synapse,
