subpanel,gene,5K_cell_type,5K_pathway,exclude_recommended,detection_pct_0041323,detection_pct_0041326
03_immune_T_cell,LEP,fat cell;epicardial adipocyte,LEP,no,0.034,
03_immune_T_cell,LEPROTL1,"lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T-helper 22 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;naive thymus-derived CD8-positive, alpha-beta T cell;mature T cell;memory T cell;regulatory T cell;naive T cell;DN3 thymocyte;DN1 thymic pro-T cell",,no,2.609,2.501
03_immune_T_cell,LIFR,retinal blood vessel endothelial cell;kidney capillary endothelial cell;lung microvascular endothelial cell;lung endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;endothelial cell of uterus;trophoblast giant cell;Bergmann glial cell;hepatic stellate cell,LIFR;OSM,no,2.837,2.78
03_immune_T_cell,LILRA1,non-classical monocyte;mature NK T cell,,no,0.102,0.135
03_immune_T_cell,LILRA2,"classical monocyte;hematopoietic cell;granulocyte;leukocyte;myeloid leukocyte;monocyte;non-classical monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mature NK T cell;myeloid cell;promonocyte;myelocyte",,no,0.242,0.256
03_immune_T_cell,LILRB1,"myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;mature NK T cell;myeloid cell",MHC-I,no,0.775,1.517
03_immune_T_cell,LIPE,fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,no,0.129,0.106
03_immune_T_cell,LIPG,brush cell;intestinal tuft cell,,no,1.142,0.667
03_immune_T_cell,LMNB1,DN4 thymocyte;precursor B cell;large pre-B-II cell;common dendritic progenitor;hematopoietic precursor cell;pro-B cell;fraction A pre-pro B cell,,no,1.766,1.734
03_immune_T_cell,LPIN1,skeletal muscle fiber;slow muscle cell;fast muscle cell;cell of skeletal muscle;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,,no,3.407,2.936
03_immune_T_cell,LPL,alveolar macrophage;lung macrophage;muscle cell;smooth muscle cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,no,1.849,1.335
03_immune_T_cell,LPXN,T-helper 17 cell;exhausted T cell;group 2 innate lymphoid cell,,no,1.232,1.676
03_immune_T_cell,LRP1,mesenchymal stem cell;endosteal cell;connective tissue cell;fibroblast;keratocyte;preadipocyte;brown preadipocyte;fibroblast of lung;brown fat cell;tendon cell;adventitial cell,MK,no,5.308,6.839
03_immune_T_cell,LTA,"CD4-positive, alpha-beta T cell;CD4-positive helper T cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;regulatory T cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",LT,no,0.05,0.028
03_immune_T_cell,LTBP2,stem cell;mesenchymal stem cell;pulmonary ionocyte;ionocyte;skeletal muscle fibroblast;fibroblast;keratocyte;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;tendon cell;adventitial cell,,no,3.227,2.825
03_immune_T_cell,LTK,mucosal invariant T cell,,no,0.062,0.056
03_immune_T_cell,LYAR,"activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD8-positive, alpha-beta T cell;effector memory CD8-positive, alpha-beta T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;erythroid progenitor cell;proerythroblast;DN1 thymic pro-T cell",,no,1.947,1.497
03_immune_T_cell,MAB21L1,neural crest cell;radial glial cell;Mueller cell;enteric neuron;Cajal-Retzius cell;glycinergic neuron;peripheral nervous system neuron,,no,0.083,0.088
03_immune_T_cell,MACC1,kidney collecting duct principal cell;renal principal cell;lung goblet cell,,no,7.163,5.198
03_immune_T_cell,MAL,"kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney collecting duct intercalated cell;renal principal cell;renal intercalated cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;kidney cell;kidney collecting duct cell",,no,0.12,0.084
03_immune_T_cell,MAOB,lung neuroendocrine cell;pancreatic A cell;decidual cell;basophil;mast cell,,no,3.29,4.212
03_immune_T_cell,MAP1A,"plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;immature T cell;thymocyte;double negative thymocyte;Cajal-Retzius cell;retinal ganglion cell",,no,0.726,0.56
03_immune_T_cell,MAP3K5,basal epithelial cell of prostatic duct;cortical cell of adrenal gland;chorionic trophoblast cell;kidney interstitial fibroblast;papillary tips cell,,no,5.551,4.769
03_immune_T_cell,MAP7,tuft cell of colon;glial cell;macroglial cell;oligodendrocyte;bipolar neuron;retinal bipolar neuron,,no,20.154,20.406
03_immune_T_cell,MAPK1,"CD8-positive, alpha-beta cytokine secreting effector T cell",,no,12.287,10.624
03_immune_T_cell,MCM4,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell,,no,3.96,3.843
03_immune_T_cell,MCM5,T cell;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;macrophage dendritic cell progenitor;pre-conventional dendritic cell,,no,3.895,6.02
03_immune_T_cell,MCM7,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;large pre-B-II cell;primitive red blood cell;fraction A pre-pro B cell,,no,6.862,7.165
03_immune_T_cell,MDFIC,"dermis microvascular lymphatic vessel endothelial cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;fat cell;subcutaneous fat cell;adipocyte of epicardial fat of left ventricle",,no,4.273,5.38
03_immune_T_cell,ME1,lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,,no,1.936,1.181
03_immune_T_cell,MECOM,kidney collecting duct epithelial cell;kidney collecting duct principal cell;basal epithelial cell of prostatic duct;non-pigmented ciliary epithelial cell;renal principal cell;renal alpha-intercalated cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;taste receptor cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney epithelial cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;chorionic trophoblast cell;kidney cell;papillary tips cell;kidney collecting duct cell;lung secretory cell,,no,9.227,6.476
03_immune_T_cell,MELTF,paneth cell;brush cell;intestinal tuft cell,,no,1.6,1.692
03_immune_T_cell,MEST,interstitial cell of Cajal;mesothelial cell;mesothelial cell of pleura;pancreatic D cell;granulosa cell;endosteal cell;ovarian surface epithelial cell;mesodermal cell;placental villous trophoblast;hematopoietic multipotent progenitor cell;pulmonary interstitial fibroblast;fibroblast of lung;bronchus fibroblast of lung;subcutaneous fat cell;chondrocyte;interstitial cell of ovary;mesenchymal cell,,no,2.337,2.651
03_immune_T_cell,MFAP5,mesenchymal stem cell;skeletal muscle fibroblast;extravillous trophoblast;syncytiotrophoblast cell;connective tissue cell;fibroblast;reticular cell;alveolar type 2 fibroblast cell;preadipocyte;brown preadipocyte;skin fibroblast;tendon cell;adventitial cell,,no,0.604,0.344
03_immune_T_cell,MLPH,pneumocyte;type II pneumocyte;lung goblet cell;melanocyte;lung secretory cell,,no,1.809,4.009
03_immune_T_cell,MLXIPL,cholangiocyte;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,no,2.319,2.819
03_immune_T_cell,MME,enterocyte of epithelium of small intestine;epithelial cell of small intestine;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;kidney glomerular epithelial cell;podocyte;precursor B cell;pre-B-I cell;late pro-B cell;pro-B cell;medium spiny neuron;preadipocyte;white fat cell;brown fat cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,no,0.137,0.065
03_immune_T_cell,MMP11,epithelial cell of uterus;uterine smooth muscle cell;trophoblast giant cell;stromal cell;stromal cell of ovary;interstitial cell of ovary,,no,0.226,0.222
03_immune_T_cell,MPO,bone marrow cell;granulocyte monocyte progenitor cell;granulocyte;neutrophil;immature neutrophil;promonocyte;promyelocyte;common dendritic progenitor;macrophage dendritic cell progenitor;basophil mast progenitor cell;myelocyte;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-T cell;early T lineage precursor;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor;common lymphoid progenitor,,no,0.063,0.073
03_immune_T_cell,MPPED2,kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney collecting duct intercalated cell;basal epithelial cell of prostatic duct;renal principal cell;renal intercalated cell;renal alpha-intercalated cell;kidney connecting tubule epithelial cell;melanocyte;papillary tips cell;kidney collecting duct cell,,no,0.716,0.675
03_immune_T_cell,MPZ,glioblast;Schwann cell precursor;neural crest cell,MPZ,no,0.974,1.148
03_immune_T_cell,MSN,"endothelial tip cell;retinal blood vessel endothelial cell;non-classical monocyte;CD14-low, CD16-positive monocyte;CD8-positive, alpha-beta cytokine secreting effector T cell",,no,16.053,19.967
03_immune_T_cell,MTR,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;kidney collecting duct cell,,no,9.784,11.886
03_immune_T_cell,MUC1,goblet cell;respiratory goblet cell;tracheal goblet cell;fallopian tube secretory epithelial cell;duodenum glandular cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;kidney loop of Henle thin ascending limb epithelial cell;serous cell of epithelium of trachea,,no,7.475,10.505
03_immune_T_cell,MUC16,basal cell of epithelium of trachea;epithelial cell;multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;corneal epithelial cell;pulmonary ionocyte;lung goblet cell;glandular epithelial cell;goblet cell;respiratory goblet cell;tracheal goblet cell;fallopian tube secretory epithelial cell;epithelial cell of uterus;brush cell of trachebronchial tree;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;bronchial epithelial cell;ionocyte,,no,0.013,
03_immune_T_cell,MUC5B,intestinal crypt stem cell of colon;lung goblet cell;intestine goblet cell;large intestine goblet cell;colon goblet cell;brush cell of trachebronchial tree;epithelial cell of large intestine;club cell;tracheobronchial serous cell;serous cell of epithelium of trachea,,no,0.182,0.262
03_immune_T_cell,MYC,"mesenchymal stem cell;skeletal muscle satellite stem cell;basal cell of prostate epithelium;tongue muscle cell;skeletal muscle satellite cell;naive thymus-derived CD8-positive, alpha-beta T cell;erythroid lineage cell;erythroid progenitor cell;tendon cell",,no,17.481,11.033
03_immune_T_cell,MYH10,muscle cell;smooth muscle cell;connective tissue cell;fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;bronchus fibroblast of lung;mesothelial fibroblast;mesangial cell,,no,3.705,3.859
03_immune_T_cell,MYLK,basal cell;muscle cell;smooth muscle cell;smooth muscle cell of sphincter of pupil;vascular associated smooth muscle cell;enteric smooth muscle cell;smooth muscle fiber of ileum;uterine smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;ciliary muscle cell;smooth muscle cell of prostate;pulmonary interstitial fibroblast;myofibroblast cell,,no,2.07,2.896
03_immune_T_cell,MYO1B,intrahepatic cholangiocyte;type I pneumocyte;hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;intestinal tuft cell;tuft cell of colon,,no,21.186,20.844
03_immune_T_cell,MYO1E,kidney glomerular epithelial cell;podocyte;melanocyte of skin;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell,,no,6.373,7.443
03_immune_T_cell,NAV2,pigmented epithelial cell;pigmented ciliary epithelial cell;lens fiber cell;secondary lens fiber;alveolar type 2 fibroblast cell,,no,3.723,4.052
03_immune_T_cell,NBL1,enterocyte of epithelium of small intestine;pancreatic D cell;epithelial cell of small intestine;muscle cell;smooth muscle cell;reticular cell;pancreatic stellate cell;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;myofibroblast cell;transit amplifying cell of small intestine,,no,7.136,7.533
03_immune_T_cell,NCR1,"lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human",,no,0.024,0.019
03_immune_T_cell,NCR3,"mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;mature NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;exhausted T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;group 3 innate lymphoid cell",,no,0.05,0.033
03_immune_T_cell,NEIL3,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte",,no,0.093,0.054
03_immune_T_cell,NFE2L3,epithelial cell of thymus;placental villous trophoblast;syncytiotrophoblast cell,,no,1.857,1.936
03_immune_T_cell,NFKB1,"cortical thymic epithelial cell;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;mast cell;mucosal type mast cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;myeloid cell;fibroblast of connective tissue of nonglandular part of prostate",,no,4.659,4.48
03_immune_T_cell,NME1,T cell;erythroid progenitor cell;proerythroblast;pre-conventional dendritic cell;ON-bipolar cell;rod bipolar cell;retinal cone cell,,no,13.364,9.298
03_immune_T_cell,NNAT,glioblast;Schwann cell precursor;neural crest cell;lung neuroendocrine cell;mesodermal cell;radial glial cell;forebrain radial glial cell;enteric neuron;cortical interneuron;cerebral cortex GABAergic interneuron;inhibitory interneuron;neuronal brush cell;Cajal-Retzius cell;GABAergic neuron;peripheral nervous system neuron,,no,0.066,0.027
03_immune_T_cell,NOLC1,"activated CD4-positive, alpha-beta T cell",,no,13.422,12.068
03_immune_T_cell,NONO,glioblast;Schwann cell precursor;neural crest cell;basophil mast progenitor cell;early lymphoid progenitor,,no,43.553,43.032
03_immune_T_cell,NOP2,"activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell",,no,3.299,3.066
03_immune_T_cell,NPM3,"bone marrow cell;granulocyte monocyte progenitor cell;mast cell;mucosal type mast cell;activated CD4-positive, alpha-beta T cell;pro-T cell",,no,10.173,8.638
03_immune_T_cell,NR3C1,type B pancreatic cell;mast cell;mucosal type mast cell;T-helper 2 cell,Aldo;Cort,no,4.017,4.475
03_immune_T_cell,NTN1,corneal endothelial cell;lung goblet cell;regular atrial cardiac myocyte;ciliary muscle cell,Netrin,no,1.445,1.174
03_immune_T_cell,NTS,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of trachea;ependymal cell;glandular epithelial cell;goblet cell;respiratory goblet cell;tracheal goblet cell;type L enteroendocrine cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;endothelial cell of lymphatic vessel;dermis microvascular lymphatic vessel endothelial cell;neuron,NTS,no,0.064,0.029
03_immune_T_cell,NUCB2,"acinar cell of salivary gland;duodenum glandular cell;bone marrow cell;granulocyte monocyte progenitor cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;immature T cell;thymocyte;double negative thymocyte;promyelocyte;pro-T cell;serous cell of epithelium of bronchus;lung secretory cell",,no,39.986,33.989
03_immune_T_cell,NUDT1,bone marrow cell;granulocyte monocyte progenitor cell;mature alpha-beta T cell;mucosal invariant T cell;common dendritic progenitor;macrophage dendritic cell progenitor;pre-conventional dendritic cell;hematopoietic precursor cell;early T lineage precursor,,no,1.819,1.562
03_immune_T_cell,NUSAP1,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",,no,0.434,0.38
03_immune_T_cell,OAS1,goblet cell;respiratory goblet cell;tracheal goblet cell,,no,0.53,0.713
03_immune_T_cell,OLFM2,subcutaneous fat cell,,no,0.919,0.618
03_immune_T_cell,OLFML3,mesenchymal stem cell;interstitial cell of Cajal;Leydig cell;preosteoblast;mesodermal cell;decidual cell;connective tissue cell;fibroblast;keratocyte;pulmonary interstitial fibroblast;fibroblast of lung;bronchus fibroblast of lung;myofibroblast cell;stromal cell;chondrocyte;stromal cell of ovary;interstitial cell of ovary;adventitial cell;mesenchymal cell,,no,6.477,6.57
03_immune_T_cell,OLR1,phagocyte;macrophage;elicited macrophage;inflammatory macrophage;tissue-resident macrophage;alveolar macrophage;central nervous system macrophage;microglial cell;mature microglial cell;lung macrophage;placental villous trophoblast;syncytiotrophoblast cell;hematopoietic cell;granulocyte;basophil;professional antigen presenting cell;myelocyte;granulocytopoietic cell,,no,0.469,0.76
03_immune_T_cell,OSM,hematopoietic cell;blood cell;granulocyte;basophil;leukocyte;myeloid leukocyte;CD4-positive helper T cell;T-helper 17 cell;exhausted T cell;myeloid cell,OSM,no,0.149,0.231
03_immune_T_cell,OSR2,endosteal cell;uterine smooth muscle cell;decidual cell;connective tissue cell;reticular cell;myofibroblast cell;stromal cell;stromal cell of ovary;theca cell;mesenchymal cell,,no,0.322,0.389
03_immune_T_cell,P2RY6,syncytiotrophoblast cell,,no,0.805,0.45
03_immune_T_cell,PAGE4,Hofbauer cell;uterine smooth muscle cell;placental villous trophoblast;syncytiotrophoblast cell;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;stromal cell;stromal cell of ovary;mesenchymal cell,,no,0.042,
03_immune_T_cell,PAK1IP1,"activated CD4-positive, alpha-beta T cell",,no,5.139,3.903
03_immune_T_cell,PALMD,vasa recta descending limb cell;retinal blood vessel endothelial cell;kidney afferent arteriole endothelial cell;kidney efferent arteriole endothelial cell;endothelial cell of artery;lung microvascular endothelial cell;lung endothelial cell;fat cell;white fat cell;adipocyte of breast;adipocyte of epicardial fat of left ventricle,,no,0.728,1.76
03_immune_T_cell,PAPPA,kidney collecting duct epithelial cell;kidney collecting duct principal cell;corneal endothelial cell;renal principal cell;follicular dendritic cell;trophoblast giant cell;preadipocyte;brown preadipocyte;mesothelial fibroblast;kidney collecting duct cell,,no,0.374,0.327
03_immune_T_cell,PAPPA2,non-pigmented ciliary epithelial cell;pancreatic A cell;enteroendocrine cell of colon;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney loop of Henle epithelial cell;trophoblast giant cell,,no,0.73,0.918
03_immune_T_cell,PAX2,kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney collecting duct intercalated cell;renal principal cell;taste receptor cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;parietal epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney loop of Henle thin descending limb epithelial cell;neuron;kidney cell;kidney collecting duct cell,,no,0.058,0.055
03_immune_T_cell,PAX8,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;parietal epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney loop of Henle thin descending limb epithelial cell;kidney cell;papillary tips cell;kidney collecting duct cell,,no,0.332,0.501
03_immune_T_cell,PBX1,kidney interstitial fibroblast;fat cell;mesangial cell;fibro/adipogenic progenitor cell;kidney interstitial cell;papillary tips cell,,no,9.0,8.129
03_immune_T_cell,PBXIP1,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;brush cell;intestinal tuft cell;tuft cell of colon;T-helper 1 cell;memory regulatory T cell;regulatory T cell;late pro-B cell;group 2 innate lymphoid cell",,no,6.081,6.095
03_immune_T_cell,PCNA,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;primitive red blood cell;pre-conventional dendritic cell,,no,8.72,8.294
03_immune_T_cell,PDLIM2,cerebral cortex endothelial cell;syncytiotrophoblast cell;decidual cell;pancreatic stellate cell,,no,0.266,0.33
03_immune_T_cell,PDXDC1,lens epithelial cell;anterior lens cell;secondary lens fiber;skeletal muscle fiber;brown preadipocyte;brown fat cell,,no,28.917,29.424
03_immune_T_cell,PEG10,"lung neuroendocrine cell;pancreatic PP cell;pancreatic epsilon cell;PP cell;cortical cell of adrenal gland;epithelial cell of thymus;cortical thymic epithelial cell;trophoblast giant cell;placental villous trophoblast;syncytiotrophoblast cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;neuron",,no,5.014,4.045
03_immune_T_cell,PENK,pancreatic D cell;neuron;medium spiny neuron;sympathetic neuron;fibroblast of connective tissue of nonglandular part of prostate;myofibroblast cell;chondrocyte;theca cell,OPIOID,no,0.029,
03_immune_T_cell,PFKFB3,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;kidney loop of Henle thin ascending limb epithelial cell;secondary lens fiber;kidney loop of Henle thin descending limb epithelial cell;inflammatory macrophage;liver dendritic cell;fat cell;subcutaneous fat cell;adipocyte of breast;kidney collecting duct cell,,no,4.454,5.828
03_immune_T_cell,PGF,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;endothelial cell;endothelial cell of vascular tree;cerebral cortex endothelial cell;trophoblast giant cell;extravillous trophoblast;syncytiotrophoblast cell;myofibroblast cell,VEGF,no,0.676,0.641
03_immune_T_cell,PGM1,slow muscle cell;fast muscle cell;white fat cell,,no,29.775,31.991
03_immune_T_cell,PGR,pancreatic PP cell;uterine smooth muscle cell;neuron;myofibroblast cell;stromal cell;stromal cell of ovary,5alphaP,no,0.286,0.32
03_immune_T_cell,PHOX2B,glioblast;Schwann cell precursor;neural crest cell;neuroendocrine cell;chromaffin cell;neuron;enteric neuron;visceromotor neuron;peripheral nervous system neuron,,no,0.043,0.01
03_immune_T_cell,PIEZO2,lens epithelial cell;dermis microvascular lymphatic vessel endothelial cell;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;mesothelial fibroblast,,no,0.363,1.116
03_immune_T_cell,PIK3CG,brush cell;intestinal tuft cell;tuft cell of colon,,no,0.895,1.298
03_immune_T_cell,PIK3R1,epithelial cell of thymus;cortical thymic epithelial cell;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;keratocyte,,no,4.493,4.853
03_immune_T_cell,PIM1,"mesothelial cell of pleura;erythrocyte;enucleate erythrocyte;T-helper 17 cell;exhausted T cell;group 2 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;erythroid lineage cell;reticulocyte;enucleated reticulocyte",,no,5.599,5.118
03_immune_T_cell,PIM2,B-1a B cell;plasmablast;IgG plasmablast;IgA plasmablast;T follicular helper cell;naive regulatory T cell;regulatory T cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;group 2 innate lymphoid cell;group 3 innate lymphoid cell,,no,0.595,0.769
03_immune_T_cell,PIP4K2A,"endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;Kupffer cell;melanocyte;enucleate erythrocyte;CD8-positive, alpha-beta cytokine secreting effector T cell;neuron associated cell;glial cell;macroglial cell;oligodendrocyte;Schwann cell",,no,1.855,1.736
03_immune_T_cell,PKHD1,epithelial cell of proximal tubule;cholangiocyte;kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;parietal epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney loop of Henle thin descending limb epithelial cell;kidney cell;kidney collecting duct cell,,no,11.011,14.289
03_immune_T_cell,PKNOX2,melanocyte;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue,,no,0.604,0.774
03_immune_T_cell,PLA2R1,lung goblet cell;acinar cell of salivary gland;epithelial cell of sweat gland;kidney glomerular epithelial cell;podocyte;sebaceous gland cell,,no,0.64,0.541
03_immune_T_cell,PLCG2,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;brush cell;intestinal tuft cell;tuft cell of colon;endothelial cell of lymphatic vessel;ionocyte;melanocyte of skin,,no,1.576,2.24
03_immune_T_cell,PLEKHH2,pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung,,no,2.344,2.445
03_immune_T_cell,PLIN1,fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,no,0.333,0.163
03_immune_T_cell,PLIN2,elicited macrophage;alternatively activated macrophage;extravillous trophoblast;basophil;mast cell;mucosal type mast cell;fibroblast of breast;adventitial cell,,no,3.297,3.076
03_immune_T_cell,PLIN4,fat cell;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,no,3.858,5.8
03_immune_T_cell,PMAIP1,stem cell of epidermis;epithelial cell of lacrimal sac;keratinocyte;urothelial cell;bladder urothelial cell;epithelial cell of uterus;cortical thymic epithelial cell;epidermal cell;conjunctival epithelial cell;naive regulatory T cell;bladder cell,,no,1.459,0.36
03_immune_T_cell,PMCH,"CD4-positive, CD25-positive, alpha-beta regulatory T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;regulatory T cell",PMCH,no,0.066,0.011
03_immune_T_cell,PNPLA2,respiratory goblet cell;tracheal goblet cell;Leydig cell;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,no,13.984,20.259
