subpanel,gene,5K_cell_type,5K_pathway,exclude_recommended,detection_pct_0041323,detection_pct_0041326
03_immune_T_cell,AEBP1,"preosteoblast;bronchial smooth muscle cell;smooth muscle cell of prostate;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;connective tissue cell;fibroblast;keratocyte;reticular cell;pancreatic stellate cell;fibroblast of mammary gland;skin fibroblast;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;tendon cell;adventitial cell",,no,1.583,2.363
03_immune_T_cell,AFAP1L2,"brush cell;intestinal tuft cell;tuft cell of colon;decidual natural killer cell, human",,no,7.496,5.21
03_immune_T_cell,AFF1,renal principal cell;trophoblast giant cell;papillary tips cell,,no,14.823,16.362
03_immune_T_cell,AGR3,epithelial cell;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;intestine goblet cell;large intestine goblet cell;colon goblet cell;small intestine goblet cell;ileal goblet cell;paneth cell of colon;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;lung ciliated cell,,no,0.304,0.223
03_immune_T_cell,AHR,"lung goblet cell;mast cell;group 2 innate lymphoid cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",,no,5.117,6.008
03_immune_T_cell,AIF1L,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;vasa recta descending limb cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle thin descending limb epithelial cell;extravillous trophoblast;kidney cell;kidney collecting duct cell,,no,0.513,0.567
03_immune_T_cell,AIP,DN4 thymocyte;B cell,,no,4.623,5.745
03_immune_T_cell,AKR1B1,pulmonary ionocyte;kidney loop of Henle thin ascending limb epithelial cell;ionocyte;Hofbauer cell;sperm;extravillous trophoblast;placental villous trophoblast;syncytiotrophoblast cell,,no,5.575,7.094
03_immune_T_cell,ALCAM,corneal endothelial cell;neuroendocrine cell;chromaffin cell;type I pneumocyte;lung goblet cell;pancreatic A cell;visceromotor neuron;sebaceous gland cell,CD6,no,11.611,7.895
03_immune_T_cell,ALOX15,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of trachea;multi-ciliated epithelial cell;lung goblet cell;glandular epithelial cell;goblet cell;respiratory goblet cell;tracheal goblet cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;bronchial epithelial cell;erythroid lineage cell,,no,0.052,0.163
03_immune_T_cell,ALOX5,brush cell;intestinal tuft cell;tuft cell of colon;macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;basophil;eosinophil;Langerhans cell;B-1b B cell;mast cell,,no,4.407,4.796
03_immune_T_cell,ALPL,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;goblet cell;respiratory goblet cell;tracheal goblet cell;preosteoblast;blood cell;granulocyte;neutrophil;osteoblast;lung secretory cell,,no,0.694,0.519
03_immune_T_cell,ALYREF,DN4 thymocyte;erythroid progenitor cell;proerythroblast;common dendritic progenitor;hematopoietic precursor cell;myeloid lineage restricted progenitor cell,,no,7.56,8.181
03_immune_T_cell,AMFR,"kidney collecting duct intercalated cell;phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;CD8-positive, alpha-beta T cell;mature gamma-delta T cell;megakaryocyte",,no,9.498,8.472
03_immune_T_cell,ANGPT1,preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell,ANGPT,no,0.497,0.488
03_immune_T_cell,ANGPT2,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;endothelial cell of artery;capillary endothelial cell;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus;surface ectodermal cell;muscle cell;smooth muscle cell;trophoblast giant cell,ANGPT,no,0.184,0.145
03_immune_T_cell,ANGPTL4,endothelial tip cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;mature astrocyte;subcutaneous fat cell;epicardial adipocyte,ANGPTL,no,12.861,3.047
03_immune_T_cell,ANGPTL8,subcutaneous fat cell,,no,0.025,0.025
