gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
FEV,,,,no,0.983,0.836,11256,9770,-0.233,ENSG00000163497,Protein FEV (Fifth Ewing variant protein) (PC12 ETS domain-containing transcription factor 1) (PC12 ETS factor 1) (Pet-1),Nucleus,neuroendocrine cell;chromaffin cell;type EC enteroendocrine cell;pancreatic A cell;type L enteroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of small intestine;enteroendocrine cell of colon,
FGFR1,,,,no,20.063,19.893,229786,232446,-0.012,ENSG00000077782,Fibroblast growth factor receptor 1 (FGFR-1),Cell membrane,mesenchymal stem cell;pigmented epithelial cell;non-pigmented ciliary epithelial cell;pancreatic PP cell;fibroblast;keratocyte;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of breast;tendon cell;adventitial cell,FGF;NCAM
FOXA1,,,,no,0.158,0.092,1809,1070,-0.786,ENSG00000129514,Hepatocyte nuclear factor 3-alpha (HNF-3-alpha) (HNF-3A) (Forkhead box protein A1) (Transcription factor 3A) (TCF-3A),Nucleus,brush cell of trachebronchial tree;brush cell of bronchus,
FOXA2,,,,no,3.283,2.851,37599,33316,-0.203,ENSG00000125798,Hepatocyte nuclear factor 3-beta (HNF-3-beta) (HNF-3B) (Forkhead box protein A2) (Transcription factor 3B) (TCF-3B),Nucleus,lung neuroendocrine cell;pancreatic PP cell;large intestine goblet cell;colon goblet cell;PP cell,
FOXO1,,,,no,6.409,6.11,73403,71398,-0.069,ENSG00000150907,Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma),Cytoplasm,renal beta-intercalated cell;endothelial cell of pericentral hepatic sinusoid;skeletal muscle fiber;cell of skeletal muscle;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
FOXO3,,,,no,14.004,9.691,160388,113235,-0.531,ENSG00000118689,Forkhead box protein O3 (AF6q21 protein) (Forkhead in rhabdomyosarcoma-like 1),Cytoplasm,tongue muscle cell;skeletal muscle fibroblast;erythroid lineage cell,
FRZB,,,,no,0.603,0.641,6904,7485,0.088,ENSG00000162998,Secreted frizzled-related protein 3 (sFRP-3) (Frezzled) (Fritz) (Frizzled-related protein 1) (FrzB-1),Secreted,pancreatic epsilon cell;small intestine goblet cell;ileal goblet cell;cerebral cortex endothelial cell;retinal pigment epithelial cell;vascular associated smooth muscle cell;bronchial smooth muscle cell;radial glial cell;Mueller cell;chondrocyte,
FXYD7,,,,no,0.048,0.022,546,258,-1.11,ENSG00000221946,FXYD domain-containing ion transport regulator 7,Membrane,"type B pancreatic cell;ovarian surface epithelial cell;central memory CD8-positive, alpha-beta T cell;group 3 innate lymphoid cell;peripheral nervous system neuron",
GAD2,,,,no,0.478,0.274,5475,3197,-0.805,ENSG00000136750,Glutamate decarboxylase 2,Cytoplasm,pancreatic endocrine cell;type B pancreatic cell;pancreatic A cell;pancreatic D cell;pancreatic PP cell;glandular epithelial cell;enteroendocrine cell;PP cell;endocrine cell;neuron;cortical interneuron;cerebral cortex GABAergic interneuron;inhibitory interneuron,
GATA4,,,,no,8.05,8.864,92197,103568,0.139,ENSG00000136574,Transcription factor GATA-4 (GATA-binding factor 4),Nucleus,Sertoli cell;mesothelial cell;granulosa cell;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;ovarian surface epithelial cell;Leydig cell;regular atrial cardiac myocyte,
GATA6,,,,no,14.105,17.883,161546,208963,0.342,ENSG00000141448,Transcription factor GATA-6 (GATA-binding factor 6),Nucleus,mesothelial cell,
GCH1,,,,no,3.808,2.234,43608,26101,-0.769,ENSG00000131979,GTP cyclohydrolase 1,Cytoplasm,type EC enteroendocrine cell;pancreatic D cell;pancreatic PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of small intestine;enteroendocrine cell of colon;sympathetic neuron,
