gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway,HALLMARK,KEGG,REACTOME
FAM98A,,,,no,6.869,6.228,78667,72767,-0.141,ENSG00000119812,Protein FAM98A,,Sertoli cell,,,,
FAM9B,,,,no,0.077,,881,0,,ENSG00000177138,Protein FAM9B,Nucleus,,,,,
FAT2,,,,no,0.024,,273,0,,ENSG00000086570,Protocadherin Fat 2 (hFat2) (Cadherin family member 8) (Multiple epidermal growth factor-like domains protein 1) (Multiple EGF-like domains protein 1),Cell membrane,respiratory basal cell;basal cell of epithelium of trachea,,,,
FBXO16,,,,no,1.215,1.706,13915,19937,0.49,ENSG00000214050,F-box only protein 16,,,,,,
FBXO33,,,,no,2.458,2.626,28156,30689,0.095,ENSG00000165355,F-box only protein 33,,,,,,
FBXO42,,,,no,3.055,3.684,34991,43049,0.27,ENSG00000037637,F-box only protein 42 (Just one F-box and Kelch domain-containing protein),,,,,,
FBXO45,,,,no,2.722,1.87,31179,21846,-0.542,ENSG00000174013,F-box/SPRY domain-containing protein 1 (F-box only protein 45) (hFbxo45),Secreted,,,,,
FCRL4,,,,no,0.031,,353,0,,ENSG00000163518,Fc receptor-like protein 4 (FcR-like protein 4) (FcRL4) (Fc receptor homolog 4) (FcRH4) (IFGP family protein 2) (hIFGP2) (Immune receptor translocation-associated protein 1) (CD antigen CD307d),Cell membrane,,,,,
FEZF2,,,,no,0.013,,154,0,,ENSG00000153266,Fez family zinc finger protein 2 (Forebrain embryonic zinc finger-like protein 2) (Zinc finger protein 312) (Zinc finger protein Fez-like),Nucleus,,,,,
FIBCD1,,,,no,0.016,,188,0,,ENSG00000130720,Fibrinogen C domain-containing protein 1,Membrane,,,,,
FIBP,,,,no,7.631,7.477,87397,87368,-0.029,ENSG00000172500,Acidic fibroblast growth factor intracellular-binding protein (aFGF intracellular-binding protein) (FGF-1 intracellular-binding protein),Nucleus;Endomembrane system,,,,,
FKBP15,,,,no,3.652,4.363,41821,50977,0.257,ENSG00000119321,FK506-binding protein 15 (FKBP-15) (133 kDa FK506-binding protein) (133 kDa FKBP) (FKBP-133) (WASP- and FKBP-like protein) (WAFL),Cytoplasm,,,,,
FLYWCH1,,,,no,0.811,1.153,9291,13468,0.507,ENSG00000059122,FLYWCH-type zinc finger-containing protein 1,Nucleus,,,,,
FMC1,,,,no,4.758,4.569,54495,53386,-0.059,ENSG00000164898,"Protein FMC1 homolog (ATP synthase assembly factor FMC1, mitochondrial) (Formation of mitochondrial complex V assembly factor 1 homolog)",Mitochondrion,,,,,
FNDC5,,,,no,0.127,0.092,1453,1079,-0.458,ENSG00000160097,Fibronectin type III domain-containing protein 5 (Fibronectin type III repeat-containing protein 2),Cell membrane,,,,,
FOXB1,,,,no,0.059,0.009,681,107,-2.699,ENSG00000171956,Forkhead box protein B1 (Transcription factor FKH-5),Nucleus,,,,,
FOXD2,,,,no,0.079,0.045,910,526,-0.82,ENSG00000186564,Forkhead box protein D2 (Forkhead-related protein FKHL17) (Forkhead-related transcription factor 9) (FREAC-9),Nucleus,,,,,
FOXE1,,,,no,0.037,,424,0,,ENSG00000178919,Forkhead box protein E1 (Forkhead box protein E2) (Forkhead-related protein FKHL15) (HFKH4) (HNF-3/fork head-like protein 5) (HFKL5) (Thyroid transcription factor 2) (TTF-2),Nucleus,,,,,
FOXE3,,,,no,0.019,,216,0,,ENSG00000186790,Forkhead box protein E3 (Forkhead-related protein FKHL12) (Forkhead-related transcription factor 8) (FREAC-8),Nucleus,,,,,
FOXI1,,,,no,0.046,0.033,522,386,-0.464,ENSG00000168269,Forkhead box protein I1 (Forkhead-related protein FKHL10) (Forkhead-related transcription factor 6) (FREAC-6) (Hepatocyte nuclear factor 3 forkhead homolog 3) (HFH-3) (HNF-3/fork-head homolog 3),Nucleus,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;pulmonary ionocyte;brush cell;brush cell of trachebronchial tree;brush cell of bronchus;ionocyte,,,,
FOXP4,,,,no,7.399,7.095,84742,82898,-0.061,ENSG00000137166,Forkhead box protein P4 (Fork head-related protein-like A),Nucleus,lung neuroendocrine cell,,,,
FOXRED1,,,,no,3.631,5.081,41591,59371,0.485,ENSG00000110074,FAD-dependent oxidoreductase domain-containing protein 1,Mitochondrion inner membrane,,,,,
FRA10AC1,,,,no,4.959,10.988,56798,128387,1.148,ENSG00000148690,Protein FRA10AC1,Nucleus,,,,,
FSIP1,,,,no,0.282,0.206,3235,2412,-0.452,ENSG00000150667,Fibrous sheath-interacting protein 1,,,,,,
FUBP3,,,,no,7.3,7.25,83609,84720,-0.01,ENSG00000107164,Far upstream element-binding protein 3 (FUSE-binding protein 3),Nucleus,,,,,
GAGE1,,,,no,0.032,,362,0,,ENSG00000205777,G antigen 1 (GAGE-1) (Antigen MZ2-F) (Cancer/testis antigen 4.1) (CT4.1),,,,,,
GALP,,,,no,0.042,,482,0,,ENSG00000197487,Galanin-like peptide,Secreted,,GALANIN,,,
GAS2L1,,,,no,1.53,1.619,17526,18920,0.082,ENSG00000185340,GAS2-like protein 1 (GAS2-related protein on chromosome 22) (Growth arrest-specific protein 2-like 1),Cytoplasm,platelet,,,,
GBX2,,,,no,0.041,,470,0,,ENSG00000168505,Homeobox protein GBX-2 (Gastrulation and brain-specific homeobox protein 2),Nucleus,,,,,
GIGYF1,,,,no,7.579,10.787,86800,126046,0.509,ENSG00000146830,GRB10-interacting GYF protein 1 (PERQ amino acid-rich with GYF domain-containing protein 1),,,,,,
GIPC2,,,,no,11.147,12.583,127667,147024,0.175,ENSG00000137960,PDZ domain-containing protein GIPC2,Cytoplasm,intestinal crypt stem cell of small intestine;transit amplifying cell of small intestine,,,,
GKN1,,,,no,0.023,,260,0,,ENSG00000169605,Gastrokine-1 (18 kDa antrum mucosa protein) (AMP-18) (Protein CA11),Secreted,,,,,
GLCCI1,,,,no,1.149,1.306,13155,15255,0.185,ENSG00000106415,Glucocorticoid-induced transcript 1 protein,,renal alpha-intercalated cell;type I pneumocyte,,,,
GLOD4,,,,no,6.879,7.857,78782,91805,0.192,ENSG00000167699,Glyoxalase domain-containing protein 4,Mitochondrion,,,,,
GLYR1,,,,no,2.652,2.774,30375,32413,0.065,ENSG00000140632,Cytokine-like nuclear factor N-PAC (NPAC) (3-hydroxyisobutyrate dehydrogenase-like protein) (Glyoxylate reductase 1 homolog) (Nuclear protein NP60) (Nuclear protein of 60 kDa) (Nucleosome-destabilizing factor) (hNDF) (Putative oxidoreductase GLYR1),Nucleus,,,,,
GMEB1,,,,no,3.016,3.021,34541,35305,0.003,ENSG00000162419,Glucocorticoid modulatory element-binding protein 1 (GMEB-1) (DNA-binding protein p96PIF) (Parvovirus initiation factor p96) (PIF p96),Nucleus;Cytoplasm,,,,,
GMEB2,,,,no,2.926,3.033,33510,35435,0.052,ENSG00000101216,Glucocorticoid modulatory element-binding protein 2 (GMEB-2) (DNA-binding protein p79PIF) (Parvovirus initiation factor p79) (PIF p79),Nucleus;Cytoplasm,,,,,
