gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway,HALLMARK,KEGG,REACTOME
KLF16,,,,no,4.59,3.881,52570,45351,-0.242,ENSG00000129911,Krueppel-like factor 16 (Basic transcription element-binding protein 4) (BTE-binding protein 4) (Novel Sp1-like zinc finger transcription factor 2) (Transcription factor BTEB4) (Transcription factor NSLP2),Nucleus,,,,,
KLF17,,,,no,0.04,0.016,458,184,-1.345,ENSG00000171872,Krueppel-like factor 17 (Zinc finger protein 393),Nucleus,,,,,
KLHDC2,,,,no,12.912,14.176,147882,165644,0.135,ENSG00000165516,Kelch domain-containing protein 2 (Hepatocellular carcinoma-associated antigen 33) (Host cell factor homolog LCP) (Host cell factor-like protein 1) (HCLP-1),Nucleus,,,,,
KLHL26,,,,no,1.446,1.391,16561,16252,-0.056,ENSG00000167487,Kelch-like protein 26,,,,,,
KLHL8,,,,no,4.06,3.823,46497,44672,-0.087,ENSG00000145332,Kelch-like protein 8,,kidney collecting duct principal cell;renal principal cell;Mueller cell,,,,
KLK15,,,,no,0.064,0.039,738,455,-0.727,ENSG00000174562,Kallikrein-15,Secreted,,,,,
KNDC1,,,,no,0.183,0.118,2097,1374,-0.639,ENSG00000171798,Kinase non-catalytic C-lobe domain-containing protein 1 (KIND domain-containing protein 1) (Cerebral protein 9) (Protein very KIND) (v-KIND) (Ras-GEF domain-containing family member 2),Cell projection,,,,,
KNSTRN,,,,no,1.506,1.604,17250,18740,0.091,ENSG00000128944,Small kinetochore-associated protein (SKAP) (Kinetochore-localized astrin-binding protein) (Kinastrin) (Kinetochore-localized astrin/SPAG5-binding protein) (TRAF4-associated factor 1),Nucleus,,,,,
KPRP,,,,no,0.013,,145,0,,ENSG00000203786,Keratinocyte proline-rich protein (hKPRP),Cytoplasm,,,,,
LACRT,,,,no,0.03,,339,0,,ENSG00000135413,Extracellular glycoprotein lacritin,Secreted,keratocyte,,,,
LANCL2,,,,no,2.054,1.858,23527,21709,-0.145,ENSG00000132434,LanC-like protein 2 (Testis-specific adriamycin sensitivity protein),Nucleus,theca cell,,,,
LARP4,,,,no,12.798,10.497,146573,122651,-0.286,ENSG00000161813,La-related protein 4 (La ribonucleoprotein domain family member 4),Cytoplasm,,,,,
LARP4B,,,,no,9.835,10.386,112644,121362,0.079,ENSG00000107929,La-related protein 4B (La ribonucleoprotein domain family member 4B) (La ribonucleoprotein domain family member 5) (La-related protein 5),Cytoplasm,,,,,
LASP1,,,,no,13.757,14.406,157561,168326,0.066,ENSG00000002834,LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50),Cytoplasm,,,,,
LBX1,,,,no,0.035,,398,0,,ENSG00000138136,Transcription factor LBX1 (Ladybird homeobox protein homolog 1),Nucleus,,,,,
LENG8,,,,no,22.599,28.819,258820,336738,0.351,ENSG00000167615,Leukocyte receptor cluster member 8,,,,,,
LGALS13,,,,no,0.031,,357,0,,ENSG00000105198,Galactoside-binding soluble lectin 13 (Galectin-13) (Gal-13) (Placental tissue protein 13) (PP13) (Placental protein 13),Cytoplasm,,,,,
LGALS14,,,,no,0.02,,226,0,,ENSG00000006659,Placental protein 13-like (Charcot-Leyden crystal protein 2) (CLC2) (Galectin-14) (Gal-14),Nucleus,,,,,
LGALS8,,,,no,6.767,7.828,77505,91465,0.21,ENSG00000116977,Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1),Cytoplasmic vesicle,,,,,
LGALSL,,,,no,2.709,1.856,31025,21689,-0.545,ENSG00000119862,Galectin-related protein (Galectin-like protein) (Lectin galactoside-binding-like protein),,keratinocyte;epidermal cell,,,,
LIM2,,,,no,0.019,,214,0,,ENSG00000105370,Lens fiber membrane intrinsic protein (MP18) (MP19) (MP20),Membrane,,,,,
LIN28B,,,,no,0.053,,603,0,,ENSG00000187772,Protein lin-28 homolog B (Lin-28B),Nucleus;Nucleus,,,,,
LINS1,,,,no,1.68,1.824,19236,21310,0.119,ENSG00000140471,Protein Lines homolog 1 (Wnt-signaling molecule Lines homolog 1),,,,,,
LMBR1L,,,,no,2.178,2.917,24950,34080,0.421,ENSG00000139636,Protein LMBR1L (Limb region 1 protein homolog-like) (Lipocalin-1-interacting membrane receptor) (LIMR),Cell membrane,,,,,
LONRF3,,,,no,3.434,3.286,39326,38398,-0.063,ENSG00000175556,LON peptidase N-terminal domain and RING finger protein 3 (RING finger protein 127),,,,,,
LRATD2,,,,no,10.394,9.766,119047,114117,-0.09,ENSG00000168672,Protein LRATD2 (Breast cancer membrane protein 101) (LRAT domain-containing 2) (Protein FAM84B) (Protein NSE2),,,,,,
LRBA,,,,no,11.65,11.523,133430,134643,-0.016,ENSG00000198589,Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein) (CDC4-like protein),Cell membrane,papillary tips cell,,,,
LRRC20,,,,no,0.624,0.519,7141,6069,-0.264,ENSG00000172731,Leucine-rich repeat-containing protein 20,,,,,,
LRRC3,,,,no,0.83,0.7,9507,8179,-0.246,ENSG00000160233,Leucine-rich repeat-containing protein 3,Membrane,,,,,
LRRC38,,,,no,0.026,0.009,300,100,-1.614,ENSG00000162494,Leucine-rich repeat-containing protein 38 (BK channel auxiliary gamma subunit LRRC38),Cell membrane,,,,,
LRRC45,,,,no,2.44,2.998,27943,35028,0.297,ENSG00000169683,Leucine-rich repeat-containing protein 45,Cytoplasm,,,,,
LRRC47,,,,no,12.535,15.048,143559,175837,0.264,ENSG00000130764,Leucine-rich repeat-containing protein 47,,,,,,
LSM12,,,,no,13.558,10.419,155276,121743,-0.38,ENSG00000161654,Protein LSM12,Cytoplasm,,,,,
LUC7L,,,,no,8.839,11.47,101228,134025,0.376,ENSG00000007392,Putative RNA-binding protein Luc7-like 1 (Putative SR protein LUC7B1) (SR+89),,,,,,
LURAP1,,,,no,0.171,0.263,1959,3074,0.621,ENSG00000171357,Leucine rich adaptor protein 1 (Leucine repeat adapter protein 35A),Cytoplasm,,,,,
LZIC,,,,no,7.281,6.239,83385,72900,-0.223,ENSG00000162441,Protein LZIC (Leucine zipper and CTNNBIP1 domain-containing protein) (Leucine zipper and ICAT homologous domain-containing protein),,,,,,
MAEA,,,,no,11.098,12.927,127100,151050,0.22,ENSG00000090316,E3 ubiquitin-protein transferase MAEA,Cytoplasm,,,,,
MAGEA11,,,,no,0.036,,410,0,,ENSG00000185247,Melanoma-associated antigen 11 (Cancer/testis antigen 1.11) (CT1.11) (MAGE-11 antigen),Nucleus,,,,,
MAGEB2,,,,no,0.044,,504,0,,ENSG00000099399,Melanoma-associated antigen B2 (Cancer/testis antigen 3.2) (CT3.2) (DSS-AHC critical interval MAGE superfamily 6) (DAM6) (MAGE XP-2 antigen) (MAGE-B2 antigen),,,,,,
MAGEC1,,,,no,0.014,,160,0,,ENSG00000155495,Melanoma-associated antigen C1 (Cancer/testis antigen 7.1) (CT7.1) (MAGE-C1 antigen),,,,,,
MAGEC2,,,,no,0.025,,286,0,,ENSG00000046774,Melanoma-associated antigen C2 (Cancer/testis antigen 10) (CT10) (Hepatocellular carcinoma-associated antigen 587) (MAGE-C2 antigen) (MAGE-E1 antigen),Cytoplasm,,,,,
MAP3K15,,,,no,0.603,0.308,6909,3598,-0.97,ENSG00000180815,Mitogen-activated protein kinase kinase kinase 15,,cortical cell of adrenal gland,,,,
MAP4,,,,no,21.642,21.054,247864,246007,-0.04,ENSG00000047849,Microtubule-associated protein 4 (MAP-4),Cytoplasm,muscle precursor cell;cardiac muscle myoblast,,,,
MAP7D1,,,,no,6.318,6.538,72360,76392,0.049,ENSG00000116871,MAP7 domain-containing protein 1 (Arginine/proline-rich coiled-coil domain-containing protein 1) (Proline/arginine-rich coiled-coil domain-containing protein 1),Cytoplasm,,,,,
MAPRE2,,,,no,5.666,5.141,64893,60076,-0.14,ENSG00000166974,Microtubule-associated protein RP/EB family member 2 (APC-binding protein EB2) (End-binding protein 2) (EB2),Cytoplasm,,,,,
MBNL1,,,,no,8.831,8.597,101146,100449,-0.039,ENSG00000152601,Muscleblind-like protein 1 (Triplet-expansion RNA-binding protein),Nucleus,,,,,
MCM3AP,,,,no,8.676,11.775,99369,137589,0.441,ENSG00000160294,Germinal-center associated nuclear protein (GANP),Cytoplasm,,,,,
MCM9,,,,no,4.137,4.739,47376,55373,0.196,ENSG00000111877,DNA helicase MCM9 (hMCM9),Nucleus,,,,,
MCTS1,,,,no,8.48,7.464,97121,87211,-0.184,ENSG00000232119,Malignant T-cell-amplified sequence 1 (MCT-1) (Multiple copies T-cell malignancies),Cytoplasm,,,,,
MDM1,,,,no,1.878,2.029,21511,23707,0.111,ENSG00000111554,Nuclear protein MDM1,Nucleus,,,,,
MEIS3,,,,no,4.787,4.222,54829,49330,-0.181,ENSG00000105419,Homeobox protein Meis3 (Meis1-related protein 2),Nucleus,,,,,
MEPCE,,,,no,4.921,5.617,56365,65636,0.191,ENSG00000146834,7SK snRNA methylphosphate capping enzyme (MePCE),Nucleus,intestinal crypt stem cell of large intestine,,,,
METTL16,,,,no,3.603,4.164,41266,48650,0.209,ENSG00000127804,RNA N6-adenosine-methyltransferase METTL16 (Methyltransferase 10 domain-containing protein) (Methyltransferase-like protein 16) (N6-adenosine-methyltransferase METTL16),Nucleus,,,,,
METTL18,,,,no,0.856,0.831,9799,9712,-0.042,ENSG00000171806,Histidine protein methyltransferase 1 homolog,Cytoplasm,,,,,
METTL2A,,,,no,4.499,4.152,51532,48518,-0.116,ENSG00000087995,tRNA N(3)-methylcytidine methyltransferase METTL2A,Cytoplasm,,,,,
MFF,,,,no,14.569,12.535,166854,146473,-0.217,ENSG00000168958,Mitochondrial fission factor,Mitochondrion outer membrane,,,,,
MFRP,,,,no,0.02,,226,0,,ENSG00000235718,Membrane frizzled-related protein (Membrane-type frizzled-related protein),Apical cell membrane,,,,,
MFSD5,,,,no,1.954,1.865,22384,21790,-0.068,ENSG00000182544,Molybdate-anion transporter (Major facilitator superfamily domain-containing protein 5) (Molybdate transporter 2 homolog) (hsMOT2),Cell membrane,,,,,
MID2,,,,no,5.069,5.411,58057,63224,0.094,ENSG00000080561,Probable E3 ubiquitin-protein ligase MID2,Cytoplasm,,,,,
MIEN1,,,,no,2.924,2.403,33486,28079,-0.283,ENSG00000141741,Migration and invasion enhancer 1 (HBV X-transactivated gene 4 protein) (HBV XAg-transactivated protein 4) (Protein C35),Cytoplasm,,,,,
MIIP,,,,no,4.49,4.747,51421,55465,0.08,ENSG00000116691,Migration and invasion-inhibitory protein (IGFBP2-binding protein) (Invasion-inhibitory protein 45) (IIp45),,T-helper 17 cell,,,,
MINDY2,,,,no,3.864,4.735,44256,55328,0.293,ENSG00000128923,Ubiquitin carboxyl-terminal hydrolase MINDY-2,,,,,,
MIPOL1,,,,no,3.186,4.397,36484,51380,0.465,ENSG00000151338,Mirror-image polydactyly gene 1 protein,,,,,,
MITD1,,,,no,5.036,5.48,57679,64032,0.122,ENSG00000158411,MIT domain-containing protein 1,Late endosome membrane,,,,,
MKRN2,,,,no,4.133,5.403,47333,63130,0.387,ENSG00000075975,E3 ubiquitin-protein ligase makorin-2,Cytoplasm,,,,,
MKRN3,,,,no,0.24,0.116,2745,1359,-1.043,ENSG00000179455,Probable E3 ubiquitin-protein ligase makorin-3,,,,,,
MLANA,,,,no,0.045,,519,0,,ENSG00000120215,Melanoma antigen recognized by T-cells 1 (MART-1) (Antigen LB39-AA) (Antigen SK29-AA) (Protein Melan-A),Endoplasmic reticulum membrane,melanocyte,,,,
MMEL1,,,,no,0.072,0.059,820,689,-0.28,ENSG00000142606,Membrane metallo-endopeptidase-like 1,Membrane,,,,,
MNS1,,,,no,0.479,0.544,5482,6351,0.183,ENSG00000138587,Meiosis-specific nuclear structural protein 1,Nucleus,lung ciliated cell,,,,
MOB4,,,,no,2.758,1.907,31584,22285,-0.532,ENSG00000115540,MOB-like protein phocein (2C4D) (Class II mMOB1) (Mob1 homolog 3) (Mob3) (Mps one binder kinase activator-like 3) (Preimplantation protein 3),Cytoplasm,,,,,
MPHOSPH9,,,,no,3.149,2.876,36066,33606,-0.131,ENSG00000051825,M-phase phosphoprotein 9,Cytoplasm,,,,,
MR1,,,,no,1.342,1.148,15375,13410,-0.226,ENSG00000153029,Major histocompatibility complex class I-related gene protein (MHC class I-related gene protein) (Class I histocompatibility antigen-like protein),Cell membrane,,,,,
MRAP2,,,,no,2.306,1.123,26408,13117,-1.038,ENSG00000135324,Melanocortin-2 receptor accessory protein 2 (MC2R accessory protein 2),Cell membrane,,,,,
MRFAP1L1,,,,no,15.104,11.684,172987,136521,-0.37,ENSG00000178988,MORF4 family-associated protein 1-like 1,,,,,,
MRGPRX2,,,,no,0.04,,456,0,,ENSG00000183695,Mas-related G-protein coupled receptor member X2,Cell membrane,,,,,
MTERF2,,,,no,4.45,3.801,50970,44414,-0.228,ENSG00000120832,"Transcription termination factor 2, mitochondrial (Mitochondrial transcription termination factor 2) (mTERF2) (Mitochondrial transcription termination factor-like protein) (mTERF-like) (mTERFL) (mTERF domain-containing protein 3, mitochondrial)",Mitochondrion,,,,,
MTFR1L,,,,no,2.646,2.837,30306,33154,0.101,ENSG00000117640,Mitochondrial fission regulator 1-like,,,,,,
MTPAP,,,,no,4.519,4.754,51754,55545,0.073,ENSG00000107951,"Poly(A) RNA polymerase, mitochondrial (PAP)",Cytoplasm,,,,,
MTRES1,,,,no,2.706,2.541,30991,29696,-0.09,ENSG00000130349,Mitochondrial transcription rescue factor 1,Mitochondrion matrix,,,,,
MXRA7,,,,no,29.7,15.1,340157,176440,-0.976,ENSG00000182534,Matrix-remodeling-associated protein 7,Membrane,tendon cell,,,,
MYCBP,,,,no,10.612,8.062,121541,94201,-0.397,ENSG00000214114,c-Myc-binding protein (Associate of Myc 1) (AMY-1),Cytoplasm;Nucleus;Mitochondrion,,,,,
MYCL,,,,no,2.501,3.87,28645,45216,0.63,ENSG00000116990,Protein L-Myc (Class E basic helix-loop-helix protein 38) (bHLHe38) (Protein L-Myc-1) (V-myc myelocytomatosis viral oncogene homolog),Nucleus,,,,,
MYEF2,,,,no,5.469,5.715,62633,66775,0.063,ENSG00000104177,Myelin expression factor 2 (MEF-2) (MyEF-2) (MST156),Nucleus,,,,,
MYNN,,,,no,2.209,2.127,25302,24859,-0.054,ENSG00000085274,Myoneurin (Zinc finger and BTB domain-containing protein 31),Nucleus,,,,,
MYO18B,,,,no,0.466,0.044,5335,515,-3.402,ENSG00000133454,Unconventional myosin-XVIIIb,Cytoplasm;Nucleus;Cytoplasm,muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;skeletal muscle fiber;slow muscle cell;fast muscle cell;cell of skeletal muscle;muscle precursor cell;cardiac muscle myoblast,,,,
MZF1,,,,no,2.331,2.877,26697,33618,0.304,ENSG00000099326,Myeloid zinc finger 1 (MZF-1) (Zinc finger and SCAN domain-containing protein 6) (Zinc finger protein 42),Nucleus,,,,,
NAA15,,,,no,6.725,6.023,77024,70379,-0.159,ENSG00000164134,"N-alpha-acetyltransferase 15, NatA auxiliary subunit (Gastric cancer antigen Ga19) (N-terminal acetyltransferase) (NMDA receptor-regulated protein 1) (Protein tubedown-1) (Tbdn100)",Cytoplasm;Nucleus,,,,,
NAA16,,,,no,10.949,9.4,125393,109841,-0.22,ENSG00000172766,"N-alpha-acetyltransferase 16, NatA auxiliary subunit (NMDA receptor-regulated 1-like protein) (NARG1-like protein)",,,,,,
NAA40,,,,no,4.396,5.601,50350,65446,0.349,ENSG00000110583,N-alpha-acetyltransferase 40,Cytoplasm,,,,,
NACC2,,,,no,2.671,2.613,30593,30527,-0.032,ENSG00000148411,Nucleus accumbens-associated protein 2 (NAC-2) (BTB/POZ domain-containing protein 14A) (Repressor with BTB domain and BEN domain),Nucleus,,,,,
NAIF1,,,,no,1.047,0.944,11986,11028,-0.149,ENSG00000171169,Nuclear apoptosis-inducing factor 1,Nucleus,,,,,
NAP1L3,,,,no,0.469,0.297,5375,3468,-0.661,ENSG00000186310,Nucleosome assembly protein 1-like 3,Nucleus,,,,,
NAP1L4,,,,no,11.328,12.844,129737,150078,0.181,ENSG00000205531,Nucleosome assembly protein 1-like 4 (Nucleosome assembly protein 2) (NAP-2),Nucleus,secondary lens fiber,,,,
NAP1L5,,,,no,1.971,0.861,22569,10066,-1.194,ENSG00000177432,Nucleosome assembly protein 1-like 5 (Down-regulated in liver malignancy),Nucleus,,,,,
NBPF3,,,,no,0.26,0.34,2979,3970,0.385,ENSG00000142794,Neuroblastoma breakpoint family member 3 (Protein AE2) (Protein SHIIIa4),Cytoplasm,,,,,
NCBP3,,,,no,8.881,10.124,101709,118299,0.189,ENSG00000074356,Nuclear cap-binding protein subunit 3 (Protein ELG),Nucleus,,,,,
NCLN,,,,no,10.915,11.579,125008,135302,0.085,ENSG00000125912,BOS complex subunit NCLN (Nicalin) (Nicastrin-like protein),Endoplasmic reticulum membrane,,,,,
NECAB2,,,,no,0.354,0.585,4055,6836,0.725,ENSG00000103154,N-terminal EF-hand calcium-binding protein 2 (EF-hand calcium-binding protein 2) (Neuronal calcium-binding protein 2) (Synaptotagmin-interacting protein 2) (Stip-2),Cytoplasm,,,,,
NEK1,,,,no,3.441,3.387,39407,39573,-0.023,ENSG00000137601,Serine/threonine-protein kinase Nek1,Nucleus,,,,,
NEK3,,,,no,1.515,2.177,17347,25435,0.523,ENSG00000136098,Serine/threonine-protein kinase Nek3,Cytoplasm,,,,,
NEK4,,,,no,4.438,4.077,50828,47639,-0.122,ENSG00000114904,Serine/threonine-protein kinase Nek4,Cell projection,,,,,
NEK5,,,,no,0.139,0.113,1587,1326,-0.288,ENSG00000197168,Serine/threonine-protein kinase Nek5,,,,,,
NEK8,,,,no,1.421,1.414,16269,16517,-0.007,ENSG00000160602,Serine/threonine-protein kinase Nek8,Cytoplasm,,,,,
NEMP1,,,,no,1.432,1.751,16397,20463,0.291,ENSG00000166881,Nuclear envelope integral membrane protein 1,Nucleus inner membrane,,,,,
NEPRO,,,,no,7.102,6.832,81342,79830,-0.056,ENSG00000163608,Nucleolus and neural progenitor protein,Nucleus,,,,,
NEURL4,,,,no,3.513,4.845,40236,56607,0.464,ENSG00000215041,Neuralized-like protein 4,Cytoplasm,,,,,
NEUROG2,,,,no,0.044,,509,0,,ENSG00000178403,Neurogenin-2 (NGN-2) (Class A basic helix-loop-helix protein 8) (bHLHa8) (Protein atonal homolog 4),Nucleus,,,,,
NGDN,,,,no,3.351,3.858,38382,45074,0.203,ENSG00000129460,Neuroguidin (Centromere accumulated nuclear protein 1) (CANu1) (EIF4E-binding protein),Nucleus,,,,,
NIFK,,,,no,3.777,3.867,43261,45183,0.034,ENSG00000155438,MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar phosphoprotein Nopp34) (Nucleolar protein interacting with the FHA domain of pKI-67) (hNIFK),Nucleus,erythroid progenitor cell;proerythroblast,,,,
NIPSNAP1,,,,no,8.535,7.744,97749,90490,-0.14,ENSG00000184117,Protein NipSnap homolog 1 (NipSnap1),,lung neuroendocrine cell,,,,
NIPSNAP3A,,,,no,3.665,2.695,41978,31488,-0.444,ENSG00000136783,Protein NipSnap homolog 3A (NipSnap3A) (Protein NipSnap homolog 4) (NipSnap4) (Target for Salmonella secreted protein C) (TassC),Cytoplasm,,,,,
NKAPD1,,,,no,5.713,5.144,65428,60112,-0.151,ENSG00000150776,Uncharacterized protein NKAPD1 (NKAP domain containing protein 1),,,,,,
NKAPL,,,,no,0.354,0.342,4059,4001,-0.05,ENSG00000189134,NKAP-like protein,Nucleus,,,,,
NKRF,,,,no,1.696,1.78,19421,20799,0.07,ENSG00000186416,NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4),Nucleus,,,,,
NKX2-4,,,,no,0.048,,555,0,,ENSG00000125816,Homeobox protein Nkx-2.4 (Homeobox protein NK-2 homolog D),Nucleus,,,,,
NKX2-8,,,,no,0.033,0.009,382,106,-1.878,ENSG00000136327,Homeobox protein Nkx-2.8 (Homeobox protein NK-2 homolog H),Nucleus,,,,,
NLE1,,,,no,1.582,1.376,18114,16082,-0.201,ENSG00000073536,Notchless protein homolog 1,Nucleus,,,,,
NLRP11,,,,no,0.052,0.05,592,581,-0.056,ENSG00000179873,"NACHT, LRR and PYD domains-containing protein 11 (Nucleotide-binding oligomerization domain protein 17) (PAAD-and NACHT domain-containing protein 10) (PYRIN-containing APAF1-like protein 6)",,,,,,
NLRP2,,,,no,0.863,1.06,9885,12386,0.296,ENSG00000022556,"NACHT, LRR and PYD domains-containing protein 2 (Nucleotide-binding site protein 1) (PYRIN domain and NACHT domain-containing protein 1) (PYRIN-containing APAF1-like protein 2)",Cytoplasm,,,,,
NLRP9,,,,no,0.047,0.011,541,126,-2.131,ENSG00000185792,"NACHT, LRR and PYD domains-containing protein 9 (Nucleotide-binding oligomerization domain protein 6) (PYRIN and NACHT-containing protein 12)",Cytoplasm,,,,,
NOA1,,,,no,10.116,10.502,115853,122718,0.054,ENSG00000084092,Nitric oxide-associated protein 1,Mitochondrion inner membrane,,,,,
NOC3L,,,,no,4.225,4.319,48388,50463,0.032,ENSG00000173145,Nucleolar complex protein 3 homolog (NOC3 protein homolog) (Factor for adipocyte differentiation 24) (NOC3-like protein) (Nucleolar complex-associated protein 3-like protein),Nucleus,,,,,
NOL4,,,,no,0.381,0.29,4369,3389,-0.395,ENSG00000101746,Nucleolar protein 4 (Nucleolar-localized protein),Nucleus,,,,,
NOL4L,,,,no,4.215,5.992,48277,70019,0.508,ENSG00000197183,Nucleolar protein 4-like,,,,,,
NOM1,,,,no,4.72,5.091,54060,59484,0.109,ENSG00000146909,Nucleolar MIF4G domain-containing protein 1 (SGD1 homolog),Nucleus,,,,,
NOMO3,,,,no,6.792,6.631,77790,77477,-0.035,ENSG00000103226,BOS complex subunit NOMO3 (Nodal modulator 3) (pM5 protein 3),Endoplasmic reticulum membrane,,,,,
NOTCH2NLA,,,,no,18.638,20.451,213462,238970,0.134,ENSG00000264343,Notch homolog 2 N-terminal-like protein A (Notch homolog 2 N-terminal-like protein),Secreted,,,,,
NPAT,,,,no,4.146,4.176,47481,48790,0.01,ENSG00000149308,Protein NPAT (Nuclear protein of the ataxia telangiectasia mutated locus) (Nuclear protein of the ATM locus) (p220),Nucleus;Nucleus,,,,,
NRDE2,,,,no,1.736,2.27,19885,26520,0.386,ENSG00000119720,Nuclear exosome regulator NRDE2 (Protein NRDE2 homolog),Nucleus speckle,,,,,
NRSN2,,,,no,1.457,1.168,16690,13648,-0.319,ENSG00000125841,Neurensin-2,Membrane,,,,,
NSUN5,,,,no,8.753,10.577,100249,123589,0.273,ENSG00000130305,28S rRNA (cytosine-C(5))-methyltransferase,Nucleus,,,,,
NT5DC2,,,,no,3.73,3.18,42722,37155,-0.23,ENSG00000168268,5'-nucleotidase domain-containing protein 2,,,,,,
NT5DC3,,,,no,1.258,1.002,14407,11708,-0.328,ENSG00000111696,5'-nucleotidase domain-containing protein 3,,,,,,
NTMT1,,,,no,3.937,4.222,45095,49335,0.101,ENSG00000148335,N-terminal Xaa-Pro-Lys N-methyltransferase 1,Nucleus,,,,,
NUAK2,,,,no,4.965,8.234,56861,96214,0.73,ENSG00000163545,NUAK family SNF1-like kinase 2,,,,,,
NUDCD1,,,,no,3.477,3.15,39827,36806,-0.143,ENSG00000120526,NudC domain-containing protein 1 (Chronic myelogenous leukemia tumor antigen 66) (Tumor antigen CML66),Cytoplasm;Nucleus,,,,,
NUDCD2,,,,no,6.213,4.562,71161,53310,-0.446,ENSG00000170584,NudC domain-containing protein 2,Chromosome,,,,,
NUTF2,,,,no,13.652,11.32,156361,132269,-0.27,ENSG00000102898,Nuclear transport factor 2 (NTF-2) (Placental protein 15) (PP15),Cytoplasm,,,,,
NYX,,,,no,0.025,,287,0,,ENSG00000188937,Nyctalopin,Secreted,,,,,
OBP2A,,,,no,0.019,0.009,213,101,-1.105,ENSG00000122136,Odorant-binding protein 2a (Odorant-binding protein IIa) (OBPIIa),Secreted,,,,,
OCM2,,,,no,0.03,0.02,347,230,-0.622,ENSG00000135175,Putative oncomodulin-2,,,,,,
ODR4,,,,no,8.187,8.045,93771,94007,-0.025,ENSG00000157181,Protein odr-4 homolog (hODR-4) (LAG1-interacting protein) (Transactivated by transforming growth factor beta protein 1),Membrane,,,,,
OLIG2,,,,no,0.05,0.019,569,227,-1.355,ENSG00000205927,Oligodendrocyte transcription factor 2 (Oligo2) (Class B basic helix-loop-helix protein 1) (bHLHb1) (Class E basic helix-loop-helix protein 19) (bHLHe19) (Protein kinase C-binding protein 2) (Protein kinase C-binding protein RACK17),Nucleus,,,,,
OPALIN,,,,no,0.027,,306,0,,ENSG00000197430,Opalin (Oligodendrocytic myelin paranodal and inner loop protein) (Transmembrane protein 10),Cell membrane,oligodendrocyte,,,,
OSCP1,,,,no,0.822,1.022,9418,11946,0.314,ENSG00000116885,Protein OSCP1 (hOSCP1) (Organic solute transport protein 1) (Oxidored-nitro domain-containing protein 1),Basal cell membrane,,,,,
OSGIN2,,,,no,4.072,3.139,46635,36682,-0.375,ENSG00000164823,Oxidative stress-induced growth inhibitor 2 (hT41),,,,,,
PACC1,,,,no,1.243,1.075,14238,12557,-0.21,ENSG00000065600,Proton-activated chloride channel (PAC) (hPAC) (Acid-sensitive outwardly-rectifying anion channel) (ASOR) (Proton-activated outwardly rectifying anion channel) (PAORAC) (Transmembrane protein 206) (hTMEM206),Cell membrane,,,,,
PANX3,,,,no,0.047,,537,0,,ENSG00000154143,Pannexin-3,Cell membrane,,,,,
PARP11,,,,no,1.928,1.67,22082,19513,-0.207,ENSG00000111224,Protein mono-ADP-ribosyltransferase PARP11,Nucleus,,,,,
PART1,,,,no,0.167,0.074,1911,865,-1.172,ENSG00000152931,,,acinar cell of salivary gland;luminal cell of prostate epithelium;tracheobronchial serous cell;serous cell of epithelium of bronchus,,,,
PASD1,,,,no,0.057,0.013,658,151,-2.152,ENSG00000166049,Circadian clock protein PASD1 (Cancer/testis antigen 63) (CT63) (OX-TES-1) (PAS domain-containing protein 1),Nucleus,,,,,
PBDC1,,,,no,4.616,3.612,52865,42207,-0.354,ENSG00000102390,Protein PBDC1 (Polysaccharide biosynthesis domain-containing protein 1),,,,,,
PCA3,,,,no,0.066,0.015,755,178,-2.114,ENSG00000225937,,,lens fiber cell;secondary lens fiber;ciliary muscle cell,,,,
PCDH10,,,,no,0.163,0.161,1864,1877,-0.019,ENSG00000138650,Protocadherin-10,Cell membrane,,,,,
PCDH20,,,,no,0.141,0.08,1615,929,-0.827,ENSG00000280165,Protocadherin-20 (Protocadherin-13),Cell membrane,,,,,
PCDH8,,,,no,0.067,0.019,773,227,-1.797,ENSG00000136099,Protocadherin-8 (Arcadlin),Cell membrane,,,,,
PCDHA1,,,,no,0.163,0.04,1866,466,-2.03,ENSG00000204970,Protocadherin alpha-1 (PCDH-alpha-1),Secreted,,PCDH,,,
PCDHA2,,,,no,0.143,0.039,1639,460,-1.862,ENSG00000204969,Protocadherin alpha-2 (PCDH-alpha-2),Cell membrane,,PCDH,,,
PCDHA9,,,,no,0.065,0.079,746,921,0.275,ENSG00000204961,Protocadherin alpha-9 (PCDH-alpha-9),Cell membrane,,PCDH,,,
PCDHB14,,,,no,1.862,0.954,21322,11143,-0.965,ENSG00000120327,Protocadherin beta-14 (PCDH-beta-14),Cell membrane,,PCDH,,,
PCGEM1,,,,no,0.044,0.009,501,102,-2.325,ENSG00000227418,,,,,,,
