gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
FCGR2B,,,,no,0.251,0.606,2873,7078,1.272,ENSG00000072694,Low affinity immunoglobulin gamma Fc region receptor II-b (IgG Fc receptor II-b) (CDw32) (Fc-gamma RII-b) (Fc-gamma-RIIb) (FcRII-b) (CD antigen CD32),Cell membrane,"alternatively activated macrophage;colon macrophage;basophil;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;unswitched memory B cell",
FCGR3B,,,,no,1.18,0.869,13519,10152,-0.442,ENSG00000162747,Low affinity immunoglobulin gamma Fc region receptor III-B (Fc-gamma RIII-beta) (CD16-I) (Fc-gamma RIII) (Fc-gamma RIIIb) (FcRIII) (FcRIIIb) (FcR-10) (IgG Fc receptor III-1) (CD antigen CD16b),Cell membrane,blood cell;granulocyte;neutrophil;myelocyte;granulocytopoietic cell,
FCN1,,,,no,0.158,0.296,1808,3459,0.907,ENSG00000085265,Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin),Secreted,"phagocyte;colon macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;blood cell;granulocyte;neutrophil;immature neutrophil;leukocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;mononuclear cell;mature NK T cell;peripheral blood mononuclear cell;myeloid cell;promonocyte;promyelocyte;myelocyte;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell",
FGR,,,,no,0.67,0.773,7671,9035,0.207,ENSG00000000938,Tyrosine-protein kinase Fgr,Cell membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;neutrophil;leukocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;mononuclear cell;decidual natural killer cell, human;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;peripheral blood mononuclear cell;myeloid cell;promonocyte",
FLOT2,,,,no,14.003,14.234,160372,166318,0.024,ENSG00000132589,Flotillin-2 (Epidermal surface antigen) (ESA) (Membrane component chromosome 17 surface marker 1),Cell membrane,granulocyte;neutrophil,
FPR1,,,,no,0.751,0.982,8596,11474,0.388,ENSG00000171051,fMet-Leu-Phe receptor (fMLP receptor) (N-formyl peptide receptor) (FPR) (N-formylpeptide chemoattractant receptor),Cell membrane,"phagocyte;macrophage;alveolar macrophage;microglial cell;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;blood cell;granulocyte;neutrophil;immature neutrophil;leukocyte;professional antigen presenting cell;myeloid leukocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;myeloid cell",ANNEXIN;TAFA;CTSG
FPR2,,,,no,0.223,0.127,2558,1486,-0.812,ENSG00000171049,N-formyl peptide receptor 2 (FMLP-related receptor I) (FMLP-R-I) (Formyl peptide receptor-like 1) (HM63) (Lipoxin A4 receptor) (LXA4 receptor) (RFP),Cell membrane,blood cell;granulocyte;neutrophil;myelocyte,ANNEXIN;SAA;LXA4
FUT4,,,,no,3.995,3.115,45759,36396,-0.359,ENSG00000196371,"Alpha-(1,3)-fucosyltransferase 4 (4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase)",Golgi apparatus,promyelocyte;granulocytopoietic cell,
GATA1,,,,no,0.019,0.012,217,142,-0.641,ENSG00000102145,Erythroid transcription factor (Eryf1) (GATA-binding factor 1) (GATA-1) (GF-1) (NF-E1 DNA-binding protein),Nucleus,"hematopoietic stem cell;blood cell;eosinophil;erythrocyte;megakaryocyte-erythroid progenitor cell;megakaryocyte;erythroid lineage cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;proerythroblast;reticulocyte;enucleated reticulocyte;primitive red blood cell;basophil mast progenitor cell;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor",
GATA2,,,,no,2.307,4.203,26419,49109,0.866,ENSG00000179348,Endothelial transcription factor GATA-2 (GATA-binding protein 2),Nucleus,"hematopoietic stem cell;extravillous trophoblast;granulocyte;basophil;eosinophil;mast cell;mucosal type mast cell;megakaryocyte-erythroid progenitor cell;megakaryocyte;erythroid progenitor cell;erythroid progenitor cell, mammalian;basophil mast progenitor cell;hematopoietic multipotent progenitor cell",
