gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
TM4SF5,,,,no,0.011,0.014,127,164,0.34,ENSG00000142484,Transmembrane 4 L6 family member 5 (Tetraspan transmembrane protein L6H),Lysosome membrane,enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;type EC enteroendocrine cell;type L enteroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of small intestine;paneth cell;intestinal epithelial cell;epithelial cell of small intestine,
TMEM164,,,,no,7.069,8.745,80963,102185,0.307,ENSG00000157600,Transmembrane protein 164,Membrane,pigmented ciliary epithelial cell;non-pigmented ciliary epithelial cell;fat cell;sebaceous gland cell,
TMEM45A,,,,no,6.708,5.149,76826,60169,-0.381,ENSG00000181458,Transmembrane protein 45A (DNA polymerase-transactivated protein 4) (Dermal papilla-derived protein 7),Membrane,lung goblet cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;decidual cell;sebaceous gland cell,
TMEM45B,,,,no,1.26,0.483,14430,5642,-1.384,ENSG00000151715,Transmembrane protein 45B,Endosome membrane,enterocyte of epithelium of small intestine;intestinal epithelial cell,
TMEM98,,,,no,11.608,11.974,132951,139918,0.045,ENSG00000006042,Transmembrane protein 98 (Protein TADA1),Cell membrane,mesothelial cell;mesothelial cell of pleura;ovarian surface epithelial cell;pulmonary interstitial fibroblast;fibroblast of lung;mesenchymal cell,
TNFRSF11B,,,,no,0.874,0.909,10005,10620,0.057,ENSG00000164761,Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin),Secreted,kidney loop of Henle thin ascending limb epithelial cell;parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell,RANKL
TNFRSF12A,,,,no,10.928,7.394,125158,86399,-0.564,ENSG00000006327,Tumor necrosis factor receptor superfamily member 12A (Fibroblast growth factor-inducible immediate-early response protein 14) (FGF-inducible 14) (Tweak-receptor) (TweakR) (CD antigen CD266),Membrane,duct epithelial cell;pancreatic ductal cell;luminal epithelial cell of mammary gland;mesothelial cell of pleura;pancreatic D cell;epithelial cell of prostate;basal cell of prostate epithelium;mammary gland epithelial cell;epithelial cell of urethra;fibroblast of connective tissue of glandular part of prostate,TWEAK
TNFRSF21,,,,no,9.283,7.825,106315,91428,-0.247,ENSG00000146072,Tumor necrosis factor receptor superfamily member 21 (Death receptor 6) (CD antigen CD358),Cell membrane,epithelial cell of urethra;papillary tips cell,APP
TNFRSF6B,,,,no,0.466,0.407,5334,4760,-0.193,ENSG00000243509,Tumor necrosis factor receptor superfamily member 6B (Decoy receptor 3) (DcR3) (Decoy receptor for Fas ligand) (M68),Secreted,epithelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree,
TNFSF10,,,,no,3.339,5.115,38244,59772,0.615,ENSG00000121858,Tumor necrosis factor ligand superfamily member 10 (Apo-2 ligand) (Apo-2L) (TNF-related apoptosis-inducing ligand) (Protein TRAIL) (CD antigen CD253),Cell membrane,epithelial cell;glomerular capillary endothelial cell;lung endothelial cell;goblet cell;respiratory goblet cell;bronchial goblet cell;tracheal goblet cell;club cell;endothelial cell;endothelial cell of vascular tree;mast cell,TRAIL
