gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
FGF7,,,,no,2.953,1.762,33819,20591,-0.745,ENSG00000140285,Fibroblast growth factor 7 (FGF-7) (Heparin-binding growth factor 7) (HBGF-7) (Keratinocyte growth factor),Secreted,enteric smooth muscle cell;connective tissue cell;fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;bronchus fibroblast of lung;fibroblast of mammary gland;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;myofibroblast cell,FGF
FGF9,,,,no,0.214,0.149,2449,1738,-0.524,ENSG00000102678,Fibroblast growth factor 9 (FGF-9) (Glia-activating factor) (GAF) (Heparin-binding growth factor 9) (HBGF-9),Secreted,radial glial cell;Mueller cell,FGF
FGFR1,,,,no,20.063,19.893,229786,232446,-0.012,ENSG00000077782,Fibroblast growth factor receptor 1 (FGFR-1),Cell membrane,mesenchymal stem cell;pigmented epithelial cell;non-pigmented ciliary epithelial cell;pancreatic PP cell;fibroblast;keratocyte;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of breast;tendon cell;adventitial cell,FGF;NCAM
FGFR2,,,,no,6.628,8.716,75913,101840,0.395,ENSG00000066468,Fibroblast growth factor receptor 2 (FGFR-2),Cell membrane,basal cell of epidermis;choroid plexus epithelial cell;cholangiocyte;intrahepatic cholangiocyte;pigmented epithelial cell;non-pigmented ciliary epithelial cell;lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;smooth muscle cell of sphincter of pupil;ciliary muscle cell;Bergmann glial cell;lung secretory cell,FGF
FGFR3,,,,no,9.369,13.209,107302,154346,0.496,ENSG00000068078,Fibroblast growth factor receptor 3 (FGFR-3),Cell membrane,basal cell of epidermis;basal cell of epithelium of trachea;stem cell of epidermis;ependymal cell;keratinocyte;epidermal cell;conjunctival epithelial cell;astrocyte;mature astrocyte,FGF
FGFR4,,,,no,3.986,4.659,45653,54437,0.225,ENSG00000160867,Fibroblast growth factor receptor 4 (FGFR-4),Cell membrane,pulmonary interstitial fibroblast;fibroblast of lung,FGF
FZD1,,,,no,2.307,2.319,26425,27097,0.007,ENSG00000157240,Frizzled-1 (Fz-1) (hFz1) (FzE1),Cell membrane,mesangial cell,WNT;ncWNT
FZD10,,,,no,0.219,0.068,2508,797,-1.683,ENSG00000111432,Frizzled-10 (Fz-10) (hFz10) (FzE7) (CD antigen CD350),Cell membrane,,WNT;ncWNT
FZD3,,,,no,3.336,2.892,38204,33796,-0.206,ENSG00000104290,Frizzled-3 (Fz-3) (hFz3),Membrane,,WNT;ncWNT
FZD4,,,,no,4.318,5.094,49450,59526,0.239,ENSG00000174804,Frizzled-4 (Fz-4) (hFz4) (FzE4) (CD antigen CD344),Cell membrane,white fat cell;subcutaneous fat cell,WNT;ncWNT
FZD6,,,,no,2.997,2.472,34325,28887,-0.278,ENSG00000164930,Frizzled-6 (Fz-6) (hFz6),Membrane,basal cell of epithelium of bronchus;basal epithelial cell of tracheobronchial tree,WNT;ncWNT
FZD9,,,,no,0.083,0.099,955,1157,0.248,ENSG00000188763,Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349),Cell membrane,paneth cell,WNT;ncWNT
GDF11,,,,no,0.967,0.944,11076,11030,-0.035,ENSG00000135414,Growth/differentiation factor 11 (GDF-11) (Bone morphogenetic protein 11) (BMP-11),Secreted,,GDF
GDF15,,,,no,3.439,2.825,39392,33008,-0.284,ENSG00000130513,Growth/differentiation factor 15 (GDF-15) (Macrophage inhibitory cytokine 1) (MIC-1) (NSAID-activated gene 1 protein) (NAG-1) (NSAID-regulated gene 1 protein) (NRG-1) (Placental TGF-beta) (Placental bone morphogenetic protein) (Prostate differentiation factor),Secreted,endothelial cell of umbilical vein;bronchial goblet cell;urothelial cell;bladder urothelial cell;club cell;epithelial cell of urethra;trophoblast giant cell;syncytiotrophoblast cell;bladder cell,GDF
