gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
COL5A1,,,,no,6.941,4.792,79494,55991,-0.535,ENSG00000130635,Collagen alpha-1(V) chain,Secreted,endosteal cell;preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;brown preadipocyte;pancreatic stellate cell;fibroblast of cardiac tissue;fibroblast of lung;bronchus fibroblast of lung;mesothelial fibroblast;osteoblast;stromal cell;stromal cell of ovary;interstitial cell of ovary;mesenchymal cell,
COL5A2,,,,no,3.242,2.494,37135,29143,-0.379,ENSG00000204262,Collagen alpha-2(V) chain,Secreted,corneal endothelial cell;endosteal cell;preosteoblast;muscle cell;smooth muscle cell;connective tissue cell;fibroblast;alveolar type 2 fibroblast cell;preadipocyte;brown preadipocyte;fibroblast of cardiac tissue;fibroblast of lung;mesothelial fibroblast;osteoblast;mesenchymal cell;fibro/adipogenic progenitor cell,
COL7A1,,,,no,0.107,0.1,1223,1172,-0.09,ENSG00000114270,Collagen alpha-1(VII) chain (Long-chain collagen) (LC collagen),Secreted,basal cell of epidermis;stem cell of epidermis;basal epithelial cell of tracheobronchial tree,
CTHRC1,,,,no,1.428,1.414,16355,16526,-0.014,ENSG00000164932,Collagen triple helix repeat-containing protein 1,Secreted,vein endothelial cell;endothelial cell of umbilical vein;endocardial cell;preosteoblast;reticular cell;pancreatic stellate cell;osteoblast;chondrocyte,
CXCL12,,,,no,15.567,22.518,178287,263114,0.533,ENSG00000107562,Stromal cell-derived factor 1 (SDF-1) (hSDF-1) (C-X-C motif chemokine 12) (Intercrine reduced in hepatomas) (IRH) (hIRH) (Pre-B cell growth-stimulating factor) (PBSF),Secreted,mesenchymal stem cell;endothelial cell of artery;epithelial cell of thymus;cortical thymic epithelial cell;mesodermal cell;connective tissue cell;fibroblast;keratocyte;reticular cell;pulmonary interstitial fibroblast;fibroblast of lung;bronchus fibroblast of lung;fibroblast of mammary gland;skin fibroblast;mesenchymal cell;inflammatory cell,CXCL
CXCL6,,,,no,3.505,1.098,40148,12824,-1.675,ENSG00000124875,C-X-C motif chemokine 6 (Chemokine alpha 3) (CKA-3) (Granulocyte chemotactic protein 2) (GCP-2) (Small-inducible cytokine B6),Secreted,pancreatic ductal cell;intrahepatic cholangiocyte;epithelial cell of prostate;basal cell of prostate epithelium;club cell,CXCL
DAB2,,,,no,4.984,3.887,57077,45423,-0.358,ENSG00000153071,Disabled homolog 2 (Adaptor molecule disabled-2) (Differentially expressed in ovarian carcinoma 2) (DOC-2) (Differentially-expressed protein 2),Cytoplasm;Cytoplasmic vesicle,endosteal cell;elicited macrophage;alternatively activated macrophage;Hofbauer cell;trophoblast giant cell;pancreatic stellate cell;fibroblast of breast,
DKK1,,,,no,0.12,0.036,1371,425,-1.719,ENSG00000107984,Dickkopf-related protein 1 (Dickkopf-1) (Dkk-1) (hDkk-1) (SK),Secreted,endothelial cell of umbilical vein;bladder urothelial cell;epithelial cell of prostate;basal cell of prostate epithelium;epithelial cell of urethra;decidual cell;reticular cell;fibroblast of connective tissue of glandular part of prostate;stromal cell;stromal cell of ovary,
DST,,,,no,18.669,14.026,213813,163891,-0.413,ENSG00000151914,Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein),Cytoplasm,basal cell;basal cell of epidermis;stem cell of epidermis;myoepithelial cell;myoepithelial cell of mammary gland;alveolar type 2 fibroblast cell,
EDIL3,,,,no,0.361,0.237,4132,2764,-0.609,ENSG00000164176,EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1),Secreted,neuron associated cell;glial cell;macroglial cell;oligodendrocyte;interneuron;bipolar neuron;retinal bipolar neuron;rod bipolar cell,
ELN,,,,no,2.195,1.533,25140,17908,-0.518,ENSG00000049540,Elastin (Tropoelastin),Secreted,interstitial cell of Cajal;endosteal cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;smooth muscle myoblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;bronchus fibroblast of lung;chondrocyte;mesenchymal cell,
ENO2,,,,no,0.501,0.665,5740,7770,0.408,ENSG00000111674,Gamma-enolase,Cytoplasm,ON-bipolar cell;rod bipolar cell;OFF-bipolar cell;Cajal-Retzius cell;retinal ganglion cell;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;glycinergic neuron,
FAP,,,,no,1.191,2.01,13642,23483,0.755,ENSG00000078098,Prolyl endopeptidase FAP,Cytoplasm,endosteal cell;pancreatic stellate cell,
FAS,,,,no,1.751,1.442,20051,16855,-0.279,ENSG00000026103,Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95),Secreted,basal cell of prostate epithelium;medullary thymic epithelial cell,FASLG
FBLN2,,,,no,0.703,0.554,8049,6469,-0.344,ENSG00000163520,Fibulin-2 (FIBL-2),Secreted,mesenchymal stem cell;endothelial cell of artery;endocardial cell;endosteal cell;skeletal muscle fibroblast;decidual cell;connective tissue cell;fibroblast;keratocyte;reticular cell;brown preadipocyte;skin fibroblast;tendon cell;adventitial cell,
FBLN5,,,,no,12.541,4.752,143627,55521,-1.4,ENSG00000140092,Fibulin-5 (FIBL-5) (Developmental arteries and neural crest EGF-like protein) (Dance) (Urine p50 protein) (UP50),Secreted,mesenchymal stem cell;interstitial cell of Cajal;decidual cell;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;pancreatic stellate cell;bronchus fibroblast of lung;skin fibroblast;kidney interstitial fibroblast;stromal cell;adventitial cell;kidney interstitial cell,
FGF2,,,,no,0.524,0.608,6005,7105,0.214,ENSG00000138685,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),Secreted,myoepithelial cell;myoepithelial cell of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate,FGF
FMOD,,,,no,5.36,4.986,61384,58260,-0.104,ENSG00000122176,Fibromodulin (FM) (Collagen-binding 59 kDa protein) (Keratan sulfate proteoglycan fibromodulin) (KSPG fibromodulin),Secreted,duodenum glandular cell;endocardial cell;tendon cell;chondrocyte,
FOXC2,,,,no,0.04,0.02,462,229,-1.041,ENSG00000176692,Forkhead box protein C2 (Forkhead-related protein FKHL14) (Mesenchyme fork head protein 1) (MFH-1 protein) (Transcription factor FKH-14),Nucleus,endothelial cell of lymphatic vessel;vascular associated smooth muscle cell;smooth muscle cell of prostate,
FSTL1,,,,no,8.714,5.426,99799,63396,-0.684,ENSG00000163430,Follistatin-related protein 1 (Follistatin-like protein 1),Secreted,mesenchymal stem cell;endosteal cell;muscle cell;smooth muscle cell;connective tissue cell;fibroblast;keratocyte;reticular cell;brown preadipocyte;fibroblast of lung;bronchus fibroblast of lung;chondrocyte;adventitial cell,
FSTL3,,,,no,3.874,3.282,44368,38349,-0.239,ENSG00000070404,Follistatin-related protein 3 (Follistatin-like protein 3) (Follistatin-related gene protein),Nucleus,Sertoli cell;extravillous trophoblast,
FUCA1,,,,no,4.735,4.577,54234,53483,-0.049,ENSG00000179163,Tissue alpha-L-fucosidase,Lysosome,intermediate monocyte,
GADD45A,,,,no,5.886,3.406,67415,39799,-0.789,ENSG00000116717,Growth arrest and DNA damage-inducible protein GADD45 alpha (DNA damage-inducible transcript 1 protein) (DDIT-1),Nucleus,myoepithelial cell of mammary gland;urothelial cell;bladder urothelial cell;epithelial cell of uterus;epithelial cell of prostate;basal cell of prostate epithelium;epithelial cell of urethra;myometrial cell;bladder cell,
GJA1,,,,no,3.263,2.296,37370,26826,-0.507,ENSG00000152661,Gap junction alpha-1 protein (Connexin-43) (Cx43) (Gap junction 43 kDa heart protein),Cell membrane,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta ascending limb cell;retinal blood vessel endothelial cell;prostate gland microvascular endothelial cell;keratinocyte;epidermal cell;endothelial cell of vascular tree;preosteoblast;osteoblast,GAP
