gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
FDX1,,,no,ENSG00000137714,"Adrenodoxin, mitochondrial (Adrenal ferredoxin) (Ferredoxin-1) (Hepatoredoxin)",Mitochondrion matrix,glandular epithelial cell;cortical cell of adrenal gland;sperm;syncytiotrophoblast cell,,9.587,7.079,9.587,109796,82713,-0.438,curated,oxphos_TCA_mitochondria,False
FH,,,no,ENSG00000091483,"Fumarate hydratase, mitochondrial (Fumarase) (HsFH)",Cytoplasm,,,7.96,7.794,7.96,91170,91069,-0.031,curated,oxphos_TCA_mitochondria,True
GLUD1,,,no,ENSG00000148672,"Glutamate dehydrogenase 1, mitochondrial (GDH 1)",Mitochondrion,pancreatic A cell,,9.876,6.878,9.876,113110,80362,-0.522,curated,oxphos_TCA_mitochondria,False
GSTZ1,,,no,ENSG00000100577,Maleylacetoacetate isomerase (MAAI),Cytoplasm,,,4.27,3.761,4.27,48900,43949,-0.183,curated,oxphos_TCA_mitochondria,True
HADHA,,,no,ENSG00000084754,"Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (Monolysocardiolipin acyltransferase)",Mitochondrion,,,33.219,25.701,33.219,380455,300304,-0.37,curated,oxphos_TCA_mitochondria,True
HADHB,,,no,ENSG00000138029,"Trifunctional enzyme subunit beta, mitochondrial (TP-beta)",Mitochondrion,slow muscle cell,,19.568,18.543,19.568,224115,216672,-0.078,curated,oxphos_TCA_mitochondria,True
HSD17B10,,,no,ENSG00000072506,3-hydroxyacyl-CoA dehydrogenase type-2,Mitochondrion,,,7.287,6.893,7.287,83460,80539,-0.08,curated,oxphos_TCA_mitochondria,True
HSPA9,,,no,ENSG00000113013,"Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)",Mitochondrion,,,30.042,24.573,30.042,344065,287133,-0.29,curated,oxphos_TCA_mitochondria,True
HTRA2,,,no,ENSG00000115317,"Serine protease HTRA2, mitochondrial",Mitochondrion intermembrane space;Mitochondrion membrane,erythrocyte;erythroid lineage cell;erythroblast,,0.918,1.071,1.071,10518,12515,0.222,curated,oxphos_TCA_mitochondria,True
IDH1,,,no,ENSG00000138413,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1),Cytoplasm,urothelial cell;bladder urothelial cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;placental villous trophoblast;bladder cell,,4.745,4.191,4.745,54348,48968,-0.179,curated,oxphos_TCA_mitochondria,False
IDH2,,,no,ENSG00000182054,"Isocitrate dehydrogenase [NADP], mitochondrial (IDH)",Mitochondrion,placental villous trophoblast;primitive red blood cell;pre-conventional dendritic cell;pro-T cell,,22.849,20.881,22.849,261684,243988,-0.13,curated,oxphos_TCA_mitochondria,False
IMMT,,,no,ENSG00000132305,MICOS complex subunit MIC60 (Cell proliferation-inducing gene 4/52 protein) (Mitochondrial inner membrane protein) (Mitofilin) (p87/89),Mitochondrion inner membrane,,,9.874,9.597,9.874,113091,112135,-0.041,curated,oxphos_TCA_mitochondria,True
LDHA,,,no,ENSG00000134333,L-lactate dehydrogenase A chain (LDH-A),Cytoplasm,"pancreatic D cell;myometrial cell;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;rod bipolar cell;glycinergic neuron",,45.962,37.219,45.962,526404,434893,-0.304,curated,oxphos_TCA_mitochondria,False
LDLR,,,no,ENSG00000130164,Low-density lipoprotein receptor (LDL receptor),Cell membrane,paneth cell of epithelium of small intestine;duodenum glandular cell;cortical cell of adrenal gland;serous cell of epithelium of trachea,,11.863,4.159,11.863,135864,48596,-1.512,curated,oxphos_TCA_mitochondria,True
LRPPRC,,,no,ENSG00000138095,"Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)",Mitochondrion;Nucleus,,,11.884,13.872,13.872,136109,162088,0.223,curated,oxphos_TCA_mitochondria,True
MAOB,,,no,ENSG00000069535,Amine oxidase [flavin-containing] B,Mitochondrion outer membrane,lung neuroendocrine cell;pancreatic A cell;decidual cell;basophil;mast cell,,3.29,4.212,4.212,37685,49218,0.356,curated,oxphos_TCA_mitochondria,False
ME1,,,no,ENSG00000065833,NADP-dependent malic enzyme (NADP-ME),Cytoplasm,lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,,1.936,1.181,1.936,22170,13798,-0.713,curated,oxphos_TCA_mitochondria,False
MFN2,,,no,ENSG00000116688,Mitofusin-2,Mitochondrion outer membrane,,,5.72,5.283,5.72,65513,61734,-0.115,curated,oxphos_TCA_mitochondria,True
MTRF1,,,no,ENSG00000120662,"Peptide chain release factor 1, mitochondrial (MRF-1) (MtRF-1)",Mitochondrion,,,3.804,3.853,3.853,43572,45025,0.018,curated,oxphos_TCA_mitochondria,True
NDUFA3,,,no,ENSG00000170906,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (CI-B9) (NADH-ubiquinone oxidoreductase B9 subunit),Mitochondrion inner membrane,osteoclast,,1.814,2.297,2.297,20771,26842,0.341,curated,oxphos_TCA_mitochondria,True
NDUFAB1,,,no,ENSG00000004779,"Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)",Mitochondrion,,,6.042,4.949,6.042,69204,57832,-0.288,curated,oxphos_TCA_mitochondria,True
NQO2,,,no,ENSG00000124588,Ribosyldihydronicotinamide dehydrogenase [quinone],Cytoplasm,,,2.733,2.66,2.733,31301,31087,-0.039,curated,oxphos_TCA_mitochondria,True
OGDH,,,no,ENSG00000105953,2-oxoglutarate dehydrogenase complex component E1 (E1o) (OGDC-E1) (OGDH-E1),Mitochondrion,,,10.837,9.672,10.837,124112,113017,-0.164,curated,oxphos_TCA_mitochondria,True
PC,,,no,ENSG00000173599,"Pyruvate carboxylase, mitochondrial",Mitochondrion matrix,,,1.5,2.073,2.073,17184,24218,0.466,curated,oxphos_TCA_mitochondria,True
PDHA1,,,no,ENSG00000131828,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",Mitochondrion matrix,intestinal crypt stem cell of colon,,13.818,13.22,13.818,158260,154471,-0.064,curated,oxphos_TCA_mitochondria,True
PDHB,,,no,ENSG00000168291,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B)",Mitochondrion matrix,epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte,,9.245,8.602,9.245,105879,100510,-0.104,curated,oxphos_TCA_mitochondria,False
PDPK1,,,no,ENSG00000140992,3-phosphoinositide-dependent protein kinase 1 (hPDK1),Cytoplasm;Nucleus;Cell membrane,,,6.841,7.32,7.32,78351,85530,0.098,curated,oxphos_TCA_mitochondria,True
PHB2,,,no,ENSG00000215021,Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity),Mitochondrion inner membrane,glioblast;Schwann cell precursor,,30.311,29.52,30.311,347146,344936,-0.038,curated,oxphos_TCA_mitochondria,False
PKM,,,no,ENSG00000067225,Pyruvate kinase PKM,Cytoplasm,fallopian tube secretory epithelial cell;rod bipolar cell;OFF-bipolar cell;retinal cone cell;glycinergic neuron,,31.956,30.91,31.956,365988,361178,-0.048,curated,oxphos_TCA_mitochondria,False
PM20D1,,,no,ENSG00000162877,N-fatty-acyl-amino acid synthase/hydrolase PM20D1,Secreted,sebaceous gland cell,,3.036,6.06,6.06,34771,70812,0.997,curated,oxphos_TCA_mitochondria,True
POR,,,no,ENSG00000127948,NADPH--cytochrome P450 reductase (CPR) (P450R),Endoplasmic reticulum membrane,type I pneumocyte;hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;Leydig cell,,6.626,7.866,7.866,75884,91916,0.248,curated,oxphos_TCA_mitochondria,True
PPARD,,,no,ENSG00000112033,Peroxisome proliferator-activated receptor delta (PPAR-delta) (NUCI) (Nuclear hormone receptor 1) (NUC1) (Nuclear receptor subfamily 1 group C member 2) (Peroxisome proliferator-activated receptor beta) (PPAR-beta),Nucleus,,DHEAS,3.178,3.22,3.22,36400,37627,0.019,curated,oxphos_TCA_mitochondria,True
RHOT1,,,no,ENSG00000126858,Mitochondrial Rho GTPase 1 (MIRO-1) (hMiro-1),Mitochondrion outer membrane,,,9.287,8.655,9.287,106363,101128,-0.102,curated,oxphos_TCA_mitochondria,True
RXRA,,,no,ENSG00000186350,Retinoic acid receptor RXR-alpha (Nuclear receptor subfamily 2 group B member 1) (Retinoid X receptor alpha),Nucleus,,RA,10.016,10.133,10.133,114717,118398,0.017,curated,oxphos_TCA_mitochondria,True
SDHA,,,no,ENSG00000073578,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",Mitochondrion inner membrane,transit amplifying cell of small intestine,,22.965,28.626,28.626,263018,334491,0.318,curated,oxphos_TCA_mitochondria,True
SDHB,,,no,ENSG00000117118,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",Mitochondrion inner membrane,osteoclast;professional antigen presenting cell;dendritic cell,,17.981,16.953,17.981,205939,198096,-0.085,curated,oxphos_TCA_mitochondria,False
SLC16A1,,,no,ENSG00000155380,Monocarboxylate transporter 1 (MCT 1) (Solute carrier family 16 member 1),Cell membrane,granulosa cell;retinal pigment epithelial cell;erythroid lineage cell;Mueller cell,,0.401,0.304,0.401,4598,3547,-0.403,curated,oxphos_TCA_mitochondria,False
SLC25A11,,,no,ENSG00000108528,Mitochondrial 2-oxoglutarate/malate carrier protein (OGCP) (alpha-oxoglutarate carrier) (Solute carrier family 25 member 11) (SLC25A11),Mitochondrion inner membrane,,,5.027,4.72,5.027,57577,55152,-0.091,curated,oxphos_TCA_mitochondria,True
SLC25A4,,,no,ENSG00000151729,"ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1) (ANT 1) (Solute carrier family 25 member 4)",Mitochondrion inner membrane,cardiac muscle cell;slow muscle cell;fast muscle cell,,7.178,4.688,7.178,82209,54781,-0.615,curated,oxphos_TCA_mitochondria,True
SUPV3L1,,,no,ENSG00000156502,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",Nucleus,,,2.462,2.717,2.717,28193,31753,0.143,curated,oxphos_TCA_mitochondria,True
TIMM50,,,no,ENSG00000105197,Mitochondrial import inner membrane translocase subunit TIM50,Mitochondrion inner membrane,,,1.408,1.085,1.408,16125,12679,-0.376,curated,oxphos_TCA_mitochondria,True
TRAP1,,,no,ENSG00000126602,"Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)",Mitochondrion,osteoclast,,10.855,11.512,11.512,124321,134512,0.085,curated,oxphos_TCA_mitochondria,True
UCP2,,,no,ENSG00000175567,Dicarboxylate carrier SLC25A8 (Mitochondrial uncoupling protein 2) (UCP 2) (Solute carrier family 25 member 8) (UCPH),Mitochondrion inner membrane,"erythrocyte;professional antigen presenting cell;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;CD141-positive myeloid dendritic cell;dendritic cell, human;B-1a B cell;B-1b B cell;germinal center B cell;small pre-B-II cell;large pre-B-II cell;pre-B-I cell;erythroid lineage cell;reticulocyte;enucleated reticulocyte",,1.737,1.662,1.737,19895,19420,-0.064,curated,oxphos_TCA_mitochondria,False
VDAC1,,,no,ENSG00000213585,Voltage-dependent anion-selective channel protein 1 (VDAC-1) (hVDAC1) (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Porin 31HL) (Porin 31HM),Mitochondrion outer membrane,microfold cell of epithelium of small intestine;osteoclast;ON-bipolar cell;rod bipolar cell;OFF-bipolar cell,,16.544,19.468,19.468,189477,227475,0.235,curated,oxphos_TCA_mitochondria,True
VDAC2,,,no,ENSG00000165637,Voltage-dependent anion-selective channel protein 2 (VDAC-2) (hVDAC2) (Outer mitochondrial membrane protein porin 2),Mitochondrion outer membrane,mast cell;mucosal type mast cell,,17.796,18.516,18.516,203812,216360,0.057,curated,oxphos_TCA_mitochondria,False
