gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
ERN1,,,no,True,ENSG00000178607,Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a),Endoplasmic reticulum membrane,mucosal invariant T cell;plasma cell;IgG plasma cell;IgA plasma cell,,11.908,8.604,11.908,136379,100541,-0.469
HSPA8,,,no,True,ENSG00000109971,Heat shock cognate 71 kDa protein,Cytoplasm,"mature conventional dendritic cell;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;activated CD4-positive, alpha-beta T cell;mucosal invariant T cell;mature T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",,70.479,61.871,70.479,807194,722951,-0.188
HYOU1,,,no,True,ENSG00000149428,Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170),Endoplasmic reticulum lumen,plasmablast;IgG plasmablast;IgA plasmablast,,30.078,28.907,30.078,344481,337771,-0.057
PDIA3,,,no,True,ENSG00000167004,Protein disulfide-isomerase A3,Endoplasmic reticulum,preosteoblast;serous cell of epithelium of trachea;serous cell of epithelium of bronchus;lung secretory cell,,31.742,29.16,31.742,363542,340727,-0.122
PDIA4,,,no,True,ENSG00000155660,Protein disulfide-isomerase A4,Endoplasmic reticulum lumen,plasmablast;IgG plasmablast;IgA plasmablast;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell,,30.12,27.531,30.12,344968,321689,-0.13
SEL1L,,,no,True,ENSG00000071537,Protein sel-1 homolog 1 (Suppressor of lin-12-like protein 1) (Sel-1L),Endoplasmic reticulum membrane,pancreatic acinar cell;acinar cell;IgG plasmablast;IgA plasmablast;plasma cell;IgA plasma cell,,51.009,45.792,51.009,584204,535067,-0.156
SESN2,,,no,True,ENSG00000130766,Sestrin-2,Cytoplasm,,,1.545,2.166,2.166,17697,25314,0.488
SYVN1,,,no,True,ENSG00000162298,E3 ubiquitin-protein ligase synoviolin,Endoplasmic reticulum membrane,germinal center B cell;plasmablast;precursor B cell;small pre-B-II cell;pre-B-I cell;plasma cell;IgG plasma cell,,7.591,10.407,10.407,86937,121598,0.455
TRIB3,,,no,True,ENSG00000101255,Tribbles homolog 3 (TRB-3) (Neuronal cell death-inducible putative kinase) (SINK) (p65-interacting inhibitor of NF-kappa-B),Nucleus,myoepithelial cell;myoepithelial cell of mammary gland,,2.332,1.542,2.332,26712,18017,-0.597
XBP1,,,no,True,ENSG00000100219,X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5) (TREB-5),Endoplasmic reticulum,luminal epithelial cell of mammary gland;ileal goblet cell;IgG plasmablast;IgA plasmablast;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;tracheobronchial serous cell;serous cell of epithelium of trachea;serous cell of epithelium of bronchus,,72.745,63.583,72.745,833141,742953,-0.194
