gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
KCNB1,,,no,ENSG00000158445,Potassium voltage-gated channel subfamily B member 1 (Delayed rectifier potassium channel 1) (DRK1) (h-DRK1) (Voltage-gated potassium channel subunit Kv2.1),Cell membrane,neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;retinal rod cell,,0.132,0.08,0.132,1508,935,-0.719,curated,ion_channels,True
KCNC1,,,no,ENSG00000129159,Potassium voltage-gated channel subfamily C member 1 (NGK2) (Voltage-gated potassium channel subunit Kv3.1) (Voltage-gated potassium channel subunit Kv4),Cell membrane,,,0.157,0.147,0.157,1802,1719,-0.097,curated,ion_channels,True
KCNC3,,,no,ENSG00000131398,Potassium voltage-gated channel subfamily C member 3 (KSHIIID) (Voltage-gated potassium channel subunit Kv3.3),Cell membrane,taste receptor cell,,3.397,3.096,3.397,38905,36173,-0.134,curated,ion_channels,True
KCNC4,,,no,ENSG00000116396,Potassium voltage-gated channel subfamily C member 4 (KSHIIIC) (Voltage-gated potassium channel subunit Kv3.4),Membrane,,,3.547,4.923,4.923,40629,57520,0.473,curated,ion_channels,True
KCNF1,,,no,ENSG00000162975,Potassium voltage-gated channel subfamily F member 1 (Voltage-gated potassium channel subunit Kv5.1) (kH1),Membrane,,,0.396,0.107,0.396,4534,1247,-1.891,curated,ion_channels,True
KCNH1,,,no,ENSG00000143473,Potassium voltage-gated channel subfamily H member 1 (Ether-a-go-go potassium channel 1) (EAG channel 1) (h-eag) (hEAG1) (Voltage-gated potassium channel subunit Kv10.1),Cell membrane,neuroendocrine cell;chromaffin cell;skeletal muscle fibroblast,,0.232,0.075,0.232,2656,871,-1.637,curated,ion_channels,False
KCNH3,,,no,ENSG00000135519,Potassium voltage-gated channel subfamily H member 3 (Brain-specific eag-like channel 1) (BEC1) (Ether-a-go-go-like potassium channel 2) (ELK channel 2) (ELK2) (Voltage-gated potassium channel subunit Kv12.2),Membrane,,,0.165,0.201,0.201,1889,2348,0.285,curated,ion_channels,True
KCNH4,,,no,ENSG00000089558,Potassium voltage-gated channel subfamily H member 4 (Brain-specific eag-like channel 2) (BEC2) (Ether-a-go-go-like potassium channel 1) (ELK channel 1) (ELK1) (Voltage-gated potassium channel subunit Kv12.3),Membrane,,,0.037,0.024,0.037,426,282,-0.624,curated,ion_channels,True
KCNH5,,,no,ENSG00000140015,Potassium voltage-gated channel subfamily H member 5 (Ether-a-go-go potassium channel 2) (hEAG2) (Voltage-gated potassium channel subunit Kv10.2),Membrane,ciliary muscle cell;interneuron;bipolar neuron;retinal bipolar neuron;amacrine cell;sympathetic neuron,,0.015,0.009,0.015,169,104,-0.729,curated,ion_channels,False
KCNH6,,,no,ENSG00000173826,Potassium voltage-gated channel subfamily H member 6 (Ether-a-go-go-related gene potassium channel 2) (ERG-2) (Eag-related protein 2) (Ether-a-go-go-related protein 2) (hERG-2) (hERG2) (Voltage-gated potassium channel subunit Kv11.2),Membrane,lung neuroendocrine cell,,0.199,0.185,0.199,2279,2160,-0.106,curated,ion_channels,True
