gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
CLDN1,,,no,True,ENSG00000163347,Claudin-1 (Senescence-associated epithelial membrane protein),Cell junction,basal cell of epidermis;stem cell of epidermis;pancreatic ductal cell;intrahepatic cholangiocyte;epithelial cell of lacrimal sac;mesothelial cell of pleura;corneal epithelial cell;epithelial cell of urethra;conjunctival epithelial cell,CLDN,21.44,14.895,21.44,245550,174040,-0.526
COL18A1,,,no,True,ENSG00000182871,Collagen alpha-1(XVIII) chain,Secreted,pancreatic ductal cell;kidney loop of Henle thin ascending limb epithelial cell,,13.111,15.849,15.849,150159,185186,0.274
CTRL,,,no,True,ENSG00000141086,Chymotrypsin-like protease CTRL-1,,pancreatic acinar cell;glandular epithelial cell;acinar cell,,28.326,31.947,31.947,324416,373291,0.174
CUZD1,,,no,True,ENSG00000138161,CUB and zona pellucida-like domain-containing protein 1 (CUB and ZP domain-containing protein 1) (Transmembrane protein UO-44),Zymogen granule membrane,pancreatic acinar cell;glandular epithelial cell;acinar cell,,79.374,68.247,79.374,909062,797443,-0.218
CXCL6,,,no,True,ENSG00000124875,C-X-C motif chemokine 6 (Chemokine alpha 3) (CKA-3) (Granulocyte chemotactic protein 2) (GCP-2) (Small-inducible cytokine B6),Secreted,pancreatic ductal cell;intrahepatic cholangiocyte;epithelial cell of prostate;basal cell of prostate epithelium;club cell,CXCL,3.505,1.098,3.505,40148,12824,-1.675
DUSP23,,,no,True,ENSG00000158716,Dual specificity protein phosphatase 23,Cytoplasm,retinal blood vessel endothelial cell;lung microvascular endothelial cell;lung endothelial cell;pancreatic acinar cell;acinar cell of salivary gland;endothelial cell of uterus;Cajal-Retzius cell;salivary gland cell;tracheobronchial serous cell;serous cell of epithelium of trachea,,8.709,10.035,10.035,99744,117252,0.204
EPHB6,,,no,True,ENSG00000106123,Ephrin type-B receptor 6 (HEP) (Tyrosine-protein kinase-defective receptor EPH-6),Membrane,pancreatic ductal cell,EPHB,4.772,4.568,4.772,54653,53378,-0.063
ERP27,,,no,True,ENSG00000139055,Endoplasmic reticulum resident protein 27 (ER protein 27) (ERp27) (Inactive protein disulfide-isomerase 27),Endoplasmic reticulum lumen,kidney collecting duct intercalated cell;type B pancreatic cell;pancreatic acinar cell;acinar cell;parietal epithelial cell,,52.01,45.698,52.01,595668,533963,-0.187
FKBP11,,,no,True,ENSG00000134285,Peptidyl-prolyl cis-trans isomerase FKBP11 (PPIase FKBP11),Membrane,pancreatic acinar cell;acinar cell;plasmablast;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;osteoblast;tracheobronchial serous cell,,15.625,14.172,15.625,178955,165594,-0.141
HES4,,,no,True,ENSG00000188290,Transcription factor HES-4 (hHES4) (Class B basic helix-loop-helix protein 42) (bHLHb42) (Hairy and enhancer of split 4) (bHLH factor Hes4),Nucleus,duct epithelial cell;pancreatic ductal cell;luminal epithelial cell of mammary gland;paneth cell of colon;urothelial cell;bladder urothelial cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;cerebral cortex endothelial cell;mammary gland epithelial cell;vascular associated smooth muscle cell;bronchial smooth muscle cell;monocyte;pro-T cell;fibroblast of connective tissue of nonglandular part of prostate;mural cell;bladder cell,,0.953,1.054,1.054,10918,12315,0.145
