gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
CCN1,,,no,ENSG00000142871,CCN family member 1 (Cellular communication network factor 1) (Cysteine-rich angiogenic inducer 61) (Insulin-like growth factor-binding protein 10) (IBP-10) (IGF-binding protein 10) (IGFBP-10) (Protein CYR61) (Protein GIG1),Secreted,glioblast;Schwann cell precursor;skeletal muscle satellite stem cell;myoepithelial cell;myoepithelial cell of mammary gland;epithelial cell of uterus;basal cell of prostate epithelium;uterine smooth muscle cell;tracheobronchial smooth muscle cell;skeletal muscle satellite cell;decidual cell;tendon cell;theca cell,,6.646,11.12,11.12,76119,129936,0.743,curated,hypoxia_HIF,False
CCN2,,,no,ENSG00000118523,CCN family member 2 (Cellular communication network factor 2) (Connective tissue growth factor) (Hypertrophic chondrocyte-specific protein 24) (Insulin-like growth factor-binding protein 8) (IBP-8) (IGF-binding protein 8) (IGFBP-8),Secreted,multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;endothelial cell of umbilical vein;pancreatic PP cell;PP cell;endothelial cell of uterus;kidney glomerular epithelial cell;parietal epithelial cell;enteric smooth muscle cell;glutamatergic neuron;tendon cell,,6.815,6.411,6.815,78050,74916,-0.088,curated,hypoxia_HIF,False
CCN5,,,no,ENSG00000064205,CCN family member 5 (Connective tissue growth factor-like protein) (CTGF-L) (Connective tissue growth factor-related protein 58) (WNT1-inducible-signaling pathway protein 2) (WISP-2),Secreted,stem cell;mesenchymal stem cell;smooth muscle cell;myometrial cell;bronchial smooth muscle cell;skeletal muscle fibroblast;connective tissue cell;fibroblast;keratocyte;reticular cell;fibroblast of mammary gland;skin fibroblast;stromal cell;tendon cell;theca cell;adventitial cell;inflammatory cell,,0.131,0.365,0.365,1504,4269,1.476,curated,hypoxia_HIF,False
CDKN1A,,,no,ENSG00000124762,Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21),Cytoplasm,skeletal muscle satellite stem cell;epithelial cell of lacrimal sac;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;vascular associated smooth muscle cell;myometrial cell;skeletal muscle satellite cell;mature conventional dendritic cell;tendon cell,,15.485,12.015,15.485,177354,140389,-0.366,curated,hypoxia_HIF,False
CDKN1B,,,no,ENSG00000111276,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1),Nucleus;Cytoplasm;Endosome,"CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte",,8.969,11.332,11.332,102727,132413,0.337,curated,hypoxia_HIF,False
CDKN1C,,,no,ENSG00000129757,Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57Kip2),Nucleus,"intestinal crypt stem cell of large intestine;paneth cell;epithelial cell of thymus;cortical thymic epithelial cell;club cell;extravillous trophoblast;placental villous trophoblast;syncytiotrophoblast cell;CD14-low, CD16-positive monocyte;connective tissue cell;fibroblast;keratocyte;fibroblast of lung;myofibroblast cell",,2.656,2.081,2.656,30416,24319,-0.352,curated,hypoxia_HIF,False
COL5A1,,,no,ENSG00000130635,Collagen alpha-1(V) chain,Secreted,endosteal cell;preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;brown preadipocyte;pancreatic stellate cell;fibroblast of cardiac tissue;fibroblast of lung;bronchus fibroblast of lung;mesothelial fibroblast;osteoblast;stromal cell;stromal cell of ovary;interstitial cell of ovary;mesenchymal cell,,6.941,4.792,6.941,79494,55991,-0.535,curated,hypoxia_HIF,False
CP,,,no,ENSG00000047457,Ceruloplasmin,Secreted,non-pigmented ciliary epithelial cell;respiratory goblet cell;tracheal goblet cell;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;chorionic trophoblast cell;serous cell of epithelium of trachea,,0.383,0.955,0.955,4381,11164,1.321,curated,hypoxia_HIF,False
CREBBP,,,no,ENSG00000005339,CREB-binding protein (Histone lysine acetyltransferase CREBBP),Cytoplasm,,,14.832,17.279,17.279,169874,201905,0.22,curated,hypoxia_HIF,True
CUL2,,,no,ENSG00000108094,Cullin-2 (CUL-2),Nucleus,,,4.153,4.113,4.153,47563,48063,-0.014,curated,hypoxia_HIF,True
