gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
IFNG,,,no,True,ENSG00000111537,Interferon gamma (IFN-gamma) (Immune interferon),Secreted,"lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;regulatory T cell;exhausted T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;DN1 thymic pro-T cell",IFN-II,0.062,0.022,0.062,705,255,-1.496
IFNGR1,,,no,True,ENSG00000027697,Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119),Cell membrane,myoepithelial cell;myoepithelial cell of mammary gland;microglial cell,IFN-II,10.424,12.924,12.924,119388,151017,0.31
IFNGR2,,,no,True,ENSG00000159128,Interferon gamma receptor 2 (IFN-gamma receptor 2) (IFN-gamma-R2) (Interferon gamma receptor accessory factor 1) (AF-1) (Interferon gamma receptor beta-chain) (IFN-gamma-R-beta) (Interferon gamma transducer 1),Cell membrane,epithelial cell of urethra,IFN-II,7.387,6.266,7.387,84604,73213,-0.238
IFNL1,,,no,True,ENSG00000182393,Interferon lambda-1 (IFN-lambda-1) (Cytokine Zcyto21) (Interleukin-29) (IL-29),Secreted,,,0.014,,0.014,157,0,
IFNL2,,,no,True,ENSG00000183709,Interferon lambda-2 (IFN-lambda-2) (Cytokine Zcyto20) (Interleukin-28A) (IL-28A),Secreted,,,0.024,0.011,0.024,271,124,-1.157
IFNL3,,,no,True,ENSG00000197110,Interferon lambda-3 (IFN-lambda-3) (Cytokine Zcyto22) (Interleukin-28B) (IL-28B) (Interleukin-28C) (IL-28C),Secreted,,,0.025,0.012,0.025,286,136,-1.101
IFNW1,,,no,True,ENSG00000177047,Interferon omega-1 (Interferon alpha-II-1),Secreted,,IFN-I,0.063,0.01,0.063,725,122,-2.6
IRF1,,,no,True,ENSG00000125347,Interferon regulatory factor 1 (IRF-1),Nucleus,"vasa recta ascending limb cell;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;gut endothelial cell;surface ectodermal cell;IgG-negative class switched memory B cell;mature alpha-beta T cell;mucosal invariant T cell;CD16-negative, CD56-bright natural killer cell, human;group 2 innate lymphoid cell, human",,8.716,6.71,8.716,99826,78402,-0.377
IRF3,,,no,True,ENSG00000126456,Interferon regulatory factor 3 (IRF-3),Cytoplasm,,,5.663,7.684,7.684,64857,89789,0.44
IRF7,,,no,True,ENSG00000185507,Interferon regulatory factor 7 (IRF-7),Nucleus;Cytoplasm,"bone marrow cell;granulocyte monocyte progenitor cell;professional antigen presenting cell;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human;IgG plasma cell;common dendritic progenitor",,0.991,0.876,0.991,11346,10237,-0.177
JAK1,,,no,True,ENSG00000162434,Tyrosine-protein kinase JAK1,Endomembrane system,"mature conventional dendritic cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;mucosal invariant T cell;mature T cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;group 2 innate lymphoid cell, human;fibro/adipogenic progenitor cell",,10.6,11.872,11.872,121398,138716,0.163
JAK2,,,no,True,ENSG00000096968,Tyrosine-protein kinase JAK2,Endomembrane system,basal cell of epidermis;stem cell of epidermis;mesothelial fibroblast,,2.05,2.653,2.653,23475,30998,0.372
JAK3,,,no,True,ENSG00000105639,Tyrosine-protein kinase JAK3,Endomembrane system,"CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;mature NK T cell",,0.946,1.802,1.802,10834,21059,0.93
MX1,,,no,True,ENSG00000157601,Interferon-induced GTP-binding protein Mx1 (Interferon-induced protein p78) (IFI-78K) (Interferon-regulated resistance GTP-binding protein MxA) (Myxoma resistance protein 1) (Myxovirus resistance protein 1),Cytoplasm,"plasmacytoid dendritic cell, human;dendritic cell, human;IgA plasmablast;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human",,3.997,3.217,3.997,45780,37585,-0.313
OAS1,,,no,True,ENSG00000089127,2'-5'-oligoadenylate synthase 1 ((2-5')oligo(A) synthase 1) (2-5A synthase 1),Cytoplasm,goblet cell;respiratory goblet cell;tracheal goblet cell,,0.53,0.713,0.713,6073,8336,0.428
OAS3,,,no,True,ENSG00000111331,2'-5'-oligoadenylate synthase 3 ((2-5')oligo(A) synthase 3) (2-5A synthase 3),Cytoplasm;Nucleus,,,1.628,1.975,1.975,18647,23079,0.279
RSAD2,,,no,True,ENSG00000134321,S-adenosylmethionine-dependent nucleotide dehydratase RSAD2 (SAND),Endoplasmic reticulum membrane,"activated CD4-positive, alpha-beta T cell, human",,0.521,0.391,0.521,5964,4564,-0.415
SAMD9,,,no,True,ENSG00000205413,Sterile alpha motif domain-containing protein 9 (SAM domain-containing protein 9),Cytoplasm,"respiratory basal cell;basal cell of epithelium of bronchus;basal epithelial cell of tracheobronchial tree;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human",,1.081,0.9,1.081,12376,10513,-0.264
