gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
CASP7,,,no,ENSG00000165806,Caspase-7 (CASP-7),Cytoplasm,respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell,,7.156,4.502,7.156,81962,52600,-0.669,curated,complement_extended,False
CASP9,,,no,ENSG00000132906,Caspase-9 (CASP-9),,,,1.897,2.254,2.254,21722,26333,0.249,curated,complement_extended,False
CBLB,,,no,ENSG00000114423,E3 ubiquitin-protein ligase CBL-B,Cytoplasm,pigmented epithelial cell;podocyte;muscle precursor cell;cardiac muscle myoblast;alveolar type 2 fibroblast cell;preadipocyte;brown preadipocyte;fibro/adipogenic progenitor cell,,2.722,3.109,3.109,31172,36323,0.192,curated,complement_extended,False
CD19,,,no,ENSG00000177455,B-lymphocyte antigen CD19 (B-lymphocyte surface antigen B4) (Differentiation antigen CD19) (T-cell surface antigen Leu-12) (CD antigen CD19),Cell membrane,professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;naive B cell;B-1a B cell;B-1b B cell;follicular B cell;germinal center B cell;mononuclear cell;lymphocyte;regulatory T cell;B cell;immature B cell;precursor B cell;small pre-B-II cell;large pre-B-II cell;pre-B-I cell;late pro-B cell;transitional stage B cell;early T lineage precursor,,0.078,0.132,0.132,897,1538,0.749,curated,complement_extended,False
CD36,,,no,ENSG00000135218,Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36),Cell membrane,"vein endothelial cell;capillary endothelial cell;dermis microvascular lymphatic vessel endothelial cell;Hofbauer cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast;dendritic cell, human;erythroid lineage cell;erythroblast;fat cell;white fat cell;adipocyte of breast",THBS,2.321,2.918,2.918,26582,34098,0.33,curated,complement_extended,False
CD40LG,,,no,ENSG00000102245,CD40 ligand (CD40-L) (T-cell antigen Gp39) (TNF-related activation protein) (TRAP) (Tumor necrosis factor ligand superfamily member 5) (CD antigen CD154),Cell membrane,"T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T-helper 17 cell;T follicular helper cell;activated CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;type I NK T cell;mucosal invariant T cell;mature T cell;memory T cell;group 3 innate lymphoid cell",CD40,0.05,0.043,0.05,567,506,-0.193,curated,complement_extended,False
CD46,,,no,ENSG00000117335,Membrane cofactor protein (TLX) (Trophoblast leukocyte common antigen) (CD antigen CD46),Cytoplasmic vesicle,intrahepatic cholangiocyte;urothelial cell;bladder urothelial cell;intestinal tuft cell;tuft cell of colon;salivary gland cell;serous cell of epithelium of trachea;bladder cell,CD46,25.675,26.197,26.197,294055,306104,0.029,curated,complement_extended,False
CD55,,,no,ENSG00000196352,Complement decay-accelerating factor (CD antigen CD55),Cell membrane,epithelial cell of lacrimal sac;type I pneumocyte;respiratory goblet cell;tracheal goblet cell;paneth cell of epithelium of small intestine;urothelial cell;bladder urothelial cell;conjunctival epithelial cell;neutrophil;serous cell of epithelium of trachea;bladder cell,ADGRE,3.817,3.838,3.838,43717,44851,0.008,curated,complement_extended,False
CD59,,,no,ENSG00000085063,CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59),Cell membrane,pancreatic ductal cell;blood vessel endothelial cell;vein endothelial cell;capillary endothelial cell;lung microvascular endothelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;endothelial cell of vascular tree;epithelial cell of urethra;fibroblast of breast;serous cell of epithelium of trachea,,16.947,12.598,16.947,194095,147205,-0.428,curated,complement_extended,False
CDA,,,no,ENSG00000158825,Cytidine deaminase,,renal beta-intercalated cell;granulocyte;neutrophil;immature neutrophil;promonocyte;myelocyte;myeloid lineage restricted progenitor cell;granulocytopoietic cell,,0.255,0.219,0.255,2917,2556,-0.22,curated,complement_extended,False
CDH13,,,no,ENSG00000140945,Cadherin-13 (Heart cadherin) (H-cadherin) (P105) (Truncated cadherin) (T-cad) (T-cadherin),Cell membrane,basal cell of epidermis;stem cell of epidermis;basal epithelial cell of prostatic duct;lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast,,0.128,0.104,0.128,1467,1217,-0.298,curated,complement_extended,False
CFB,,,no,ENSG00000243649,Complement factor B,Secreted,duct epithelial cell;luminal epithelial cell of mammary gland;mesothelial cell of pleura;goblet cell;respiratory goblet cell;tracheal goblet cell;mammary gland epithelial cell;mesothelial fibroblast;serous cell of epithelium of trachea,,13,12.427,13,148893,145206,-0.065,curated,complement_extended,False
CFH,,,no,ENSG00000000971,Complement factor H (H factor 1),Secreted,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;parietal epithelial cell;keratocyte;hepatic stellate cell;skin fibroblast;mesothelial fibroblast;chondrocyte;inflammatory cell,,1.75,2.451,2.451,20046,28640,0.486,curated,complement_extended,False
CFHR1,,,no,ENSG00000244414,Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (FHL-1) (H-factor-like 1) (H36),Secreted,,,0.382,0.333,0.382,4377,3891,-0.199,curated,complement_extended,True
COL4A2,,,no,ENSG00000134871,Collagen alpha-2(IV) chain,Secreted,mesenchymal stem cell;lens epithelial cell;anterior lens cell;endothelial tip cell;smooth muscle myoblast;brown preadipocyte;pancreatic stellate cell;fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,COLLAGEN;ADGRG,10.108,7.19,10.108,115761,84017,-0.491,curated,complement_extended,False
CP,,,no,ENSG00000047457,Ceruloplasmin,Secreted,non-pigmented ciliary epithelial cell;respiratory goblet cell;tracheal goblet cell;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;chorionic trophoblast cell;serous cell of epithelium of trachea,,0.383,0.955,0.955,4381,11164,1.321,curated,complement_extended,False
CPB2,,,no,ENSG00000080618,Carboxypeptidase B2,Secreted,hepatoblast;cholangiocyte;intrahepatic cholangiocyte;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell;lung secretory cell,,0.123,0.033,0.123,1406,382,-1.909,curated,complement_extended,True
