gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
CXCR4,,,no,ENSG00000121966,C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184),Cell membrane,"mononuclear phagocyte;hematopoietic cell;leukocyte;mature conventional dendritic cell;liver dendritic cell;mature B cell;memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;follicular B cell;mononuclear cell;lymphocyte;CD4-positive helper T cell;T-helper 1 cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;type I NK T cell;DN3 thymocyte;B cell;immature B cell;precursor B cell;immature natural killer cell;DN1 thymic pro-T cell",CXCL;MIF,0.9,4.239,4.239,10310,49526,2.235,curated,glycolysis_glucose_metabolism,False
DLD,,,no,ENSG00000091140,"Dihydrolipoyl dehydrogenase, mitochondrial",Mitochondrion matrix,,,15.04,13.655,15.04,172251,159552,-0.139,curated,glycolysis_glucose_metabolism,True
ECD,,,no,ENSG00000122882,Protein ecdysoneless homolog (Human suppressor of GCR two) (hSGT1),Cytoplasm,,,6.032,6.664,6.664,69079,77863,0.144,curated,glycolysis_glucose_metabolism,True
EGFR,,,no,ENSG00000146648,Epidermal growth factor receptor,Cell membrane,basal epithelial cell of prostatic duct;trophoblast giant cell;syncytiotrophoblast cell,EGF;EPGN,6.755,6.097,6.755,77364,71247,-0.148,curated,glycolysis_glucose_metabolism,False
EGLN3,,,no,ENSG00000129521,Prolyl hydroxylase EGLN3,Nucleus,epithelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;melanocyte of skin,,0.686,0.773,0.773,7860,9033,0.172,curated,glycolysis_glucose_metabolism,False
ENO2,,,no,ENSG00000111674,Gamma-enolase,Cytoplasm,ON-bipolar cell;rod bipolar cell;OFF-bipolar cell;Cajal-Retzius cell;retinal ganglion cell;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;glycinergic neuron,,0.501,0.665,0.665,5740,7770,0.408,curated,glycolysis_glucose_metabolism,False
FBP1,,,no,ENSG00000165140,"Fructose-1,6-bisphosphatase 1 (FBPase 1)",,enterocyte of epithelium of small intestine;type I pneumocyte;urothelial cell;bladder urothelial cell;microfold cell of epithelium of small intestine;epithelial cell of small intestine;alveolar macrophage;lung macrophage;bladder cell,,4.312,4.142,4.312,49386,48395,-0.058,curated,glycolysis_glucose_metabolism,False
FUT8,,,no,ENSG00000033170,"Alpha-(1,6)-fucosyltransferase (Alpha1-6FucT)",Golgi apparatus,neuron associated cell;glial cell;macroglial cell;oligodendrocyte,,4.548,4.153,4.548,52091,48524,-0.131,curated,glycolysis_glucose_metabolism,False
G6PD,,,no,ENSG00000160211,Glucose-6-phosphate 1-dehydrogenase (G6PD),Cytoplasm,Sertoli cell;mesothelial cell,,3.457,3.789,3.789,39591,44272,0.132,curated,glycolysis_glucose_metabolism,True
GALE,,,no,ENSG00000117308,UDP-glucose 4-epimerase,,lung secretory cell,,3.083,2.999,3.083,35313,35037,-0.04,curated,glycolysis_glucose_metabolism,True
GALK1,,,no,ENSG00000108479,Galactokinase,,,,4.426,4.98,4.98,50695,58191,0.17,curated,glycolysis_glucose_metabolism,True
GFPT1,,,no,ENSG00000198380,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,,intestine goblet cell;large intestine goblet cell;colon goblet cell;small intestine goblet cell;duodenum glandular cell,,19.465,19.522,19.522,222933,228104,0.004,curated,glycolysis_glucose_metabolism,False
GOT1,,,no,ENSG00000120053,"Aspartate aminotransferase, cytoplasmic (cAspAT)",Cytoplasm,retinal ganglion cell,,8.817,8.966,8.966,100977,104760,0.024,curated,glycolysis_glucose_metabolism,True
GUSB,,,no,ENSG00000169919,Beta-glucuronidase,Lysosome,,,17.173,22.174,22.174,196682,259095,0.369,curated,glycolysis_glucose_metabolism,True
GYS1,,,no,ENSG00000104812,"Glycogen [starch] synthase, muscle",,,,3.983,5.17,5.17,45613,60409,0.376,curated,glycolysis_glucose_metabolism,True
HAX1,,,no,ENSG00000143575,HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1),Mitochondrion matrix,type B pancreatic cell,,10.048,10.358,10.358,115080,121025,0.044,curated,glycolysis_glucose_metabolism,False
HK1,,,no,ENSG00000156515,Hexokinase-1,Mitochondrion outer membrane,erythroid lineage cell;enucleated reticulocyte;retina horizontal cell,,5.106,6.115,6.115,58477,71456,0.26,curated,glycolysis_glucose_metabolism,True
HK2,,,no,ENSG00000159399,Hexokinase-2,Mitochondrion outer membrane,white fat cell,,0.796,1.377,1.377,9112,16091,0.792,curated,glycolysis_glucose_metabolism,False
HMMR,,,no,ENSG00000072571,Hyaluronan mediated motility receptor (Intracellular hyaluronic acid-binding protein) (Receptor for hyaluronan-mediated motility) (CD antigen CD168),Cell surface,,,0.321,0.185,0.321,3681,2163,-0.796,curated,glycolysis_glucose_metabolism,True
HOOK3,,,no,ENSG00000168172,Protein Hook homolog 3 (h-hook3) (hHK3),Cytoplasm,,,4.951,4.854,4.951,56702,56713,-0.029,curated,glycolysis_glucose_metabolism,True
HS6ST2,,,no,ENSG00000171004,Heparan-sulfate 6-O-sulfotransferase 2 (HS6ST-2),Membrane,chromaffin cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle epithelial cell;sympathetic neuron,,3.332,1.29,3.332,38162,15073,-1.369,curated,glycolysis_glucose_metabolism,False
IDH1,,,no,ENSG00000138413,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1),Cytoplasm,urothelial cell;bladder urothelial cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;placental villous trophoblast;bladder cell,,4.745,4.191,4.745,54348,48968,-0.179,curated,glycolysis_glucose_metabolism,False
IDUA,,,no,ENSG00000127415,Alpha-L-iduronidase,Lysosome,,,4.929,8.156,8.156,56451,95298,0.727,curated,glycolysis_glucose_metabolism,True
IL13RA1,,,no,ENSG00000131724,Interleukin-13 receptor subunit alpha-1 (IL-13 receptor subunit alpha-1) (IL-13R subunit alpha-1) (IL-13R-alpha-1) (IL-13RA1) (Cancer/testis antigen 19) (CT19) (CD antigen CD213a1),Membrane,brush cell;intestinal tuft cell;tuft cell of colon,IL4,12.942,13.914,13.914,148220,162581,0.105,curated,glycolysis_glucose_metabolism,False
IRS2,,,no,ENSG00000185950,Insulin receptor substrate 2 (IRS-2),Cytoplasm,salivary gland cell,,3.409,5.046,5.046,39043,58963,0.566,curated,glycolysis_glucose_metabolism,True
KIF20A,,,no,ENSG00000112984,Kinesin-like protein KIF20A (GG10_2) (Mitotic kinesin-like protein 2) (MKlp2) (Rab6-interacting kinesin-like protein) (Rabkinesin-6),Golgi apparatus,,,0.23,0.163,0.23,2638,1902,-0.501,curated,glycolysis_glucose_metabolism,False
KIF2A,,,no,ENSG00000068796,Kinesin-like protein KIF2A (Kinesin-2) (hK2),Cytoplasm,platelet;megakaryocyte-erythroid progenitor cell;megakaryocyte;retinal cone cell,,7.998,7.198,7.998,91604,84110,-0.152,curated,glycolysis_glucose_metabolism,True
LDHA,,,no,ENSG00000134333,L-lactate dehydrogenase A chain (LDH-A),Cytoplasm,"pancreatic D cell;myometrial cell;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;rod bipolar cell;glycinergic neuron",,45.962,37.219,45.962,526404,434893,-0.304,curated,glycolysis_glucose_metabolism,False
MAP4K2,,,no,ENSG00000168067,Mitogen-activated protein kinase kinase kinase kinase 2,Cytoplasm,,,2.971,3.693,3.693,34030,43146,0.314,curated,glycolysis_glucose_metabolism,True
MAP4K5,,,no,ENSG00000012983,Mitogen-activated protein kinase kinase kinase kinase 5,Cytoplasm,enucleate erythrocyte,,4.662,3.734,4.662,53395,43626,-0.32,curated,glycolysis_glucose_metabolism,True
ME1,,,no,ENSG00000065833,NADP-dependent malic enzyme (NADP-ME),Cytoplasm,lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,,1.936,1.181,1.936,22170,13798,-0.713,curated,glycolysis_glucose_metabolism,False
MERTK,,,no,ENSG00000153208,Tyrosine-protein kinase Mer,Cell membrane,Kupffer cell;immature innate lymphoid cell,PMCH;GAS;PROS;TULP,2.169,2.689,2.689,24842,31426,0.31,curated,glycolysis_glucose_metabolism,False
MET,,,no,ENSG00000105976,Hepatocyte growth factor receptor (HGF receptor),Membrane,melanocyte,HGF,5.275,3.472,5.275,60409,40564,-0.603,curated,glycolysis_glucose_metabolism,True
MINPP1,,,no,ENSG00000107789,Multiple inositol polyphosphate phosphatase 1,Endoplasmic reticulum lumen,"hematopoietic stem cell;erythrocyte;megakaryocyte-erythroid progenitor cell;erythroid lineage cell;erythroid progenitor cell, mammalian;proerythroblast;enucleated reticulocyte;erythroblast;primitive red blood cell;myeloid lineage restricted progenitor cell",,3.716,3.645,3.716,42557,42593,-0.028,curated,glycolysis_glucose_metabolism,False
MPI,,,no,ENSG00000178802,Mannose-6-phosphate isomerase,Cytoplasm,,,2.313,2.614,2.614,26487,30543,0.177,curated,glycolysis_glucose_metabolism,True
NT5E,,,no,ENSG00000135318,5'-nucleotidase (5'-NT),Cell membrane,endothelial cell of lymphatic vessel,,0.882,0.966,0.966,10099,11285,0.131,curated,glycolysis_glucose_metabolism,False
NUP107,,,no,ENSG00000111581,Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107),Nucleus membrane,,,2.518,2.6,2.6,28844,30376,0.046,curated,glycolysis_glucose_metabolism,True
NUP153,,,no,ENSG00000124789,Nuclear pore complex protein Nup153 (153 kDa nucleoporin) (Nucleoporin Nup153),Nucleus;Nucleus membrane;Nucleus,,,4.315,3.911,4.315,49414,45699,-0.142,curated,glycolysis_glucose_metabolism,True
