gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
COL4A4,,,no,True,ENSG00000081052,Collagen alpha-4(IV) chain,Secreted,corneal endothelial cell;lens epithelial cell;anterior lens cell;epithelial cell of lung;lens fiber cell;secondary lens fiber;kidney glomerular epithelial cell;podocyte;fibroblast of cardiac tissue;kidney interstitial fibroblast;kidney interstitial cell,COLLAGEN;ADGRG,2.031,1.592,2.031,23266,18600,-0.352
COL4A5,,,no,True,ENSG00000188153,Collagen alpha-5(IV) chain,Secreted,basal epithelial cell of prostatic duct;corneal endothelial cell;lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;ciliary muscle cell,COLLAGEN;ADGRG,0.223,0.229,0.229,2549,2675,0.041
COL5A2,,,no,True,ENSG00000204262,Collagen alpha-2(V) chain,Secreted,corneal endothelial cell;endosteal cell;preosteoblast;muscle cell;smooth muscle cell;connective tissue cell;fibroblast;alveolar type 2 fibroblast cell;preadipocyte;brown preadipocyte;fibroblast of cardiac tissue;fibroblast of lung;mesothelial fibroblast;osteoblast;mesenchymal cell;fibro/adipogenic progenitor cell,,3.242,2.494,3.242,37135,29143,-0.379
COL7A1,,,no,True,ENSG00000114270,Collagen alpha-1(VII) chain (Long-chain collagen) (LC collagen),Secreted,basal cell of epidermis;stem cell of epidermis;basal epithelial cell of tracheobronchial tree,,0.107,0.1,0.107,1223,1172,-0.09
DAG1,,,no,True,ENSG00000173402,Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1),Cell membrane,skeletal muscle satellite cell,LAMININ;AGRN;HSPG;NRXN,13.446,16.113,16.113,153995,188275,0.261
ELN,,,no,True,ENSG00000049540,Elastin (Tropoelastin),Secreted,interstitial cell of Cajal;endosteal cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;smooth muscle myoblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;bronchus fibroblast of lung;chondrocyte;mesenchymal cell,,2.195,1.533,2.195,25140,17908,-0.518
GP6,,,no,True,ENSG00000088053,Platelet glycoprotein VI (GPVI) (Glycoprotein 6),Cell membrane,,COLLAGEN,0.04,0.031,0.04,457,366,-0.349
HSPG2,,,no,True,ENSG00000142798,Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC),Secreted,endothelial tip cell;endothelial cell of umbilical vein;retinal blood vessel endothelial cell;lung microvascular endothelial cell;lung endothelial cell;gut endothelial cell;endocardial cell;preadipocyte;white fat cell,HSPG,12.999,15.664,15.664,148881,183033,0.269
ITGA1,,,no,True,ENSG00000213949,Integrin alpha-1 (CD49 antigen-like family member A) (Laminin and collagen receptor) (VLA-1) (CD antigen CD49a),Membrane,"capillary endothelial cell;cardiac endothelial cell;muscle cell;smooth muscle cell;enteric smooth muscle cell;smooth muscle cell of prostate;T cell;CD4-positive, alpha-beta memory T cell;CD8-positive, alpha-beta memory T cell;hepatic stellate cell;kidney interstitial fibroblast;renal interstitial pericyte;kidney interstitial cell",ANGPTL;COLLAGEN;LAMININ;CDH;CDH1;SEMA7,1.051,1.251,1.251,12037,14615,0.251
ITGA2,,,no,True,ENSG00000164171,Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b),Membrane,basal cell;luminal epithelial cell of mammary gland;basal epithelial cell of prostatic duct;myoepithelial cell;myoepithelial cell of mammary gland;epithelial cell of prostate;basal cell of prostate epithelium;mammary gland epithelial cell;epithelial cell of urethra;conjunctival epithelial cell,COLLAGEN;LAMININ;CHAD;CSPG4,2.525,2.233,2.525,28924,26096,-0.177
ITGA2B,,,no,True,ENSG00000005961,Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41),Membrane,"hematopoietic stem cell;blood cell;basophil;platelet;megakaryocyte-erythroid progenitor cell;megakaryocyte;erythroid progenitor cell, mammalian;common myeloid progenitor",CD40;FN1;VTN;TENASCIN;VWF,0.037,0.052,0.052,429,603,0.462
ITGA3,,,no,True,ENSG00000005884,Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c),Cell membrane,myoepithelial cell;myoepithelial cell of mammary gland;kidney glomerular epithelial cell;podocyte;parietal epithelial cell,COLLAGEN;FN1;LAMININ;RELN;THBS;JAM,8.336,9.495,9.495,95475,110949,0.188
ITGA4,,,no,True,ENSG00000115232,Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d),Membrane,"hematopoietic cell;eosinophil;immature natural killer cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;basophil mast progenitor cell;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;common lymphoid progenitor",SPP1;MK;FN1;L1CAM;MADCAM;VCAM,1.285,2.169,2.169,14719,25349,0.755
ITGA5,,,no,True,ENSG00000161638,Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e),Cell membrane,squamous epithelial cell;blood vessel endothelial cell;endothelial tip cell;retinal blood vessel endothelial cell;endothelial cell;endothelial cell of vascular tree;surface ectodermal cell;smooth muscle cell of prostate;extravillous trophoblast;fibroblast of breast,CD40;SPP1;VISFATIN;ANGPTL;ANGPT;FN1,3.693,3.113,3.693,42298,36375,-0.247
ITGA6,,,no,True,ENSG00000091409,Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f),Cell membrane,intestinal crypt stem cell of small intestine;intestinal crypt stem cell of colon;epithelial cell;kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;retinal blood vessel endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree,NRG;IGF;MK;LAMININ,17.45,14.755,17.45,199856,172409,-0.242
ITGAV,,,no,True,ENSG00000138448,Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51),Cell membrane,pigmented ciliary epithelial cell;type B pancreatic cell;kidney glomerular epithelial cell;podocyte;retinal pigment epithelial cell,NRG;IGF;SPP1;ANGPTL;PTN;PERIOSTIN;COLLAGEN;FN1;LAMININ;THBS;VTN;TENASCIN;DSPP;VWF;BSP;DMP1;CD23;JAM;L1CAM;THY1;ADGRA;ADGRB;ADGRE;MMP,7.177,5.973,7.177,82199,69797,-0.265
ITGB3,,,no,True,ENSG00000259207,Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61),Cell membrane,blood cell;platelet;megakaryocyte-erythroid progenitor cell;megakaryocyte,NRG;IGF;CD40;SPP1;ANGPTL;PTN;PERIOSTIN;FN1;THBS;VTN;TENASCIN;VWF;BSP;DMP1;CD23;L1CAM;THY1;ADGRA;ADGRE;MMP,0.71,0.636,0.71,8132,7431,-0.159
ITGB4,,,no,True,ENSG00000132470,Integrin beta-4 (GP150) (CD antigen CD104),Cell membrane,basal cell of epidermis;follicular dendritic cell;salivary gland cell,NRG;IGF;LAMININ,3.596,5.705,5.705,41187,66665,0.666
ITGB6,,,no,True,ENSG00000115221,Integrin beta-6,Cell membrane,epithelial cell;luminal epithelial cell of mammary gland;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;type B pancreatic cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;mammary gland epithelial cell;kidney connecting tubule epithelial cell;kidney loop of Henle epithelial cell;lung secretory cell,SPP1;FN1;TENASCIN;DSPP,3.201,2.521,3.201,36660,29454,-0.345
ITGB7,,,no,True,ENSG00000139626,Integrin beta-7 (Gut homing receptor beta subunit),Cell membrane,"plasmablast;IgA plasmablast;lymphocyte;CD8-positive, alpha-beta cytotoxic T cell;exhausted T cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;CD16-positive, CD56-dim natural killer cell, human;group 2 innate lymphoid cell",FN1;CDH1;L1CAM;MADCAM;VCAM,0.169,0.284,0.284,1930,3322,0.755
LAMA3,,,no,True,ENSG00000053747,Laminin subunit alpha-3 (Epiligrin 170 kDa subunit) (E170) (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha),Secreted,basal cell of epidermis;stem cell of epidermis;epithelial cell;myoepithelial cell;myoepithelial cell of mammary gland;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;paneth cell of colon;paneth cell of epithelium of small intestine;smooth muscle cell of sphincter of pupil;smooth muscle myoblast;medium spiny neuron,LAMININ,1.809,1.348,1.809,20724,15754,-0.424
LAMB3,,,no,True,ENSG00000196878,Laminin subunit beta-3 (Epiligrin subunit bata) (Kalinin B1 chain) (Kalinin subunit beta) (Laminin B1k chain) (Laminin-5 subunit beta) (Nicein subunit beta),Secreted,basal cell of epithelium of bronchus;myoepithelial cell;myoepithelial cell of mammary gland;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;urothelial cell;bladder urothelial cell;epithelial cell of prostate;basal cell of prostate epithelium;basal epithelial cell of tracheobronchial tree;epithelial cell of urethra;bladder cell,LAMININ,1.27,1.52,1.52,14542,17763,0.26
LAMC1,,,no,True,ENSG00000135862,Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma),Secreted,mesenchymal stem cell;skeletal muscle fibroblast;preadipocyte;brown preadipocyte;fibroblast of cardiac tissue;adventitial cell;fibro/adipogenic progenitor cell,LAMININ,9.777,7.607,9.777,111977,88882,-0.362
LAMC2,,,no,True,ENSG00000058085,Laminin subunit gamma-2 (Cell-scattering factor 140 kDa subunit) (CSF 140 kDa subunit) (Epiligrin subunit gamma) (Kalinin subunit gamma) (Kalinin/nicein/epiligrin 100 kDa subunit) (Ladsin 140 kDa subunit) (Laminin B2t chain) (Laminin-5 subunit gamma) (Large adhesive scatter factor 140 kDa subunit) (Nicein subunit gamma),Secreted,myoepithelial cell;myoepithelial cell of mammary gland;type I pneumocyte;epithelial cell of uterus;epithelial cell of prostate;basal cell of prostate epithelium;epithelial cell of urethra,LAMININ,1.204,1.073,1.204,13790,12538,-0.166
