gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
FGF21,,,no,True,ENSG00000105550,Fibroblast growth factor 21 (FGF-21),Secreted,,FGF,0.026,0.017,0.026,299,202,-0.595
FGF23,,,no,True,ENSG00000118972,Fibroblast growth factor 23 (FGF-23) (Phosphatonin) (Tumor-derived hypophosphatemia-inducing factor),Secreted,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;myeloid leukocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta T cell;mature NK T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;B cell;innate lymphoid cell;natural killer cell;myeloid cell",FGF,0.02,,0.02,227,0,
FGF4,,,no,True,ENSG00000075388,Fibroblast growth factor 4 (FGF-4) (Heparin secretory-transforming protein 1) (HST) (HST-1) (HSTF-1) (Heparin-binding growth factor 4) (HBGF-4) (Transforming protein KS3),Secreted,,FGF,0.021,,0.021,246,0,
FGF7,,,no,True,ENSG00000140285,Fibroblast growth factor 7 (FGF-7) (Heparin-binding growth factor 7) (HBGF-7) (Keratinocyte growth factor),Secreted,enteric smooth muscle cell;connective tissue cell;fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;bronchus fibroblast of lung;fibroblast of mammary gland;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;myofibroblast cell,FGF,2.953,1.762,2.953,33819,20591,-0.745
FGF9,,,no,True,ENSG00000102678,Fibroblast growth factor 9 (FGF-9) (Glia-activating factor) (GAF) (Heparin-binding growth factor 9) (HBGF-9),Secreted,radial glial cell;Mueller cell,FGF,0.214,0.149,0.214,2449,1738,-0.524
FGFR1,,,no,True,ENSG00000077782,Fibroblast growth factor receptor 1 (FGFR-1),Cell membrane,mesenchymal stem cell;pigmented epithelial cell;non-pigmented ciliary epithelial cell;pancreatic PP cell;fibroblast;keratocyte;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of breast;tendon cell;adventitial cell,FGF;NCAM,20.063,19.893,20.063,229786,232446,-0.012
FGFR2,,,no,True,ENSG00000066468,Fibroblast growth factor receptor 2 (FGFR-2),Cell membrane,basal cell of epidermis;choroid plexus epithelial cell;cholangiocyte;intrahepatic cholangiocyte;pigmented epithelial cell;non-pigmented ciliary epithelial cell;lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;smooth muscle cell of sphincter of pupil;ciliary muscle cell;Bergmann glial cell;lung secretory cell,FGF,6.628,8.716,8.716,75913,101840,0.395
FGFR3,,,no,True,ENSG00000068078,Fibroblast growth factor receptor 3 (FGFR-3),Cell membrane,basal cell of epidermis;basal cell of epithelium of trachea;stem cell of epidermis;ependymal cell;keratinocyte;epidermal cell;conjunctival epithelial cell;astrocyte;mature astrocyte,FGF,9.369,13.209,13.209,107302,154346,0.496
FGFR4,,,no,True,ENSG00000160867,Fibroblast growth factor receptor 4 (FGFR-4),Cell membrane,pulmonary interstitial fibroblast;fibroblast of lung,FGF,3.986,4.659,4.659,45653,54437,0.225
FZD1,,,no,True,ENSG00000157240,Frizzled-1 (Fz-1) (hFz1) (FzE1),Cell membrane,mesangial cell,WNT;ncWNT,2.307,2.319,2.319,26425,27097,0.007
FZD10,,,no,True,ENSG00000111432,Frizzled-10 (Fz-10) (hFz10) (FzE7) (CD antigen CD350),Cell membrane,,WNT;ncWNT,0.219,0.068,0.219,2508,797,-1.683
FZD3,,,no,True,ENSG00000104290,Frizzled-3 (Fz-3) (hFz3),Membrane,,WNT;ncWNT,3.336,2.892,3.336,38204,33796,-0.206
FZD4,,,no,True,ENSG00000174804,Frizzled-4 (Fz-4) (hFz4) (FzE4) (CD antigen CD344),Cell membrane,white fat cell;subcutaneous fat cell,WNT;ncWNT,4.318,5.094,5.094,49450,59526,0.239
FZD6,,,no,True,ENSG00000164930,Frizzled-6 (Fz-6) (hFz6),Membrane,basal cell of epithelium of bronchus;basal epithelial cell of tracheobronchial tree,WNT;ncWNT,2.997,2.472,2.997,34325,28887,-0.278
FZD9,,,no,True,ENSG00000188763,Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349),Cell membrane,paneth cell,WNT;ncWNT,0.083,0.099,0.099,955,1157,0.248
GDF11,,,no,True,ENSG00000135414,Growth/differentiation factor 11 (GDF-11) (Bone morphogenetic protein 11) (BMP-11),Secreted,,GDF,0.967,0.944,0.967,11076,11030,-0.035
GDF15,,,no,True,ENSG00000130513,Growth/differentiation factor 15 (GDF-15) (Macrophage inhibitory cytokine 1) (MIC-1) (NSAID-activated gene 1 protein) (NAG-1) (NSAID-regulated gene 1 protein) (NRG-1) (Placental TGF-beta) (Placental bone morphogenetic protein) (Prostate differentiation factor),Secreted,endothelial cell of umbilical vein;bronchial goblet cell;urothelial cell;bladder urothelial cell;club cell;epithelial cell of urethra;trophoblast giant cell;syncytiotrophoblast cell;bladder cell,GDF,3.439,2.825,3.439,39392,33008,-0.284
GDF5,,,no,True,ENSG00000125965,Growth/differentiation factor 5 (GDF-5) (Bone morphogenetic protein 14) (BMP-14) (Cartilage-derived morphogenetic protein 1) (CDMP-1) (Lipopolysaccharide-associated protein 4) (LAP-4) (LPS-associated protein 4) (Radotermin),Secreted,,BMP,0.029,,0.029,328,0,
GDF6,,,no,True,ENSG00000156466,Growth/differentiation factor 6 (GDF-6) (Bone morphogenetic protein 13) (BMP-13) (Growth/differentiation factor 16),Secreted,,BMP,0.336,0.203,0.336,3846,2372,-0.726
GDF7,,,no,True,ENSG00000143869,Growth/differentiation factor 7 (GDF-7),Secreted,uterine smooth muscle cell;stromal cell;stromal cell of ovary,BMP,0.443,0.121,0.443,5069,1419,-1.866
INHBA,,,no,True,ENSG00000122641,Inhibin beta A chain (Activin beta-A chain) (Erythroid differentiation protein) (EDF),Secreted,endocardial cell;alveolar macrophage;lung macrophage;myometrial cell;smooth muscle cell of prostate;trophoblast giant cell;fibroblast of connective tissue of glandular part of prostate,ACTIVIN,0.255,0.167,0.255,2915,1953,-0.607
