gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
BCL2L2,,,no,True,ENSG00000129473,Bcl-2-like protein 2 (Bcl2-L-2) (Apoptosis regulator Bcl-W),Mitochondrion membrane,,,23.813,21.413,23.813,272733,250209,-0.153
BID,,,no,True,ENSG00000015475,BH3-interacting domain death agonist (p22 BID) (BID),Cytoplasm,"CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;non-classical monocyte;pre-conventional dendritic cell",,1.289,0.952,1.289,14758,11120,-0.437
BIK,,,no,True,ENSG00000100290,Bcl-2-interacting killer (Apoptosis inducer NBK) (BIP1) (BP4),Endomembrane system,pulmonary ionocyte;brush cell;brush cell of trachebronchial tree;brush cell of bronchus;intestinal tuft cell;tuft cell of colon;ionocyte,,1.012,0.954,1.012,11590,11151,-0.085
BIRC2,,,no,True,ENSG00000110330,Baculoviral IAP repeat-containing protein 2,Cytoplasm;Nucleus,,,15.907,16.978,16.978,182178,198387,0.094
BIRC5,,,no,True,ENSG00000089685,Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin),Cytoplasm,"double-positive, alpha-beta thymocyte;large pre-B-II cell",,0.708,0.358,0.708,8109,4186,-0.983
CASP1,,,no,True,ENSG00000137752,Caspase-1 (CASP-1),Cytoplasm,"classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell;transit amplifying cell of small intestine",,1.174,2.209,2.209,13447,25806,0.912
CASP10,,,no,True,ENSG00000003400,Caspase-10 (CASP-10),,,,1.886,2.387,2.387,21601,27893,0.34
CASP2,,,no,True,ENSG00000106144,Caspase-2 (CASP-2),,,,3.772,3.93,3.93,43205,45924,0.059
CASP3,,,no,True,ENSG00000164305,Caspase-3 (CASP-3),Cytoplasm,"erythroid progenitor cell;erythroid progenitor cell, mammalian",,4.989,4.109,4.989,57135,48018,-0.28
CASP6,,,no,True,ENSG00000138794,Caspase-6 (CASP-6) (CSP-6),Cytoplasm,intestinal tuft cell;tuft cell of colon,,4.177,3.646,4.177,47838,42604,-0.196
CASP7,,,no,True,ENSG00000165806,Caspase-7 (CASP-7),Cytoplasm,respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell,,7.156,4.502,7.156,81962,52600,-0.669
CASP8,,,no,True,ENSG00000064012,Caspase-8 (CASP-8),Cytoplasm,"memory regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell",,2.154,2.786,2.786,24664,32555,0.372
CASP9,,,no,True,ENSG00000132906,Caspase-9 (CASP-9),,,,1.897,2.254,2.254,21722,26333,0.249
CDKN1A,,,no,True,ENSG00000124762,Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21),Cytoplasm,skeletal muscle satellite stem cell;epithelial cell of lacrimal sac;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;vascular associated smooth muscle cell;myometrial cell;skeletal muscle satellite cell;mature conventional dendritic cell;tendon cell,,15.485,12.015,15.485,177354,140389,-0.366
CFLAR,,,no,True,ENSG00000003402,CASP8 and FADD-like apoptosis regulator (Caspase homolog) (CASH) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (Cellular FLICE-like inhibitory protein) (c-FLIP) (FADD-like antiapoptotic molecule 1) (FLAME-1) (Inhibitor of FLICE) (I-FLICE) (MACH-related inducer of toxicity) (MRIT) (Usurpin),,epithelial cell of lacrimal sac;inflammatory macrophage,,10.617,14.308,14.308,121592,167180,0.43
CYCS,,,no,True,ENSG00000172115,Cytochrome c,Mitochondrion intermembrane space,epithelial cell of urethra;osteoclast;fibroblast of connective tissue of nonglandular part of prostate,,10.654,5.669,10.654,122015,66245,-0.91
DIABLO,,,no,True,ENSG00000184047,"Diablo IAP-binding mitochondrial protein (Diablo homolog, mitochondrial) (Direct IAP-binding protein with low pI) (Second mitochondria-derived activator of caspase) (Smac)",Mitochondrion,,,0.593,0.418,0.593,6796,4888,-0.504
FAS,,,no,True,ENSG00000026103,Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95),Secreted,basal cell of prostate epithelium;medullary thymic epithelial cell,FASLG,1.751,1.442,1.751,20051,16855,-0.279
FASLG,,,no,True,ENSG00000117560,Tumor necrosis factor ligand superfamily member 6 (Apoptosis antigen ligand) (APTL) (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178),Cell membrane,"activated CD8-positive, alpha-beta T cell;gamma-delta T cell;intraepithelial lymphocyte;CD16-negative, CD56-bright natural killer cell, human",,0.121,0.134,0.134,1381,1565,0.152
GSDMB,,,no,True,ENSG00000073605,Gasdermin-B (Gasdermin-like protein),Cell membrane,,,1.214,2.443,2.443,13899,28549,1.01
GSDMC,,,no,True,ENSG00000147697,Gasdermin-C (Melanoma-derived leucine zipper-containing extranuclear factor),Cell membrane,,,0.045,0.013,0.045,513,154,-1.765
MDM2,,,no,True,ENSG00000135679,E3 ubiquitin-protein ligase Mdm2,Nucleus,,,10.664,10.219,10.664,122134,119404,-0.062
MDM4,,,no,True,ENSG00000198625,Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4),Nucleus,IgG-negative class switched memory B cell;precursor B cell;pro-B cell,,5.287,6.241,6.241,60556,72924,0.239
NLRP1,,,no,True,ENSG00000091592,"NACHT, LRR and PYD domains-containing protein 1",Cytoplasm,pancreatic endocrine cell;type B pancreatic cell;pancreatic A cell;pancreatic D cell;enteroendocrine cell;PP cell;endocrine cell;peripheral nervous system neuron,,0.691,1.802,1.802,7909,21057,1.384
