gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
ABCA1,,,no,True,ENSG00000165029,Phospholipid-transporting ATPase ABCA1,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;alternatively activated macrophage;Kupffer cell;immature innate lymphoid cell;medium spiny neuron;connective tissue cell;fibroblast;hepatic stellate cell;fibroblast of lung;mesothelial fibroblast;fat cell;white fat cell;brown fat cell;epicardial adipocyte,ApoA,4.024,9.526,9.526,46086,111313,1.243
ABCC4,,,no,True,ENSG00000125257,ATP-binding cassette sub-family C member 4,Basolateral cell membrane,kidney collecting duct intercalated cell;renal intercalated cell;renal alpha-intercalated cell;luminal cell of prostate epithelium;tissue-resident macrophage;central nervous system macrophage;enucleate erythrocyte;epidermal Langerhans cell,,1.253,1.428,1.428,14351,16690,0.189
ABCG1,,,no,True,ENSG00000160179,ATP-binding cassette sub-family G member 1,Endoplasmic reticulum membrane,alveolar macrophage;lung macrophage,,1.01,1.901,1.901,11562,22217,0.913
ABI3,,,no,True,ENSG00000108798,ABI gene family member 3 (New molecule including SH3) (Nesh),Cytoplasm,"colon macrophage;Langerhans cell;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;peripheral blood mononuclear cell;pre-conventional dendritic cell",,2.192,3.035,3.035,25102,35467,0.47
ACHE,,,no,True,ENSG00000087085,Acetylcholinesterase (AChE),Synapse,medullary thymic epithelial cell;follicular dendritic cell,,0.76,0.781,0.781,8703,9128,0.04
ACP5,,,no,True,ENSG00000102575,Tartrate-resistant acid phosphatase type 5 (TR-AP),Lysosome,macrophage;tissue-resident macrophage;alveolar macrophage;colon macrophage;lung macrophage;mononuclear phagocyte;osteoclast;basophil;professional antigen presenting cell;Langerhans cell;intermediate monocyte;mononuclear cell;lymphocyte;B cell,,0.357,0.405,0.405,4090,4731,0.181
ADA,,,no,True,ENSG00000196839,Adenosine deaminase,Cell membrane,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",,1.192,1.529,1.529,13652,17862,0.359
ADAM17,,,no,True,ENSG00000151694,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17),Membrane,alveolar macrophage;lung macrophage,,4.807,4.935,4.935,55055,57662,0.038
ADAM28,,,no,True,ENSG00000042980,Disintegrin and metalloproteinase domain-containing protein 28 (ADAM 28),Secreted,basal cell of epithelium of trachea;lung goblet cell;macrophage;tissue-resident macrophage;central nervous system macrophage;microglial cell;mature microglial cell;professional antigen presenting cell;memory B cell;unswitched memory B cell;class switched memory B cell,,0.421,0.986,0.986,4827,11525,1.227
ADAM8,,,no,True,ENSG00000151651,Disintegrin and metalloproteinase domain-containing protein 8 (ADAM 8),Membrane,"blood cell;granulocyte;basophil;eosinophil;conventional dendritic cell;Langerhans cell;myeloid dendritic cell, human;ILC1, human",,1.243,2.199,2.199,14233,25691,0.823
ADAMDEC1,,,no,True,ENSG00000134028,ADAM DEC1,Secreted,mononuclear phagocyte;smooth muscle fiber of ileum;myofibroblast cell;mesenchymal cell,,0.138,0.105,0.138,1586,1226,-0.4
ADGRE2,,,no,True,ENSG00000127507,Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312),Cell membrane,granulocyte;Langerhans cell,ADGRE,0.872,1.211,1.211,9984,14149,0.474
ADGRE5,,,no,True,ENSG00000123146,Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97),Cell membrane,"alveolar macrophage;lung macrophage;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;T-helper 1 cell;mature NK T cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;group 3 innate lymphoid cell;peripheral blood mononuclear cell",ADGRE,12.141,11.433,12.141,139049,133592,-0.087
ADM,,,no,True,ENSG00000148926,Pro-adrenomedullin,Secreted,glomerular capillary endothelial cell;trophoblast giant cell;extravillous trophoblast;myeloid cell;fibroblast of breast;white fat cell,CALCR;ADM,2.236,1.678,2.236,25611,19603,-0.415
AHCY,,,no,True,ENSG00000101444,Adenosylhomocysteinase (AdoHcyase),Cytoplasm,macrophage dendritic cell progenitor,,27.863,22.805,27.863,319108,266476,-0.289
ALDH2,,,no,True,ENSG00000111275,"Aldehyde dehydrogenase, mitochondrial",Mitochondrion matrix,"microfold cell of epithelium of small intestine;alveolar macrophage;lung macrophage;myeloid dendritic cell, human",,14.451,12.373,14.451,165503,144576,-0.224
ALDOA,,,no,True,ENSG00000149925,Fructose-bisphosphate aldolase A,Cytoplasm,osteoclast;myeloid leukocyte;myeloid cell;rod bipolar cell;OFF-bipolar cell;glycinergic neuron,,8.833,8.515,8.833,101165,99499,-0.053
ALOX5,,,no,True,ENSG00000012779,Polyunsaturated fatty acid 5-lipoxygenase,Cytoplasm,brush cell;intestinal tuft cell;tuft cell of colon;macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;basophil;eosinophil;Langerhans cell;B-1b B cell;mast cell,,4.407,4.796,4.796,50476,56036,0.122
ALYREF,,,no,True,ENSG00000183684,THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF),Nucleus,DN4 thymocyte;erythroid progenitor cell;proerythroblast;common dendritic progenitor;hematopoietic precursor cell;myeloid lineage restricted progenitor cell,,7.56,8.181,8.181,86586,95597,0.114
AMFR,,,no,True,ENSG00000159461,E3 ubiquitin-protein ligase AMFR,Endoplasmic reticulum membrane,"kidney collecting duct intercalated cell;phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;CD8-positive, alpha-beta T cell;mature gamma-delta T cell;megakaryocyte",,9.498,8.472,9.498,108777,98996,-0.165
ANKRD44,,,no,True,ENSG00000065413,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B (PP6-ARS-B) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-B) (Ankyrin repeat domain-containing protein 44),,tissue-resident macrophage;Kupffer cell;central nervous system macrophage;mature microglial cell;melanocyte of skin,,1.379,1.947,1.947,15799,22749,0.497
ANP32E,,,no,True,ENSG00000143401,Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L),Cytoplasm,"double-positive, alpha-beta thymocyte;T-helper 17 cell;DN4 thymocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",,4.221,3.748,4.221,48345,43789,-0.172
ANXA5,,,no,True,ENSG00000164111,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),,skeletal muscle satellite stem cell;pancreatic PP cell;PP cell;ovarian surface epithelial cell;elicited macrophage;alternatively activated macrophage;myeloid leukocyte;myeloid cell;fibroblast of mammary gland;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast,,36.744,27.541,36.744,420822,321811,-0.416
AOAH,,,no,True,ENSG00000136250,Acyloxyacyl hydrolase,Secreted,"macrophage;tissue-resident macrophage;Kupffer cell;central nervous system macrophage;microglial cell;mature microglial cell;hematopoietic cell;leukocyte;myeloid leukocyte;activated CD8-positive, alpha-beta T cell;innate lymphoid cell;CD16-positive, CD56-dim natural killer cell, human;immature innate lymphoid cell;myeloid cell",,0.894,2.817,2.817,10237,32916,1.656
APEX1,,,no,True,ENSG00000100823,DNA-(apurinic or apyrimidinic site) endonuclease,Nucleus,glioblast;Schwann cell precursor;bone marrow cell;granulocyte monocyte progenitor cell;professional antigen presenting cell;dendritic cell;common dendritic progenitor;macrophage dendritic cell progenitor;basophil mast progenitor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;early T lineage precursor,,16.68,16.64,16.68,191030,194432,-0.003
ARF6,,,no,True,ENSG00000165527,ADP-ribosylation factor 6,Cytoplasm,"epithelial cell of urethra;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;decidual natural killer cell, human",,11.185,8.344,11.185,128105,97494,-0.423
ARRB2,,,no,True,ENSG00000141480,Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3),Cytoplasm;Nucleus;Cell membrane;Membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;granulocyte;neutrophil;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;myeloid cell",,9.204,10.614,10.614,105415,124023,0.206
ATIC,,,no,True,ENSG00000138363,Bifunctional purine biosynthesis protein ATIC (AICAR transformylase/inosine monophosphate cyclohydrolase) (ATIC),Cytoplasm,macrophage dendritic cell progenitor,,10.254,10.1,10.254,117438,118013,-0.022
ATM,,,no,True,ENSG00000149311,Serine-protein kinase ATM,Nucleus,"central nervous system macrophage;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;mucosal invariant T cell;mature T cell",,9.108,10.276,10.276,104310,120077,0.174
AXL,,,no,True,ENSG00000167601,Tyrosine-protein kinase receptor UFO,Cell membrane,"endosteal cell;CD14-positive, CD16-negative classical monocyte;myeloid dendritic cell, human;dendritic cell, human;reticular cell;tendon cell;inflammatory cell",GAS;PROS;TULP,3.909,3.951,3.951,44774,46171,0.015
BANK1,,,no,True,ENSG00000153064,B-cell scaffold protein with ankyrin repeats,,professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1b B cell;follicular B cell;germinal center B cell;mononuclear cell;lymphocyte;B cell;immature B cell;transitional stage B cell;plasma cell,,0.233,0.132,0.233,2664,1543,-0.817
BATF3,,,no,True,ENSG00000123685,Basic leucine zipper transcriptional factor ATF-like 3 (B-ATF-3) (21 kDa small nuclear factor isolated from T-cells) (Jun dimerization protein p21SNFT),Nucleus,"hematopoietic cell;blood cell;granulocyte;CD141-positive myeloid dendritic cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;pre-conventional dendritic cell",,0.311,0.386,0.386,3567,4512,0.31
BCL11A,,,no,True,ENSG00000119866,B-cell lymphoma/leukemia 11A (BCL-11A) (B-cell CLL/lymphoma 11A) (COUP-TF-interacting protein 1) (Ecotropic viral integration site 9 protein homolog) (EVI-9) (Zinc finger protein 856),Cytoplasm,"plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;common dendritic progenitor;hematopoietic multipotent progenitor cell;early lymphoid progenitor;common lymphoid progenitor;Purkinje cell",,2.776,2.232,2.776,31797,26079,-0.315
BCL2A1,,,no,True,ENSG00000140379,Bcl-2-related protein A1 (Bcl-2-like protein 5) (Bcl2-L-5) (Hemopoietic-specific early response protein) (Protein BFL-1) (Protein GRS),Cytoplasm,"phagocyte;macrophage;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;colon macrophage;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;follicular dendritic cell;hematopoietic cell;blood cell;granulocyte;neutrophil;leukocyte;professional antigen presenting cell;myeloid dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;myeloid cell;myelocyte",,0.333,0.358,0.358,3817,4187,0.105
BID,,,no,True,ENSG00000015475,BH3-interacting domain death agonist (p22 BID) (BID),Cytoplasm,"CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;non-classical monocyte;pre-conventional dendritic cell",,1.289,0.952,1.289,14758,11120,-0.437
BLK,,,no,True,ENSG00000136573,Tyrosine-protein kinase Blk,Cell membrane,professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1a B cell;B-1b B cell;follicular B cell;germinal center B cell;B cell;immature B cell;transitional stage B cell,,0.026,0.046,0.046,295,540,0.843
