gene,Ensembl ID,Probe sets,Codewords,Tissues,Cell types
IGSF6,ENSG00000140749,8,1,General;Liver;Skin,Macrophages;Kupffer cells;Langerhans cells
IL1R2,ENSG00000115590,8,1,Colon;Liver;Pancreas;Skin,Goblet cells;Kupffer cells;Endocrine cells;Langerhans cells
IL1RL1,ENSG00000115602,8,1,General;General;General,Endothelial cells;Granulocytes;Smooth muscle cells
IL2RA,ENSG00000134460,8,1,General;General;General,Granulocytes;Monocytes;T cells
IL3RA,ENSG00000185291,8,1,General;General,Endothelial cells;Macrophages
IL7R,ENSG00000168685,8,1,General;General;General,B cells;Monocytes;T cells
INMT,ENSG00000241644,8,1,General;General,Endothelial cells;Fibroblasts
INS,ENSG00000254647,3,1,Pancreas;Pancreas,Beta cells;Endocrine cells
IRF8,ENSG00000140968,8,1,General;General;General;Skin,B cells;Macrophages;T cells;Langerhans cells
KCNK3,ENSG00000171303,8,1,Kidney,Collecting duct cells
KCNMA1,ENSG00000156113,8,1,Breast;Colon;Liver,Glandular cells;Goblet cells;Kupffer cells
KIT,ENSG00000157404,8,1,Breast;General;General;Skin,Glandular cells;Granulocytes;Proliferation markers;Melanocytes
KLK11,ENSG00000167757,5,1,Lung;Lung;Pancreas;Skin,Alveolar Type I;Club cells;Exocrine glandular cells;Suprabasal keratinocytes
KLRB1,ENSG00000111796,8,1,Breast;General;General,Dendritic cells;Natural killer cells;T cells
KLRC1,ENSG00000134545,8,1,Breast;General;General,Dendritic cells;Natural killer cells;T cells
KLRD1,ENSG00000134539,8,1,Breast;General,Dendritic cells;T cells
KNG1,ENSG00000113889,3,1,Kidney;Liver,Distal tubular cells;Hepatocytes
KRT20,ENSG00000171431,4,1,Colon;Colon,Distal enterocytes;Paneth cells
KRT7,ENSG00000135480,3,1,Breast;Kidney;Liver;Lung;Pancreas;Pancreas;Skin,Glandular cells;Collecting duct cells;Cholangiocytes;Alveolar Type I;Ductal cells;Endocrine cells;Melanocytes
LAG3,ENSG00000089692,5,1,General;General,Immune checkpoint markers;T cells
LAMP3,ENSG00000078081,8,1,General;Lung,Monocytes;Alveolar Type II
LGI4,ENSG00000153902,4,1,Colon;General,Distal enterocytes;Smooth muscle cells
LGR5,ENSG00000139292,4,1,Colon,Undifferentiated cells
LIF,ENSG00000128342,8,1,Breast;General;Lung;Pancreas,Glandular cells;Granulocytes;Alveolar Type II;Ductal cells
LILRA4,ENSG00000239961,8,1,General,Plasmacytoid dendritic cells
LILRA5,ENSG00000187116,4,1,General;Liver,Macrophages;Kupffer cells
LILRB2,ENSG00000131042,8,1,General;Liver,Macrophages;Kupffer cells
LILRB4,ENSG00000186818,4,1,General;Liver,Macrophages;Kupffer cells
LPL,ENSG00000175445,4,1,Breast;Breast;General;General;General;Heart;Lung,Adipocytes;Glandular cells;Endothelial cells;Macrophages;Smooth muscle cells;Cardiomyocytes;Alveolar Type II
LTBP2,ENSG00000119681,8,1,General,Fibroblasts
LY6D,ENSG00000167656,2,1,Skin,Suprabasal keratinocytes
LY86,ENSG00000112799,8,1,General;General;Liver;Skin,B cells;Macrophages;Kupffer cells;Langerhans cells
LYVE1,ENSG00000133800,8,1,General;Liver;Liver,Endothelial cells;Stellate cells;Kupffer cells
MALL,ENSG00000144063,8,1,Colon;Colon;General;Lung;Pancreas;Pancreas,Distal enterocytes;Paneth cells;Endothelial cells;Alveolar Type II;Ductal cells;Endocrine cells
MAMDC2,ENSG00000165072,8,1,General;General,Fibroblasts;Smooth muscle cells
MARCO,ENSG00000019169,4,1,General;Liver,Macrophages;Kupffer cells
MCEMP1,ENSG00000183019,8,1,General,Macrophages
MCF2L,ENSG00000126217,8,1,Breast;General,Adipocytes;Endothelial cells
MDM2,ENSG00000135679,8,1,Lung,Ciliated cells
MEDAG,ENSG00000102802,8,1,General,Fibroblasts
MEF2C,ENSG00000081189,8,1,Breast;General;General;General;General;Liver;Liver;Skin,Adipocytes;B cells;Endothelial cells;Macrophages;Smooth muscle cells;Stellate cells;Kupffer cells;Langerhans cells
MEST,ENSG00000106484,8,1,General,Fibroblasts
MET,ENSG00000105976,8,1,General;Lung;Lung,Endothelial cells;Alveolar Type II;Club cells
MFAP5,ENSG00000197614,8,1,General;General,Endothelial cells;Fibroblasts
MKI67,ENSG00000148773,8,1,Colon;Colon;General;General,Distal enterocytes;Undifferentiated cells;Proliferation markers;T cells
MLANA,ENSG00000120215,3,1,Skin,Melanocytes
MLPH,ENSG00000115648,8,1,Breast;Colon;General;Lung;Lung,Glandular cells;Goblet cells;Granulocytes;Alveolar Type I;Alveolar Type II
MMRN1,ENSG00000138722,8,1,General;Liver,Endothelial cells;Stellate cells
MMRN2,ENSG00000173269,8,1,Breast;General;Liver,Adipocytes;Endothelial cells;Stellate cells
MNDA,ENSG00000163563,8,1,General;Liver;Skin,Macrophages;Kupffer cells;Langerhans cells
MPEG1,ENSG00000197629,8,1,General;Liver;Skin,Macrophages;Kupffer cells;Langerhans cells
MRC1,ENSG00000260314,4,1,Breast;General;General;Liver;Liver,Glandular cells;Endothelial cells;Macrophages;Stellate cells;Kupffer cells
MS4A1,ENSG00000156738,8,1,General;General,B cells;T cells
MS4A2,ENSG00000149534,8,1,General,Granulocytes
MS4A4A,ENSG00000110079,8,1,General;Liver;Skin,Macrophages;Kupffer cells;Langerhans cells
MS4A6A,ENSG00000110077,8,1,General;Liver;Liver;Skin,Macrophages;Stellate cells;Kupffer cells;Langerhans cells
MTRNR2L11,ENSG00000270188,8,1,Heart;Kidney,Cardiomyocytes;Proximal tubular cells
MYBPC1,ENSG00000196091,8,1,Breast;Heart,Glandular cells;Cardiomyocytes
MYC,ENSG00000136997,8,1,Breast;Breast;Breast;Colon;Colon;General;General;General;General;Liver;Pancreas;Skin;Skin,Adipocytes;Glandular cells;Myoepithelial cells;Distal enterocytes;Undifferentiated cells;B cells;Endothelial cells;Fibroblasts;Smooth muscle cells;Stellate cells;Ductal cells;Basal keratinocytes;Suprabasal keratinocytes
MYH11,ENSG00000133392,4,1,General,Smooth muscle cells
MYLK,ENSG00000065534,8,1,Breast;Colon;General;Liver,Myoepithelial cells;Distal enterocytes;Smooth muscle cells;Hepatocytes
MZB1,ENSG00000170476,6,1,Colon;General;General;Skin,Undifferentiated cells;B cells;T cells;Melanocytes
NAT8,ENSG00000144035,4,1,Kidney,Proximal tubular cells
NKG7,ENSG00000105374,2,1,Breast;General;General,Dendritic cells;Natural killer cells;T cells
NPDC1,ENSG00000107281,5,1,Colon;Colon;Colon;General;Liver;Pancreas,Distal enterocytes;Endocrine cells;Goblet cells;Endothelial cells;Stellate cells;Ductal cells
NTN4,ENSG00000074527,8,1,Breast;General;Kidney;Kidney;Liver;Lung,Glandular cells;Smooth muscle cells;Collecting duct cells;Proximal tubular cells;Stellate cells;Alveolar Type II
OGN,ENSG00000106809,8,1,General,Fibroblasts
OPRPN,ENSG00000171199,8,1,Breast,Glandular cells
PCNA,ENSG00000132646,8,1,Colon;General;General;General;Kidney,Undifferentiated cells;Proliferation markers;Smooth muscle cells;T cells;Collecting duct cells
PCOLCE,ENSG00000106333,4,1,General;General,Fibroblasts;Smooth muscle cells
PCP4,ENSG00000183036,5,1,General;Kidney,Smooth muscle cells;Proximal tubular cells
PCSK2,ENSG00000125851,8,1,Skin,Melanocytes
PDCD1,ENSG00000188389,2,1,General,Immune checkpoint markers
PDGFRA,ENSG00000134853,8,1,General,Fibroblasts
PDGFRB,ENSG00000113721,8,1,General;General,Fibroblasts;Smooth muscle cells
PDPN,ENSG00000162493,8,1,General;General;General;Lung,Endothelial cells;Fibroblasts;Monocytes;Alveolar Type I
PEBP4,ENSG00000134020,6,1,Heart;Lung;Lung,Cardiomyocytes;Alveolar Type I;Alveolar Type II
PECAM1,ENSG00000261371,8,1,General;General,Endothelial cells;Macrophages
PGR,ENSG00000082175,8,1,Breast,Cancer markers
PLA2G7,ENSG00000146070,8,1,General,Macrophages
PLAC9,ENSG00000189129,4,1,General;General;General,Endothelial cells;Fibroblasts;Smooth muscle cells
PLCG2,ENSG00000197943,8,1,Breast;Breast;General;General;General;General;Lung,Adipocytes;Glandular cells;B cells;Endothelial cells;Macrophages;T cells;Alveolar Type II
PLD4,ENSG00000166428,8,1,General,Macrophages
PLIN4,ENSG00000167676,4,1,Heart,Cardiomyocytes
PMP22,ENSG00000109099,8,1,General;General;General;General;General;Liver;Skin,Endothelial cells;Fibroblasts;Granulocytes;Macrophages;Smooth muscle cells;Stellate cells;Melanocytes
PPARG,ENSG00000132170,8,1,Breast;Colon;Colon;General,Adipocytes;Distal enterocytes;Paneth cells;Macrophages
PPP1R1A,ENSG00000135447,8,1,Heart;Kidney;Liver,Cardiomyocytes;Distal tubular cells;Hepatocytes
PPP1R1B,ENSG00000131771,7,1,Breast;Colon;Colon;Colon;Kidney;Skin,Glandular cells;Distal enterocytes;Goblet cells;Undifferentiated cells;Distal tubular cells;Melanocytes
PPY,ENSG00000108849,2,1,Pancreas,Gamma cells
PRDM1,ENSG00000057657,8,1,Colon;General;General;General;General;Skin,Distal enterocytes;B cells;Endothelial cells;Macrophages;T cells;Langerhans cells
PRF1,ENSG00000180644,7,1,Breast;General,Dendritic cells;T cells
PRG4,ENSG00000116690,4,1,General;Liver,Fibroblasts;Hepatocytes
PROX1,ENSG00000117707,8,1,Colon;General;Heart;Liver;Liver,Endocrine cells;Endothelial cells;Cardiomyocytes;Cholangiocytes;Hepatocytes
PTGDS,ENSG00000107317,4,1,General;General;General;Heart;Kidney,Endothelial cells;Fibroblasts;T cells;Cardiomyocytes;Collecting duct cells
PTN,ENSG00000105894,8,1,Breast;General,Glandular cells;Fibroblasts
PTPRC,ENSG00000081237,8,1,Breast;General;General;General;General;Liver,Dendritic cells;B cells;Immune cells;Macrophages;T cells;Kupffer cells
PVALB,ENSG00000100362,5,1,Kidney,Distal tubular cells
RAMP2,ENSG00000131477,4,1,Breast;General;Liver,Adipocytes;Endothelial cells;Stellate cells
RAPGEF3,ENSG00000079337,8,1,Breast;General;Kidney,Adipocytes;Endothelial cells;Collecting duct cells
RBP5,ENSG00000139194,8,1,Kidney;Liver,Proximal tubular cells;Hepatocytes
RERGL,ENSG00000111404,8,1,General,Smooth muscle cells
RETN,ENSG00000104918,1,1,General;Liver,Macrophages;Kupffer cells
RGS16,ENSG00000143333,8,1,Breast;Colon;General;General;General;General;General;General;Lung;Lung,Adipocytes;Endocrine cells;B cells;Endothelial cells;Granulocytes;Macrophages;Smooth muscle cells;T cells;Alveolar Type I;Alveolar Type II
RIDA,ENSG00000132541,4,1,Kidney,Proximal tubular cells
RND1,ENSG00000172602,8,1,Breast;Colon;General;Lung;Pancreas;Pancreas,Glandular cells;Endocrine cells;Endothelial cells;Alveolar Type II;Ductal cells;Endocrine cells
RTKN2,ENSG00000182010,8,1,Lung,Alveolar Type I
S100A1,ENSG00000160678,4,1,Breast;Heart;Kidney;Skin,Glandular cells;Cardiomyocytes;Proximal tubular cells;Melanocytes
S100A12,ENSG00000163221,5,1,General;Liver,Macrophages;Kupffer cells
SCGB2A1,ENSG00000124939,6,1,Breast;Lung,Glandular cells;Ciliated cells
