gene,Ensemble ID,Num_Probesets,Codewords,Annotation
CD79A,ENSG00000105369,3,1,B Cell;Proliferative;Plasma Cell;CD Molecule
CD79B,ENSG00000007312,4,1,B Cell;Proliferative;CD Molecule
CD80,ENSG00000121594,8,1,Dendritic Cell;Myeloid;CD Molecule
CD83,ENSG00000112149,2,1,B Cell;CD Molecule
CD86,ENSG00000114013,7,1,Macrophage;M1;CD Molecule
CD8A,ENSG00000153563,8,1,T Cell;CD8+;Lineage Marker;CD Molecule
CD8B,ENSG00000172116,8,1,T Cell;CD Molecule
CDK1,ENSG00000170312,8,1,Tumorigenesis
CDK12,ENSG00000167258,8,1,Tumorigenesis
CDK2,ENSG00000123374,8,1,Tumorigenesis
CDK4,ENSG00000135446,8,1,Tumorigenesis
CDK6,ENSG00000105810,8,1,Tumorigenesis
CDKN1A,ENSG00000124762,5,1,Macrophage;Phagocytosis;Immune Escape;Tumorigenesis
CDKN1B,ENSG00000111276,8,1,Macrophage;Phagocytosis;Immune Escape;Tumorigenesis
CDKN1C,ENSG00000129757,3,1,Tumorigenesis;Apoptosis;Cell Invasion;Metastasis
CDKN2A,ENSG00000147889,4,1,Macrophage;Phagocytosis;Immune Escape;Tumorigenesis
CDKN2B,ENSG00000147883,8,1,Macrophage;Phagocytosis;Immune Escape;Tumorigenesis
CDKN2C,ENSG00000123080,8,1,Macrophage;Phagocytosis;Immune Escape;Tumorigenesis
CDKN2D,ENSG00000129355,5,1,Macrophage;Phagocytosis;Immune Escape;Tumorigenesis
CDX1,ENSG00000113722,6,1,Epithelial Cell;Intestine
CDX2,ENSG00000165556,8,1,Epithelial Cell;Intestine
CEACAM1,ENSG00000079385,8,1,Tumor;Checkpoint Inhibitor
CEACAM6,ENSG00000086548,8,1,Epithelial Cell
CEACAM8,ENSG00000124469,8,1,Tumor
CENPF,ENSG00000117724,8,1,Cell Cycle Progression
CENPV,ENSG00000166582,8,1,Cell Division
CFC1,ENSG00000136698,7,1,Cancer Stemness
CHIT1,ENSG00000133063,8,1,Dendritic Cell
CLEC10A,ENSG00000132514,6,1,Dendritic Cell;Myeloid
CLEC12A,ENSG00000172322,8,1,Monocyte;Non-Classical
CMKLR1,ENSG00000174600,8,1,Angiogenesis
CORO1A,ENSG00000102879,4,1,T Cell;Macrophage;Apoptosis
COTL1,ENSG00000103187,2,1,Tumor Suppression
CPA3,ENSG00000163751,8,1,Mast Cell
CSF1,ENSG00000184371,8,1,Monocyte;Macrophage
CSF1R,ENSG00000182578,3,1,Monocyte;Macrophage
CST7,ENSG00000077984,2,1,Natural Killer Cell;T Cell;CD8+
CTLA4,ENSG00000163599,8,1,T Cell;Regulatory;Exhausted;Checkpoint
CTNNB1,ENSG00000168036,8,1,Tumorigenesis
CTSB,ENSG00000164733,2,1,
CTSD,ENSG00000117984,2,1,Tumor
CTSL,ENSG00000135047,2,1,Metastasis
CTSS,ENSG00000163131,2,1,Tumor
CTSW,ENSG00000172543,4,1,Tumor
CX3CR1,ENSG00000168329,6,1,T Cell;Cancer Stemness
CXCL1,ENSG00000163739,8,1,Macrophage
CXCL10,ENSG00000169245,2,1,Immune Cell Migration;Neutrophil;Eosinophil;Monoyte;Epithelial Cell;Stromal Cell;Fibroblast
CXCL11,ENSG00000169248,8,1,Immune Cell Migration
CXCL12,ENSG00000107562,8,1,Tumor Suppression;Growth;Evasion
CXCL13,ENSG00000156234,8,1,T Cell;Regulatory;Chemokine
CXCL14,ENSG00000145824,7,1,Immune Cell Migration;Dendritic Cell;Chemokine
