gene,Ensembl_ID,Num_Probesets,Codewords,Annotation
FCN1,ENSG00000085265,8,1,Classical monocyte
FCN3,ENSG00000142748,6,1,Capillary cell
FGFBP2,ENSG00000137441,8,1,Cancer
FGFR4,ENSG00000160867,7,1,Fibroblast
FKBP11,ENSG00000134285,5,1,Plasma cell
FOXI1,ENSG00000168269,8,1,Ionocyte
FOXJ1,ENSG00000129654,4,1,Ciliated cell
FOXP3,ENSG00000049768,7,1,T cell
FSCN1,ENSG00000075618,3,1,Lymphatic endothelial cell
GJA5,ENSG00000265107,8,1,Artery cell
GKN2,ENSG00000183607,8,1,Cancer
GLCCI1,ENSG00000106415,8,1,Alveolar type 1 cell
GLIPR2,ENSG00000122694,8,1,Macrophage
GNG11,ENSG00000127920,8,1,Capillary cell
GPI,ENSG00000105220,7,1,Ionocyte
GPR171,ENSG00000174946,8,1,T cell
GPR183,ENSG00000169508,8,1,T cell
GPR34,ENSG00000171659,8,1,Dendritic cell
GPX2,ENSG00000176153,8,1,Basal cell
GZMA,ENSG00000145649,8,1,T cell
GZMB,ENSG00000100453,7,1,T cell
GZMK,ENSG00000113088,8,1,T cell
HAVCR2,ENSG00000135077,8,1,Immune response
HIF1A,ENSG00000100644,8,1,Hypoxia
HIGD1B,ENSG00000131097,5,1,Pericyte
HMGCS1,ENSG00000112972,8,1,Alveolar type 2 cell
HP,ENSG00000257017,8,1,Mesothelial cell
HPGDS,ENSG00000163106,8,1,Mast cell
ICA1,ENSG00000003147,8,1,Neuroendocrine cell
IGF1,ENSG00000017427,8,1,Ionocyte
IGFBP3,ENSG00000146674,4,1,Artery cell
IL1RL1,ENSG00000115602,8,1,Capillary cell
IL7R,ENSG00000168685,8,1,T cell
IQGAP2,ENSG00000145703,8,1,NK cell
IRF8,ENSG00000140968,8,1,Plasmacytoid dendritic cell
ITGAM,ENSG00000169896,8,1,Classical monocyte
ITGB4,ENSG00000132470,7,1,Basal cell
KCNK3,ENSG00000171303,8,1,Pericyte
KDR,ENSG00000128052,8,1,Cancer
KIT,ENSG00000157404,8,1,Proliferation
KLF5,ENSG00000102554,4,1,Basal cell
KLK11,ENSG00000167757,5,1,Basal cell
KLRB1,ENSG00000111796,8,1,NK cell; T cell
KLRC1,ENSG00000134545,8,1,Immune response
KLRD1,ENSG00000134539,8,1,NK cell
KRT15,ENSG00000171346,4,1,Basal cell
KRT7,ENSG00000135480,4,1,Alveolar type 1 cell
LAG3,ENSG00000089692,5,1,Immune response
LAMC3,ENSG00000050555,8,1,Pericyte
LCK,ENSG00000182866,8,1,NKT cell
LGALS3BP,ENSG00000108679,4,1,Pericyte
LGR5,ENSG00000139292,4,1,Cancer
LGR6,ENSG00000133067,8,1,Smooth muscle cell
LILRA4,ENSG00000239961,8,1,Plasmacytoid dendritic cell
LILRA5,ENSG00000187116,5,1,Nonclassical monocyte
LILRB2,ENSG00000131042,8,1,Nonclassical monocyte
LILRB4,ENSG00000186818,4,1,Plasmacytoid dendritic cell
LMOD1,ENSG00000163431,8,1,Smooth muscle cell
LTBP2,ENSG00000119681,8,1,Myofibroblast
LTF,ENSG00000012223,4,1,Serous cell
