gene,Ensembl ID,Num_Probesets,Codewords,Annotation
EPHB3,ENSG00000182580,8,1,stem cell
ETS1,ENSG00000134954,8,1,T-helper 1 cell
ETV1,ENSG00000006468,8,1,enteroendocrine cell of colon
FABP2,ENSG00000145384,8,1,colon goblet cell
FCER2,ENSG00000104921,8,1,follicular B cell
FCN1,ENSG00000085265,8,1,monocyte
FCRL1,ENSG00000163534,8,1,follicular B cell
FCRLA,ENSG00000132185,7,1,memory B cell
FERMT1,ENSG00000101311,8,1,stem cell
FEV,ENSG00000163497,3,1,enteroendocrine cell of colon
FFAR4,ENSG00000186188,8,1,colon goblet cell
FKBP11,ENSG00000134285,5,1,IgA plasma cell
FOXA3,ENSG00000170608,8,1,colon goblet cell
FOXP3,ENSG00000049768,7,1,regulatory T cell
FRZB,ENSG00000162998,8,1,colon goblet cell
FYB1,ENSG00000082074,8,1,tuft cell
FZD7,ENSG00000155760,8,1,colon cancer
GALNT5,ENSG00000136542,8,1,colon goblet cell
GALNT8,ENSG00000130035,8,1,colon goblet cell
GATA2,ENSG00000179348,8,1,mast cell
GCG,ENSG00000115263,8,1,enteroendocrine cell of colon
GIMAP7,ENSG00000179144,8,1,T follicular helper cell
GNA11,ENSG00000088256,8,1,enterocyte of colon
GNLY,ENSG00000115523,5,1,natural killer cell
GPR183,ENSG00000169508,8,1,"CD4-positive, alpha-beta T cell"
GPRC5C,ENSG00000170412,5,1,paneth cell of colon
GPRIN3,ENSG00000185477,8,1,T follicular helper cell
GUCA2A,ENSG00000197273,1,1,BEST4+ epithelial cell
GUCA2B,ENSG00000044012,1,1,BEST4+ epithelial cell
GZMA,ENSG00000145649,8,1,gamma-delta T cell
GZMK,ENSG00000113088,8,1,"CD8-positive, alpha-beta T cell"
HDC,ENSG00000140287,8,1,mast cell
HEPACAM2,ENSG00000188175,8,1,colon goblet cell
HES6,ENSG00000144485,2,1,colon goblet cell; secretory progenitor cell
HHLA2,ENSG00000114455,8,1,enterocyte of colon
HMGB2,ENSG00000164104,8,1,transit amplifying cell of colon; secretory progenitor cell
HPGDS,ENSG00000163106,8,1,mast cell; tuft cell
HRCT1,ENSG00000196196,5,1,paneth cell of colon
HTR3E,ENSG00000186038,7,1,tuft cell
ICOS,ENSG00000163600,8,1,T follicular helper cell
ID2,ENSG00000115738,8,1,T-helper 1 cell
IER5,ENSG00000162783,8,1,memory B cell
IFITM1,ENSG00000185885,5,1,memory T cell
IGFBP7,ENSG00000163453,7,1,colon cancer
IL17RB,ENSG00000056736,8,1,tuft cell
IL1B,ENSG00000125538,8,1,monocyte
IL1RAPL1,ENSG00000169306,8,1,mast cell
IL1RL1,ENSG00000115602,8,1,mast cell
IL22,ENSG00000127318,8,1,T-helper 17 cell
IL32,ENSG00000008517,2,1,enterocyte of colon; regulatory T cell
IL4I1,ENSG00000104951,8,1,innate lymphoid cell
IL7R,ENSG00000168685,8,1,T-helper 17 cell
IMPDH2,ENSG00000178035,8,1,progenitor cell; stem cell
INSL5,ENSG00000172410,7,1,enteroendocrine cell of colon
INSM1,ENSG00000173404,8,1,enteroendocrine cell of colon
IRF8,ENSG00000140968,8,1,memory B cell
ISL1,ENSG00000016082,8,1,enteroendocrine cell of colon
ITK,ENSG00000113263,8,1,T follicular helper cell
ITLN1,ENSG00000179914,8,1,colon goblet cell
KIF5C,ENSG00000168280,8,1,enteroendocrine cell of colon
KIT,ENSG00000157404,8,1,mast cell
KLK1,ENSG00000167748,4,1,colon goblet cell
KLRB1,ENSG00000111796,8,1,T-helper 1 cell
KLRC2,ENSG00000205809,8,1,gamma-delta T cell
KLRD1,ENSG00000134539,8,1,natural killer cell
KRT1,ENSG00000167768,8,1,mast cell
KRT86,ENSG00000170442,7,1,innate lymphoid cell
KRTCAP3,ENSG00000157992,5,1,progenitor cell
L1TD1,ENSG00000240563,8,1,stem cell
LCN2,ENSG00000148346,4,1,progenitor cell
LEF1,ENSG00000138795,8,1,memory T cell
LEFTY1,ENSG00000243709,6,1,progenitor cell; stem cell
LEPROTL1,ENSG00000104660,8,1,memory T cell
LGALS2,ENSG00000100079,5,1,progenitor cell; conventional dendritic cell; absorptive cell
LGR5,ENSG00000139292,8,1,stem cell
LILRA4,ENSG00000239961,7,1,dendritic cell; macrophage
LRMP,ENSG00000118308,8,1,tuft cell
LTB,ENSG00000227507,2,1,regulatory T cell
LYVE1,ENSG00000133800,8,1,macrophage
MAF,ENSG00000178573,8,1,regulatory T cell
MAOB,ENSG00000069535,6,1,mast cell
MB,ENSG00000198125,8,1,colon goblet cell
