gene,category,rationale,single_gene_panel_note
ABCC1,,,
ANPEP,,,
CAT,,,
ERCC2,,,
FES,,,
G6PD,,,
GCLM,,,
GGT1,,,
GSR,,,
GSS,,,
GSTM1,,,
GSTM3,,,
GSTO1,,,
HHEX,,,
HPGDS,,,
IDH1,,,
IDH2,,,
MPO,,,
NQO1,,,
OXSR1,,,
PFKP,,,
PGD,,,
PRNP,,,
PTPA,,,
RRM1,,,
RRM2,,,
SBNO2,,,
SCAF4,,,
SOD1,,,
TXNRD1,,,
