gene,HALLMARK,KEGG,REACTOME
ABL1,Mitotic Spindle;G2-M Checkpoint,Axon guidance;Cell cycle;Chronic myeloid leukemia;ErbB signaling pathway;MicroRNAs in cancer;Neurotrophin signaling pathway;Pathogenic Escherichia coli infection;Pathways in cancer;Ras signaling pathway;Viral myocarditis,"Axon Guidance R-HSA-422475;Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;Cyclin D Associated Events In G1 R-HSA-69231;DNA Double Strand Break Response R-HSA-5693606;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;FCGR3A-mediated Phagocytosis R-HSA-9664422;Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231;Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567;HDR Thru Single Strand Annealing (SSA) R-HSA-5685938;Hemostasis R-HSA-109582;Homology Directed Repair R-HSA-5693538;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Leishmania Infection R-HSA-9658195;Mitotic G1 Phase And G1/S Transition R-HSA-453279;Myogenesis R-HSA-525793;Nervous System Development R-HSA-9675108;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate WASPs And WAVEs R-HSA-5663213;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236;RUNX2 Regulates Bone Development R-HSA-8941326;RUNX2 Regulates Osteoblast Differentiation R-HSA-8940973;Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565;Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482;Role Of ABL In ROBO-SLIT Signaling R-HSA-428890;Signal Transduction R-HSA-162582;Signaling By ROBO Receptors R-HSA-376176;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Transcriptional Regulation By RUNX1 R-HSA-8878171;Transcriptional Regulation By RUNX2 R-HSA-8878166"
ABL2,,ErbB signaling pathway;Ras signaling pathway;Viral myocarditis,"Axon Guidance R-HSA-422475;Cytokine Signaling In Immune System R-HSA-1280215;Developmental Biology R-HSA-1266738;FLT3 Signaling R-HSA-9607240;Immune System R-HSA-168256;Negative Regulation Of FLT3 R-HSA-9706369;Nervous System Development R-HSA-9675108;RAC1 GTPase Cycle R-HSA-9013149;RAC3 GTPase Cycle R-HSA-9013423;RHO GTPase Cycle R-HSA-9012999;Role Of ABL In ROBO-SLIT Signaling R-HSA-428890;Signal Transduction R-HSA-162582;Signaling By ROBO Receptors R-HSA-376176;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
ABO,,Glycosphingolipid biosynthesis,Blood Group Systems Biosynthesis R-HSA-9033658;Metabolism R-HSA-1430728;Metabolism Of Carbohydrates R-HSA-71387
ACAA2,Adipogenesis;Fatty Acid Metabolism;Oxidative Phosphorylation,"Fatty acid degradation;Fatty acid elongation;Valine, leucine and isoleucine degradation",Fatty Acid Metabolism R-HSA-8978868;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Mitochondrial Fatty Acid Beta-Oxidation R-HSA-77289
ACAP2,,Endocytosis,
ACAT1,Oxidative Phosphorylation,"Butanoate metabolism;Fat digestion and absorption;Fatty acid degradation;Glyoxylate and dicarboxylate metabolism;Lysine degradation;Propanoate metabolism;Pyruvate metabolism;Synthesis and degradation of ketone bodies;Terpenoid backbone biosynthesis;Tryptophan metabolism;Valine, leucine and isoleucine degradation",
ACOD1,,,Metabolism R-HSA-1430728;Metabolism Of Nucleotides R-HSA-15869;Nucleotide Biosynthesis R-HSA-8956320
ACPP,,,
ACRBP,Spermatogenesis,,
ACRV1,Spermatogenesis,,
