gene,HALLMARK,KEGG,REACTOME
CHRNB4,,Chemical carcinogenesis;Cholinergic synapse;Neuroactive ligand-receptor interaction,Acetylcholine Binding And Downstream Events R-HSA-181431;Highly Calcium Permeable Nicotinic Acetylcholine Receptors R-HSA-629597;Highly Calcium Permeable Postsynaptic Nicotinic Acetylcholine Receptors R-HSA-629594;Highly Sodium Permeable Postsynaptic Acetylcholine Nicotinic Receptors R-HSA-629587;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Neuronal System R-HSA-112316;Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314;Neutrophil Degranulation R-HSA-6798695;Presynaptic Nicotinic Acetylcholine Receptors R-HSA-622323;Transmission Across Chemical Synapses R-HSA-112315
CHST8,Estrogen Response Late,Various types of N-glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Metabolism Of Proteins R-HSA-392499;N-glycan Antennae Elongation In medial/trans-Golgi R-HSA-975576;Post-translational Protein Modification R-HSA-597592;Reactions Specific To Complex N-glycan Synthesis Pathway R-HSA-975578;Transport To Golgi And Subsequent Modification R-HSA-948021
CHUK,Adipogenesis,Acute myeloid leukemia;Adipocytokine signaling pathway;Alzheimer disease;Apoptosis;B cell receptor signaling pathway;C-type lectin receptor signaling pathway;Chagas disease;Chemokine signaling pathway;Chronic myeloid leukemia;Coronavirus disease;Cytosolic DNA-sensing pathway;Epithelial cell signaling in Helicobacter pylori infection;Epstein-Barr virus infection;Fluid shear stress and atherosclerosis;FoxO signaling pathway;Hepatitis B;Hepatitis C;Herpes simplex virus 1 infection;Human T-cell leukemia virus 1 infection;Human cytomegalovirus infection;Human immunodeficiency virus 1 infection;Human papillomavirus infection;IL-17 signaling pathway;Influenza A;Kaposi sarcoma-associated herpesvirus infection;Lipid and atherosclerosis;MAPK signaling pathway;Measles;NF-kappa B signaling pathway;NOD-like receptor signaling pathway;Osteoclast differentiation;PD-L1 expression and PD-1 checkpoint pathway in cancer;PI3K-Akt signaling pathway;Pancreatic cancer;Pathogenic Escherichia coli infection;Pathways in cancer;Prostate cancer;RIG-I-like receptor signaling pathway;Ras signaling pathway;Salmonella infection;Shigellosis;Small cell lung cancer;T cell receptor signaling pathway;TNF signaling pathway;Th1 and Th2 cell differentiation;Th17 cell differentiation;Toll-like receptor signaling pathway;Toxoplasmosis;Yersinia infection;mTOR signaling pathway,"AKT Phosphorylates Targets In Cytosol R-HSA-198323;Activation Of NF-kappaB In B Cells R-HSA-1169091;Adaptive Immune System R-HSA-1280218;Antigen processing-Cross Presentation R-HSA-1236975;C-type Lectin Receptors (CLRs) R-HSA-5621481;CLEC7A (Dectin-1) Signaling R-HSA-5607764;Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169;Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400;Cytokine Signaling In Immune System R-HSA-1280215;Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949;DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928;Death Receptor Signaling R-HSA-73887;Dectin-1 Mediated Noncanonical NF-kB Signaling R-HSA-5607761;Disease R-HSA-1643685;Diseases Associated With TLR Signaling Cascade R-HSA-5602358;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Downstream TCR Signaling R-HSA-202424;Downstream Signaling Events Of B Cell Receptor (BCR) R-HSA-1168372;ER-Phagosome Pathway R-HSA-1236974;FCERI Mediated NF-kB Activation R-HSA-2871837;Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202;IKK Complex Recruitment Mediated By RIP1 R-HSA-937041;IRAK1 Recruits IKK Complex R-HSA-937039;IkBA Variant Leads To EDA-ID R-HSA-5603029;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Interleukin-1 Family Signaling R-HSA-446652;Interleukin-1 Signaling R-HSA-9020702;Interleukin-17 Signaling R-HSA-448424;Intracellular Signaling By Second Messengers R-HSA-9006925;MAP Kinase Activation R-HSA-450294;MAP3K8 (TPL2)-dependent MAPK1/3 Activation R-HSA-5684264;MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871;MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155;MyD88-independent TLR4 Cascade R-HSA-166166;MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058;NF-kB Activation Thru FADD/RIP-1 Pathway Mediated By Caspase-8 And -10 R-HSA-933543;NIK To Noncanonical NF-kB Signaling R-HSA-5676590;NOD1/2 Signaling Pathway R-HSA-168638;Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643;PI3K/AKT Signaling In Cancer R-HSA-2219528;PIP3 Activates AKT Signaling R-HSA-1257604;RIP-mediated NFkB Activation Via ZBP1 R-HSA-1810476;Regulation Of NF-kappa B Signaling R-HSA-9758274;Regulation Of TNFR1 Signaling R-HSA-5357905;SARS-CoV Infections R-HSA-9679506;SARS-CoV-2 Infection R-HSA-9694516;SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671;SARS-CoV-2-host Interactions R-HSA-9705683;Signal Transduction R-HSA-162582;Signaling By Interleukins R-HSA-449147;Signaling By B Cell Receptor (BCR) R-HSA-983705;TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989;TCR Signaling R-HSA-202403;TICAM1, RIP1-mediated IKK Complex Recruitment R-HSA-168927;TNF Signaling R-HSA-75893;TNFR1-induced NFkappaB Signaling Pathway R-HSA-5357956;TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541;TRAF6 Mediated NF-kB Activation R-HSA-933542;TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138;Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164;Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016;Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181;Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138;Toll-like Receptor Cascades R-HSA-168898;ZBP1(DAI) Mediated Induction Of Type I IFNs R-HSA-1606322"
CINP,,,
CIP2A,,,
CISD2,,,
CKAP2,,,
CKAP5,Mitotic Spindle,,"AURKA Activation By TPX2 R-HSA-8854518;Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444;Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912;Cell Cycle Checkpoints R-HSA-69620;Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;Centrosome Maturation R-HSA-380287;Cilium Assembly R-HSA-5617833;EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025;G2/M Transition R-HSA-69275;Loss Of Nlp From Mitotic Centrosomes R-HSA-380259;M Phase R-HSA-68886;Mitotic Anaphase R-HSA-68882;Mitotic G2-G2/M Phases R-HSA-453274;Mitotic Metaphase And Anaphase R-HSA-2555396;Mitotic Prometaphase R-HSA-68877;Mitotic Spindle Checkpoint R-HSA-69618;Organelle Biogenesis And Maintenance R-HSA-1852241;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate Formins R-HSA-5663220;Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320;Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942;Resolution Of Sister Chromatid Cohesion R-HSA-2500257;Separation Of Sister Chromatids R-HSA-2467813;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
CLCN3,Protein Secretion;heme Metabolism,Neutrophil extracellular trap formation,Ion Channel Transport R-HSA-983712;Stimuli-sensing Channels R-HSA-2672351;Transport Of Small Molecules R-HSA-382551
CLCN4,,Neutrophil extracellular trap formation,Ion Channel Transport R-HSA-983712;Stimuli-sensing Channels R-HSA-2672351;Transport Of Small Molecules R-HSA-382551
CLEC16A,,,
CLEC2A,,,
CLEC4D,,C-type lectin receptor signaling pathway,C-type Lectin Receptors (CLRs) R-HSA-5621481;Dectin-2 Family R-HSA-5621480;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Neutrophil Degranulation R-HSA-6798695
CLEC5A,Inflammatory Response,,DAP12 Interactions R-HSA-2172127;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Neutrophil Degranulation R-HSA-6798695
CLEC6A,,C-type lectin receptor signaling pathway,C-type Lectin Receptors (CLRs) R-HSA-5621481;Dectin-2 Family R-HSA-5621480;Immune System R-HSA-168256;Innate Immune System R-HSA-168249
CLGN,Spermatogenesis,,
CLK2,,,
CLK3,,,
CLK4,,Legionellosis,
CLN5,Protein Secretion,Lysosome,
CLOCK,,Circadian rhythm;Dopaminergic synapse,"BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Chromatin Modifying Enzymes R-HSA-3247509;Circadian Clock R-HSA-400253;HATs Acetylate Histones R-HSA-3214847;Heme Signaling R-HSA-9707616;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;PPARA Activates Gene Expression R-HSA-1989781;Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206"
CLPX,,,
CLSTN1,,,"Adaptive Immune System R-HSA-1280218;Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695;Axon Guidance R-HSA-422475;Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530;Cytokine Signaling In Immune System R-HSA-1280215;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Erythropoietin Activates Phosphoinositide-3-kinase (PI3K) R-HSA-9027276;Immune System R-HSA-168256;Interleukin Receptor SHC Signaling R-HSA-912526;Interleukin-2 Family Signaling R-HSA-451927;Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988;Intracellular Signaling By Second Messengers R-HSA-9006925;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Negative Regulation Of PI3K/AKT Network R-HSA-199418;Nervous System Development R-HSA-9675108;PI Metabolism R-HSA-1483255;PI3K/AKT Signaling In Cancer R-HSA-2219528;PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558;PIP3 Activates AKT Signaling R-HSA-1257604;Phospholipid Metabolism R-HSA-1483257;RET Signaling R-HSA-8853659;Regulation Of Signaling By CBL R-HSA-912631;Signal Transduction R-HSA-162582;Signaling By Erythropoietin R-HSA-9006335;Signaling By Interleukins R-HSA-449147;Signaling By B Cell Receptor (BCR) R-HSA-983705;Synthesis Of PIPs At Plasma Membrane R-HSA-1660499"
CLSTN3,KRAS Signaling Dn,,
CLTC,Protein Secretion;PI3K/AKT/mTOR  Signaling,Bacterial invasion of epithelial cells;Endocrine and other factor-regulated calcium reabsorption;Endocytosis;Huntington disease;Lysosome;Synaptic vesicle cycle,"ALK Mutants Bind TKIs R-HSA-9700645;Adaptive Immune System R-HSA-1280218;Axon Guidance R-HSA-422475;Beta-catenin Independent WNT Signaling R-HSA-3858494;Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825;Clathrin-mediated Endocytosis R-HSA-8856828;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;Entry Of Influenza Virion Into Host Cell Via Endocytosis R-HSA-168275;Formation Of Annular Gap Junctions R-HSA-196025;Gap Junction Degradation R-HSA-190873;Gap Junction Trafficking R-HSA-190828;Gap Junction Trafficking And Regulation R-HSA-157858;Golgi Associated Vesicle Biogenesis R-HSA-432722;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Influenza Infection R-HSA-168255;L1CAM Interactions R-HSA-373760;LDL Clearance R-HSA-8964038;Lysosome Vesicle Biogenesis R-HSA-432720;MHC Class II Antigen Presentation R-HSA-2132295;Membrane Trafficking R-HSA-199991;Nervous System Development R-HSA-9675108;Nuclear Events Stimulated By ALK Signaling In Cancer R-HSA-9725371;PCP/CE Pathway R-HSA-4086400;Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824;Plasma Lipoprotein Clearance R-HSA-8964043;RHO GTPase Cycle R-HSA-9012999;RHOU GTPase Cycle R-HSA-9013420;RHOV GTPase Cycle R-HSA-9013424;Recycling Pathway Of L1 R-HSA-437239;Retrograde Neurotrophin Signaling R-HSA-177504;Signal Transduction R-HSA-162582;Signaling By ALK Fusions And Activated Point Mutants R-HSA-9725370;Signaling By NTRK1 (TRKA) R-HSA-187037;Signaling By NTRKs R-HSA-166520;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Signaling By WNT R-HSA-195721;Transport Of Small Molecules R-HSA-382551;VLDLR Internalisation And Degradation R-HSA-8866427;Vesicle-mediated Transport R-HSA-5653656;WNT5A-dependent Internalization Of FZD2, FZD5 And ROR2 R-HSA-5140745;WNT5A-dependent Internalization Of FZD4 R-HSA-5099900;trans-Golgi Network Vesicle Budding R-HSA-199992"
CMSS1,,,
CMYA5,,,
CNIH4,,,
CNMD,,,
CNNM1,,,
CNNM3,,,
CNOT1,,RNA degradation,Deadenylation Of mRNA R-HSA-429947;Deadenylation-dependent mRNA Decay R-HSA-429914;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Metabolism Of RNA R-HSA-8953854;RNA Polymerase II Transcription R-HSA-73857;TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312;TP53 Regulates Transcription Of Additional Cell Cycle Genes With Uncertain Roles In P53 Pathway R-HSA-6804115;Transcriptional Regulation By TP53 R-HSA-3700989
CNR1,,Neuroactive ligand-receptor interaction;Rap1 signaling pathway;Retrograde endocannabinoid signaling;Thermogenesis,
CNST,,,
CNTF,,Cytokine-cytokine receptor interaction;JAK-STAT signaling pathway,Cytokine Signaling In Immune System R-HSA-1280215;IL-6-type Cytokine Receptor Ligand Interactions R-HSA-6788467;Immune System R-HSA-168256;Interleukin-6 Family Signaling R-HSA-6783589;Signaling By Interleukins R-HSA-449147
CNTLN,,,
CNTN2,,Cell adhesion molecules,Axon Guidance R-HSA-422475;Developmental Biology R-HSA-1266738;L1CAM Interactions R-HSA-373760;NCAM Signaling For Neurite Out-Growth R-HSA-375165;NCAM1 Interactions R-HSA-419037;Nervous System Development R-HSA-9675108;NrCAM Interactions R-HSA-447038
CNTN6,,,Axon Guidance R-HSA-422475;CHL1 Interactions R-HSA-447041;Developmental Biology R-HSA-1266738;L1CAM Interactions R-HSA-373760;Nervous System Development R-HSA-9675108
CNTNAP1,,Cell adhesion molecules,Axon Guidance R-HSA-422475;Developmental Biology R-HSA-1266738;L1CAM Interactions R-HSA-373760;Nervous System Development R-HSA-9675108;Neurofascin Interactions R-HSA-447043
CNTNAP3,,,
CNTNAP4,,,
CNTROB,Mitotic Spindle,,
COASY,,Pantothenate and CoA biosynthesis,Coenzyme A Biosynthesis R-HSA-196783;Metabolism R-HSA-1430728;Metabolism Of Nucleotides R-HSA-15869;Metabolism Of Vitamins And Cofactors R-HSA-196854;Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849;Nucleotide Biosynthesis R-HSA-8956320;Purine Ribonucleoside Monophosphate Biosynthesis R-HSA-73817;Vitamin B5 (Pantothenate) Metabolism R-HSA-199220
COIL,Spermatogenesis,,
COL23A1,,Protein digestion and absorption,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814;Collagen Chain Trimerization R-HSA-8948216;Collagen Degradation R-HSA-1442490;Collagen Formation R-HSA-1474290;Degradation Of Extracellular Matrix R-HSA-1474228;Extracellular Matrix Organization R-HSA-1474244;Integrin Cell Surface Interactions R-HSA-216083
COLQ,,,
COMT,Xenobiotic Metabolism,Dopaminergic synapse;Steroid hormone biosynthesis;Tyrosine metabolism,Biological Oxidations R-HSA-211859;Disease R-HSA-1643685;Infectious Disease R-HSA-5663205;Metabolism R-HSA-1430728;Methylation R-HSA-156581;Neuronal System R-HSA-112316;Neurotransmitter Clearance R-HSA-112311;Phase II - Conjugation Of Compounds R-HSA-156580;Potential Therapeutics For SARS R-HSA-9679191;SARS-CoV Infections R-HSA-9679506;Transmission Across Chemical Synapses R-HSA-112315
COPS5,mTORC1 Signaling;Myc Targets V1,,Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825;Clathrin-mediated Endocytosis R-HSA-8856828;DNA Damage Recognition In GG-NER R-HSA-5696394;DNA Repair R-HSA-73894;Formation Of TC-NER Pre-Incision Complex R-HSA-6781823;Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399;Membrane Trafficking R-HSA-199991;Metabolism Of Proteins R-HSA-392499;Neddylation R-HSA-8951664;Nucleotide Excision Repair R-HSA-5696398;Post-translational Protein Modification R-HSA-597592;Transcription-Coupled Nucleotide Excision Repair (TC-NER) R-HSA-6781827;Vesicle-mediated Transport R-HSA-5653656
COQ8A,p53 Pathway;KRAS Signaling Dn,,
CORIN,,,Cardiac Conduction R-HSA-5576891;Muscle Contraction R-HSA-397014;Physiological Factors R-HSA-5578768
CORT,,Neuroactive ligand-receptor interaction,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (I) Signaling Events R-HSA-418594;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Peptide Ligand-Binding Receptors R-HSA-375276;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
CPA4,,,Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377;Metabolism Of Proteins R-HSA-392499;Peptide Hormone Metabolism R-HSA-2980736
CPB2,Coagulation,Complement and coagulation cascades;Pancreatic secretion;Protein digestion and absorption,Complement Cascade R-HSA-166658;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377;Metabolism Of Proteins R-HSA-392499;Peptide Hormone Metabolism R-HSA-2980736;Regulation Of Complement Cascade R-HSA-977606
CPEB1,,Oocyte meiosis;Progesterone-mediated oocyte maturation,
CPEB2,Cholesterol Homeostasis,Oocyte meiosis;Progesterone-mediated oocyte maturation,
CPNE9,,,
CPSF6,,mRNA surveillance pathway,Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;FGFR1 Mutant Receptor Activation R-HSA-1839124;Gene Expression (Transcription) R-HSA-74160;Metabolism Of RNA R-HSA-8953854;Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203;Processing Of Capped Intronless Pre-mRNA R-HSA-75067;Processing Of Intronless Pre-mRNAs R-HSA-77595;RNA Polymerase II Transcription R-HSA-73857;RNA Polymerase II Transcription Termination R-HSA-73856;Signaling By FGFR In Disease R-HSA-1226099;Signaling By FGFR1 In Disease R-HSA-5655302;Signaling By Cytosolic FGFR1 Fusion Mutants R-HSA-1839117;mRNA 3-End Processing R-HSA-72187;mRNA Splicing - Major Pathway R-HSA-72163;mRNA Splicing R-HSA-72172
CPT1A,Fatty Acid Metabolism;Oxidative Phosphorylation,AMPK signaling pathway;Adipocytokine signaling pathway;Fatty acid degradation;Glucagon signaling pathway;Insulin resistance;PPAR signaling pathway;Thermogenesis,Carnitine Metabolism R-HSA-200425;Circadian Clock R-HSA-400253;Fatty Acid Metabolism R-HSA-8978868;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;PPARA Activates Gene Expression R-HSA-1989781;RORA Activates Gene Expression R-HSA-1368082;Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206;Signal Transduction R-HSA-162582;Signaling By Nuclear Receptors R-HSA-9006931;Signaling By Retinoic Acid R-HSA-5362517
CPZ,,,
CREB1,,"AMPK signaling pathway;Adrenergic signaling in cardiomyocytes;Alcoholism;Aldosterone synthesis and secretion;Amphetamine addiction;Antigen processing and presentation;Chemical carcinogenesis;Cholinergic synapse;Circadian entrainment;Circadian rhythm;Cocaine addiction;Cortisol synthesis and secretion;Cushing syndrome;Dopaminergic synapse;Estrogen signaling pathway;Glucagon signaling pathway;Growth hormone synthesis, secretion and action;Hepatitis B;Human T-cell leukemia virus 1 infection;Human cytomegalovirus infection;Human papillomavirus infection;Huntington disease;Insulin resistance;Insulin secretion;Kaposi sarcoma-associated herpesvirus infection;Longevity regulating pathway;Melanogenesis;Osteoclast differentiation;PI3K-Akt signaling pathway;Parathyroid hormone synthesis, secretion and action;Prion disease;Prostate cancer;Relaxin signaling pathway;Renin secretion;TNF signaling pathway;Thermogenesis;Thyroid hormone synthesis;Tuberculosis;Vasopressin-regulated water reabsorption;Viral carcinogenesis;cAMP signaling pathway;cGMP-PKG signaling pathway",ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;AKT Phosphorylates Targets In Nucleus R-HSA-198693;Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Axon Guidance R-HSA-422475;CREB Phosphorylation R-HSA-199920;CREB1 Phosphorylation Thru NMDA Receptor-Mediated Activation Of RAS Signaling R-HSA-442742;CREB1 Phosphorylation Thru Activation Of Adenylate Cyclase R-HSA-442720;CREB1 Phosphorylation Thru Activation Of CaMKII/CaMKK/CaMKIV Cascasde R-HSA-442729;Ca-dependent Events R-HSA-111996;CaM Pathway R-HSA-111997;CaMK IV-mediated Phosphorylation Of CREB R-HSA-111932;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Circadian Clock R-HSA-400253;Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400;Cytokine Signaling In Immune System R-HSA-1280215;DAG And IP3 Signaling R-HSA-1489509;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638;Extra-nuclear Estrogen Signaling R-HSA-9009391;FCGR3A-mediated IL10 Synthesis R-HSA-9664323;G Alpha (I) Signaling Events R-HSA-418594;G Alpha (Q) Signaling Events R-HSA-416476;G-protein Mediated Events R-HSA-112040;GPCR Downstream Signaling R-HSA-388396;Gastrin-CREB Signaling Pathway Via PKC And MAPK R-HSA-881907;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;HCMV Early Events R-HSA-9609690;HCMV Infection R-HSA-9609646;Heme Signaling R-HSA-9707616;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Interleukin-17 Signaling R-HSA-448424;Intracellular Signaling By Second Messengers R-HSA-9006925;Leishmania Infection R-HSA-9658195;MAP Kinase Activation R-HSA-450294;MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282;MECP2 Regulates Neuronal Receptors And Channels R-HSA-9022699;MECP2 Regulates Transcription Factors R-HSA-9022707;MECP2 Regulates Transcription Of Neuronal Ligands R-HSA-9022702;Mitochondrial Biogenesis R-HSA-1592230;MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871;MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155;MyD88-independent TLR4 Cascade R-HSA-166166;MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058;NCAM Signaling For Neurite Out-Growth R-HSA-375165;NGF-stimulated Transcription R-HSA-9031628;NOTCH2 Intracellular Domain Regulates Transcription R-HSA-2197563;Nervous System Development R-HSA-9675108;Neuronal System R-HSA-112316;Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314;Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725;Opioid Signaling R-HSA-111885;Organelle Biogenesis And Maintenance R-HSA-1852241;PI3K/AKT Signaling In Cancer R-HSA-2219528;PIP3 Activates AKT Signaling R-HSA-1257604;PKA-mediated Phosphorylation Of CREB R-HSA-111931;PLC Beta Mediated Events R-HSA-112043;Post NMDA Receptor Activation Events R-HSA-438064;RNA Polymerase II Transcription R-HSA-73857;Regulation Of MECP2 Expression And Activity R-HSA-9022692;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Signaling By Interleukins R-HSA-449147;Signaling By NOTCH R-HSA-157118;Signaling By NOTCH2 R-HSA-1980145;Signaling By NTRK1 (TRKA) R-HSA-187037;Signaling By NTRKs R-HSA-166520;Signaling By Nuclear Receptors R-HSA-9006931;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138;Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164;Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016;Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181;Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138;Toll-like Receptor Cascades R-HSA-168898;Transcriptional Regulation By MECP2 R-HSA-8986944;Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201;Transcriptional Regulation Of Granulopoiesis R-HSA-9616222;Transmission Across Chemical Synapses R-HSA-112315
CREB3,,"AMPK signaling pathway;Adrenergic signaling in cardiomyocytes;Alcoholism;Aldosterone synthesis and secretion;Amphetamine addiction;Chemical carcinogenesis;Cholinergic synapse;Cocaine addiction;Cortisol synthesis and secretion;Cushing syndrome;Dopaminergic synapse;Estrogen signaling pathway;Glucagon signaling pathway;Growth hormone synthesis, secretion and action;Hepatitis B;Human T-cell leukemia virus 1 infection;Human cytomegalovirus infection;Human papillomavirus infection;Huntington disease;Insulin resistance;Insulin secretion;Longevity regulating pathway;Melanogenesis;PI3K-Akt signaling pathway;Parathyroid hormone synthesis, secretion and action;Prion disease;Prostate cancer;Relaxin signaling pathway;TNF signaling pathway;Thermogenesis;Thyroid hormone synthesis;Vasopressin-regulated water reabsorption;Viral carcinogenesis;cAMP signaling pathway;cGMP-PKG signaling pathway",
