gene,category,rationale,single_gene_panel_note,HALLMARK,KEGG,REACTOME
APH1B,,,,,Alzheimer disease;Notch signaling pathway,"Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948;Amyloid Fiber Formation R-HSA-977225;Axon Guidance R-HSA-422475;Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998;Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862;Death Receptor Signaling R-HSA-73887;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;Metabolism Of Proteins R-HSA-392499;NOTCH2 Activation And Transmission Of Signal To Nucleus R-HSA-2979096;NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507;NOTCH4 Activation And Transmission Of Signal To Nucleus R-HSA-9013700;NRIF Signals Cell Death From Nucleus R-HSA-205043;Nervous System Development R-HSA-9675108;Noncanonical Activation Of NOTCH3 R-HSA-9017802;Nuclear Signaling By ERBB4 R-HSA-1251985;Regulated Proteolysis Of p75NTR R-HSA-193692;Signal Transduction R-HSA-162582;Signaling By ERBB4 R-HSA-1236394;Signaling By NOTCH R-HSA-157118;Signaling By NOTCH1 R-HSA-1980143;Signaling By NOTCH2 R-HSA-1980145;Signaling By NOTCH3 R-HSA-9012852;Signaling By NOTCH4 R-HSA-9013694;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;P75 NTR Receptor-Mediated Signaling R-HSA-193704"
API5,,,,,,
APLF,,,,,,
APOBEC3B,,,,,Human immunodeficiency virus 1 infection,Formation Of Editosome R-HSA-75094;Metabolism Of RNA R-HSA-8953854;mRNA Editing R-HSA-75072
APOBEC3D,,,,,Human immunodeficiency virus 1 infection,
APOL1,,,,,African trypanosomiasis,Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Post-translational Protein Phosphorylation R-HSA-8957275;Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426;Scavenging Of Heme From Plasma R-HSA-2168880;Vesicle-mediated Transport R-HSA-5653656
APPBP2,,,,Androgen Response,,
APTX,,,,,,
ARFIP1,,,,Protein Secretion,,
ARHGAP36,,,,,,
