gene,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio
AFF2,no,0.195,0.14,2239,1637,-0.481
AFG1L,no,1.391,1.358,15934,15873,-0.034
AFM,no,0.221,0.095,2527,1108,-1.218
AGAP1,no,7.476,8.697,85617,101624,0.218
AGAP3,no,5.013,6.848,57411,80013,0.45
AGER,no,0.3,0.631,3439,7373,1.071
AGMAT,no,0.673,0.178,7710,2075,-1.923
AGO1,no,4.66,4.546,53366,53121,-0.036
AGR3,no,0.304,0.223,3481,2611,-0.444
AGRP,no,0.066,0.045,752,531,-0.531
AGTR1,no,0.529,0.703,6055,8213,0.411
AGTR2,no,0.104,0.023,1192,271,-2.166
AGXT,no,0.038,0.011,430,128,-1.777
AHCY,no,27.863,22.805,319108,266476,-0.289
AHR,no,5.117,6.008,58600,70198,0.232
AHRR,no,0.071,0.049,811,570,-0.538
AHSG,yes,0.036,0.042,410,487,0.219
AICDA,no,0.046,0.01,523,112,-2.252
AIF1L,no,0.513,0.567,5877,6626,0.144
AIFM1,no,6.156,5.964,70509,69692,-0.046
AIM2,no,0.059,0.081,673,943,0.458
AIMP2,no,3.185,3.022,36473,35313,-0.076
AIP,no,4.623,5.745,52950,67131,0.313
AIRE,no,0.038,,433,0,
AJAP1,no,0.724,0.482,8295,5633,-0.587
AKAP11,no,7.687,6.672,88037,77955,-0.204
AKAP4,yes,0.043,,491,0,
AKAP8,no,6.527,6.549,74752,76518,0.005
AKR1B1,no,5.575,7.094,63855,82897,0.348
AKR1C3,no,2.67,3.252,30578,38002,0.285
AKT1,no,21.471,16.765,245908,195890,-0.357
AKT2,no,14.34,16.101,164236,188133,0.167
AKT3,no,6.099,7.575,69847,88506,0.313
AKTIP,no,6.324,6.247,72425,72991,-0.018
ALAD,no,7.759,7.561,88863,88347,-0.037
ALCAM,no,11.611,7.895,132980,92252,-0.556
ALDH1B1,no,5.797,5.269,66398,61569,-0.138
ALDH2,no,14.451,12.373,165503,144576,-0.224
ALDH3A2,no,17.111,20.1,195977,234864,0.232
ALDH7A1,no,8.527,8.523,97659,99586,-0.001
ALDOA,no,8.833,8.515,101165,99499,-0.053
ALG11,no,4.295,2.854,49195,33344,-0.59
ALG13,no,4.836,3.63,55382,42420,-0.414
ALG2,no,13.951,13.855,159782,161893,-0.01
ALG6,no,1.502,1.318,17203,15402,-0.188
ALG9,no,5.602,5.312,64157,62071,-0.077
ALK,no,0.032,0.012,366,135,-1.468
ALKBH5,no,10.582,9.488,121196,110868,-0.157
ALOX12,no,0.039,0.011,441,130,-1.791
ALOX15,no,0.052,0.163,598,1909,1.646
ALOX5,no,4.407,4.796,50476,56036,0.122
ALPK1,no,2.463,2.881,28210,33668,0.226
ALPK3,no,4.835,2.537,55376,29649,-0.93
ALPL,no,0.694,0.519,7944,6061,-0.419
ALX1,no,0.028,,323,0,
ALYREF,no,7.56,8.181,86586,95597,0.114
AMACR,no,1.896,2.441,21711,28524,0.365
AMER1,no,1.862,2.185,21326,25530,0.231
AMFR,no,9.498,8.472,108777,98996,-0.165
AMH,no,0.069,0.019,792,225,-1.844
AMIGO1,no,1.295,1.354,14832,15826,0.065
AMIGO3,no,0.37,0.332,4237,3881,-0.156
AMOT,no,1.824,1.789,20892,20908,-0.028
ANAPC1,no,6.197,7.201,70976,84141,0.217
ANGPT1,no,0.497,0.488,5697,5705,-0.027
ANGPT2,no,0.184,0.145,2110,1697,-0.343
ANGPTL2,no,0.956,0.945,10946,11042,-0.016
ANGPTL3,no,0.243,0.08,2782,940,-1.594
ANGPTL4,no,12.861,3.047,147301,35608,-2.077
ANGPTL6,no,0.159,0.261,1822,3050,0.714
ANGPTL7,no,0.134,0.073,1538,850,-0.884
ANGPTL8,no,0.025,0.025,291,296,-0.004
ANK1,no,0.088,0.067,1013,783,-0.4
ANKHD1,no,10.792,14.004,123599,163631,0.376
ANKK1,no,0.054,0.051,619,598,-0.079
ANKRD13A,no,10.661,11.19,122101,130748,0.07
ANKRD13D,no,1.979,2.838,22670,33163,0.52
ANKRD17,no,9.613,9.097,110101,106294,-0.08
ANKRD30A,no,0.143,0.026,1634,300,-2.474
ANKRD40,no,8.601,7.801,98507,91153,-0.141
ANKRD44,no,1.379,1.947,15799,22749,0.497
ANKRD6,no,1.566,1.702,17936,19890,0.12
ANKS1A,no,2.925,3.678,33502,42979,0.33
ANKS6,no,3.115,3.198,35678,37368,0.038
ANKZF1,no,4.957,6.657,56771,77791,0.426
ANO1,no,1.94,2.101,22221,24553,0.115
ANO3,no,0.674,0.231,7714,2701,-1.543
ANP32E,no,4.221,3.748,48345,43789,-0.172
ANPEP,no,59.817,58.898,685081,688203,-0.022
ANXA10,no,2.243,2.876,25688,33603,0.359
ANXA2,no,39.275,44.388,449817,518659,0.177
ANXA3,no,11.643,10.303,133343,120384,-0.176
ANXA5,no,36.744,27.541,420822,321811,-0.416
ANXA8,no,0.071,0.036,808,422,-0.966
AOAH,no,0.894,2.817,10237,32916,1.656
AOC3,no,1.983,1.542,22709,18013,-0.363
AOX1,no,26.62,31.112,304879,363540,0.225
AP1B1,no,15.918,16.628,182307,194298,0.063
AP1M1,no,5.044,5.038,57773,58871,-0.002
AP1S3,no,2.129,1.35,24386,15777,-0.657
AP2A1,no,11.32,12.698,129642,148369,0.166
AP2A2,no,9.342,10.757,106988,125691,0.204
AP2M1,no,23.862,23.097,273285,269882,-0.047
