gene,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio
DNAH1,no,1.653,3.116,18931,36407,0.915
DNAH10,no,0.033,0.015,373,174,-1.129
DNAH11,no,0.045,0.16,515,1868,1.83
DNAH12,no,0.181,0.098,2071,1143,-0.886
DNAH14,no,3.044,2.573,34866,30067,-0.243
DNAH2,no,0.055,0.033,629,390,-0.718
DNAH5,no,1.094,1.523,12528,17792,0.477
DNAH7,no,1.175,1.582,13452,18489,0.43
DNAH8,no,0.038,0.009,438,109,-2.036
DNAH9,no,0.215,0.122,2462,1429,-0.814
DNAI1,no,0.158,0.128,1814,1490,-0.313
DNAJA1,no,18.575,14.741,212739,172245,-0.334
DNAJA3,no,2.667,2.928,30550,34211,0.134
DNAJB12,no,5.101,5.026,58426,58722,-0.022
DNAJB2,no,9.928,12.05,113704,140806,0.28
DNAJB4,no,5.623,6.653,64396,77733,0.243
DNAJB5,no,1.646,1.326,18852,15489,-0.312
DNAJC10,no,26.817,24.903,307130,290986,-0.107
DNAJC17,no,1.233,1.345,14120,15719,0.126
DNAJC9,no,5.217,4.781,59747,55862,-0.126
DNASE1L3,no,0.094,0.04,1079,473,-1.219
DNM1,no,3.258,3.298,37319,38532,0.017
DNM2,no,19.611,23.759,224608,277621,0.277
DNMT1,no,5.002,5.802,57293,67800,0.214
DNMT3A,no,5.088,5.926,58270,69246,0.22
DNMT3B,no,1.817,1.994,20814,23303,0.134
DNPEP,no,2.122,2.407,24304,28126,0.182
DNTT,no,0.066,0.009,757,110,-2.812
DOC2A,no,0.109,0.178,1253,2084,0.705
DOCK9,no,2.857,2.977,32719,34785,0.059
DOK5,no,0.285,0.119,3263,1387,-1.263
DOK7,yes,0.843,1.036,9659,12109,0.297
DOT1L,no,9.012,10.358,103216,121031,0.201
DPAGT1,no,5.299,5.718,60689,66818,0.11
DPF2,no,2.775,3.609,31786,42173,0.379
DPF3,no,0.375,0.243,4297,2841,-0.626
DPM1,no,7.172,6.681,82141,78069,-0.102
DPP4,no,1.689,1.501,19339,17542,-0.17
DPP8,no,5.211,5.349,59676,62497,0.038
DPPA2,no,0.081,0.012,931,135,-2.815
DPT,no,4.534,3.145,51930,36750,-0.528
DPY19L2,yes,0.755,0.706,8643,8254,-0.095
DPYD,no,4.382,5.826,50186,68071,0.411
DPYSL2,no,4.083,4.645,46757,54281,0.186
DRAM1,no,3.346,1.734,38323,20262,-0.948
DRC1,no,0.049,0.027,564,315,-0.869
DRC3,no,0.547,0.611,6266,7144,0.16
DRD1,no,0.056,0.047,637,549,-0.243
DRD2,no,0.043,0.028,491,332,-0.593
DRD3,no,0.033,,382,0,
DRD5,no,0.105,0.019,1199,224,-2.449
DRG1,no,11.442,10.969,131050,128164,-0.061
DSG1,yes,0.022,,254,0,
DSG2,no,13.092,10.438,149943,121965,-0.327
DSG3,yes,0.06,0.01,685,112,-2.642
DST,no,18.669,14.026,213813,163891,-0.413
DTNA,no,6.055,4.89,69353,57140,-0.308
DTNBP1,no,2.568,3.212,29407,37537,0.323
DTX1,no,1.584,1.907,18146,22278,0.267
DUOX2,no,0.053,0.04,610,470,-0.405
DUOXA1,no,0.074,0.021,850,249,-1.8
DUOXA2,no,0.037,0.011,428,130,-1.748
DUSP13,no,0.022,,250,0,
DUSP23,no,8.709,10.035,99744,117252,0.204
DUSP28,no,0.837,0.671,9585,7840,-0.319
DUSP5,no,4.194,3.898,48035,45549,-0.106
DUSP6,no,2.861,2.805,32772,32778,-0.029
DUX4,no,0.459,0.112,5256,1313,-2.03
DVL1,no,9.642,11.219,110433,131086,0.218
DVL2,no,3.257,3.919,37299,45791,0.267
DVL3,no,7.971,8.544,91293,99830,0.1
DYDC1,no,0.057,0.013,657,156,-2.103
DYNC1H1,no,13.702,14.566,156926,170198,0.088
DYRK1A,no,7.512,7.598,86032,88781,0.016
DYRK1B,no,2.099,2.491,24035,29104,0.247
DZIP1L,no,3.615,5.789,41407,67642,0.679
E2F1,no,0.466,0.294,5341,3440,-0.664
E2F3,no,1.512,1.104,17319,12901,-0.454
E2F4,no,3.787,3.274,43374,38259,-0.21
E4F1,no,1.527,2.504,17490,29254,0.713
EBF1,no,1.03,1.309,11795,15294,0.346
EBF2,no,0.319,0.213,3655,2486,-0.585
EBI3,no,0.201,0.209,2304,2440,0.054
EBP,no,8.98,6.693,102849,78202,-0.424
ECD,no,6.032,6.664,69079,77863,0.144
ECE1,no,21.18,21.999,242579,257051,0.055
ECEL1,no,0.07,0.052,807,610,-0.433
ECHDC1,no,8.519,7.732,97563,90343,-0.14
ECHS1,no,5.979,5.634,68473,65833,-0.086
ECPAS,no,16.788,18.168,192267,212292,0.114
ECRG4,no,0.194,0.185,2227,2167,-0.068
ECSIT,no,5.341,6.518,61172,76166,0.287
EDA,no,0.447,0.401,5123,4680,-0.159
EDIL3,no,0.361,0.237,4132,2764,-0.609
EDN1,no,2.22,1.82,25420,21270,-0.286
EDNRA,no,0.486,0.374,5561,4375,-0.375
EDNRB,no,3.71,1.511,42491,17651,-1.296
EDRF1,no,2.936,3.613,33624,42216,0.299
EED,no,3.084,3.372,35316,39405,0.129
EEF1A2,no,2.87,2.258,32867,26387,-0.346
EEF1AKNMT,no,4.191,5.12,47998,59826,0.289
EEF1G,no,96.723,94.29,1107767,1101758,-0.037
EFHC1,no,2.548,3.037,29180,35492,0.254
EFHC2,no,0.203,0.124,2329,1445,-0.718
EFNB2,no,2.327,2.248,26648,26267,-0.05
EFR3A,no,11.206,8.884,128347,103802,-0.335
EFR3B,no,0.251,0.235,2874,2742,-0.097
EFS,no,0.464,0.495,5310,5784,0.094
EFTUD2,no,3.433,4.271,39322,49903,0.315
EGF,no,9.107,11.806,104305,137953,0.374
EGFL6,no,0.046,0.023,529,268,-1.01
EGFL7,no,1.812,3.17,20757,37035,0.806
EGFL8,no,1.276,1.946,14611,22741,0.609
EGFR,no,6.755,6.097,77364,71247,-0.148
EGLN1,no,13.123,9.049,150296,105738,-0.536
EGLN3,no,0.686,0.773,7860,9033,0.172
EGR2,no,0.422,0.263,4828,3075,-0.68
EGR3,no,2.771,1.199,31736,14011,-1.208
EGR4,no,0.088,0.049,1007,571,-0.847
EHBP1,no,5.122,4.632,58657,54126,-0.145
EHF,no,9.11,9.853,104334,115133,0.113
EHMT1,no,3.094,3.208,35440,37484,0.052
EHMT2,no,4.097,5.806,46922,67842,0.503
EID1,no,12.616,8.788,144495,102687,-0.522
EIF1AD,no,3.134,3.491,35890,40789,0.156
EIF1AY,yes,,5.273,0,61615,
EIF1B,no,8.549,7.814,97909,91303,-0.13
EIF2AK2,no,5.806,5.972,66501,69784,0.041
EIF2AK3,no,19.462,14.016,222899,163771,-0.474
EIF2AK4,no,6.851,7.038,78465,82233,0.039
EIF2S1,no,10.471,7.707,119922,90053,-0.442
EIF3A,no,41.726,44.37,477885,518455,0.089
EIF3C,no,61.314,40.64,702222,474870,-0.593
EIF4A1,no,47.106,46.623,539504,544777,-0.015
EIF4A3,no,5.136,6,58826,70108,0.224
EIF4E,no,8.075,5.819,92483,67991,-0.473
EIF4EBP1,no,32.9,30.067,376798,351319,-0.13
EIF4EBP2,no,20.056,17.603,229702,205681,-0.188
EIF4EBP3,no,3.649,3.532,41790,41270,-0.047
EIF4ENIF1,no,4.119,4.839,47176,56543,0.232
EIF4G1,no,44.834,41.572,513487,485760,-0.109
EIF5A,no,33.222,31.159,380487,364082,-0.092
EIF5AL1,no,0.167,0.019,1911,219,-3.154
EIPR1,no,2.261,2.288,25891,26740,0.018
ELAC1,no,1.654,1.881,18948,21982,0.185
ELAC2,no,6.653,7.684,76199,89791,0.208
ELANE,no,0.072,0.02,828,229,-1.883
ELAVL1,no,13.472,11.818,154289,138090,-0.189
ELF4,no,1.768,2.615,20250,30559,0.565
ELFN1,no,0.237,0.128,2711,1500,-0.883
ELK1,no,3.702,2.742,42400,32039,-0.433
ELK3,no,3.051,2.852,34941,33323,-0.097
ELK4,no,8.269,7.792,94707,91049,-0.086
ELMOD1,no,0.023,,267,0,
ELMOD2,no,4.528,4.004,51856,46782,-0.177
ELN,no,2.195,1.533,25140,17908,-0.518
ELOB,no,0.329,0.354,3766,4133,0.105
ELOC,no,2.98,2.202,34130,25730,-0.436
ELSPBP1,no,0.024,,277,0,
EMC1,no,6.826,6.631,78173,77482,-0.042
EMC4,no,2.979,2.668,34116,31178,-0.159
EMD,no,11.255,12.926,128907,151035,0.2
EMP1,no,3.046,3.081,34891,35997,0.016
EMP2,no,4.823,4.574,55232,53444,-0.076
EMSY,no,3.575,3.884,40948,45384,0.119
EMX2,no,0.036,0.027,412,316,-0.412
EN1,no,0.056,0.011,646,134,-2.298
EN2,no,0.041,0.033,464,385,-0.298
ENG,no,6.726,6.299,77032,73607,-0.095
ENKUR,no,0.099,0.025,1133,293,-1.98
ENO2,no,0.501,0.665,5740,7770,0.408
ENOSF1,no,8.47,6.516,97007,76143,-0.378
ENOX1,no,0.237,0.188,2716,2199,-0.334
ENOX2,no,2.019,1.596,23121,18643,-0.339
ENPEP,no,1.62,0.9,18551,10516,-0.848
ENPP1,no,10.32,8.137,118196,95082,-0.343
ENPP2,no,3.51,3.157,40201,36884,-0.153
ENPP3,no,0.11,0.078,1262,910,-0.501
ENTPD1,no,1.71,2.346,19587,27411,0.456
ENTPD2,no,0.474,0.535,5425,6255,0.176
EOMES,no,0.096,0.087,1101,1016,-0.145
EP300,no,13.387,15.102,153325,176464,0.174
EPAS1,no,23.16,18.712,265246,218649,-0.308
EPB41L3,no,1.745,1.918,19987,22411,0.136
EPCAM,no,36.157,34.217,414109,399821,-0.08
EPDR1,no,5.634,4.843,64526,56587,-0.218
EPG5,no,2.73,3.803,31261,44432,0.478
EPHA1,no,2.093,2.365,23971,27631,0.176
EPHA10,no,0.748,0.843,8572,9854,0.172
EPHA2,no,3.87,3.692,44319,43141,-0.068
EPHA3,no,0.735,0.464,8423,5423,-0.664
EPHA4,no,0.35,0.531,4004,6210,0.604
EPHA7,no,0.108,0.085,1235,998,-0.336
EPHA8,no,0.325,0.331,3723,3865,0.025
EPHB1,no,0.072,0.021,820,243,-1.784
EPHB2,no,2.212,2.492,25334,29121,0.172
EPHB4,no,2.827,2.725,32372,31845,-0.053
EPHB6,no,4.772,4.568,54653,53378,-0.063
EPHX1,no,19.551,23.996,223921,280392,0.296
EPHX2,no,8.745,9.556,100154,111664,0.128
EPM2AIP1,no,1.736,2.105,19878,24592,0.278
EPO,no,0.639,0.882,7319,10308,0.465
EPOR,no,3.196,4.757,36608,55587,0.574
EPRS,no,18.753,18.92,214781,221073,0.013
EPS8L3,no,0.088,0.074,1004,864,-0.246
ERAP1,no,11.628,10.343,133174,120854,-0.169
ERAS,no,0.014,,163,0,
ERBB2,no,5.451,6.4,62435,74778,0.231
ERBB3,no,11.452,14.628,131158,170929,0.353
ERC1,no,4.479,5.246,51301,61303,0.228
ERCC1,no,5.959,6.415,68251,74953,0.106
ERCC2,no,2.526,3.063,28928,35787,0.278
ERCC3,no,4.952,5.577,56715,65160,0.171
ERCC4,no,1.596,1.636,18283,19121,0.036
ERCC5,no,4.506,5.207,51608,60846,0.209
ERCC6,no,3.58,4.292,41002,50151,0.262
EREG,no,0.045,0.128,515,1491,1.505
ERFE,no,0.054,0.02,616,228,-1.463
ERG,no,0.961,1.558,11012,18202,0.696
ERG28,no,4.585,3.377,52512,39461,-0.441
ERGIC2,no,6.834,6.174,78267,72139,-0.147
ERLIN2,no,6.984,7.561,79983,88351,0.115
ERMAP,no,3.165,3.678,36253,42971,0.216
ERN1,no,11.908,8.604,136379,100541,-0.469
ERP27,no,52.01,45.698,595668,533963,-0.187
ERRFI1,no,35.162,24.908,402708,291039,-0.497
ERVFRD-1,no,0.059,0.021,681,243,-1.516
ESF1,no,3.66,3.224,41916,37666,-0.183
ESM1,no,0.193,0.189,2208,2213,-0.026
ESR1,no,0.359,0.326,4112,3815,-0.137
ESR2,no,0.234,0.176,2676,2061,-0.406
ESRRA,no,9.771,9.639,111903,112624,-0.02
ESRRG,no,1.776,1.924,20342,22477,0.115
ETS1,no,1.926,1.752,22061,20472,-0.137
ETV1,no,0.529,0.611,6058,7142,0.209
ETV3,no,1.788,1.575,20476,18408,-0.183
ETV5,no,7.324,4.258,83881,49753,-0.782
ETV6,no,7.054,5.574,80786,65127,-0.34
EVI2B,no,1.248,1.857,14289,21697,0.574
EVI5,no,9.589,8.16,109821,95343,-0.233
EWSR1,no,30.151,34.825,345313,406921,0.208
EXO1,no,0.164,0.092,1882,1075,-0.837
EXOSC10,no,5.974,6.612,68416,77265,0.147
EYA1,no,0.084,0.047,957,550,-0.828
EYA4,no,0.032,0.012,372,136,-1.481
EZH1,no,4.525,5.639,51827,65891,0.317
EZH2,no,1.851,2.194,21194,25631,0.245
EZHIP,no,0.081,0.038,927,449,-1.075
F11,yes,5.537,7.362,63420,86019,0.411
F11R,no,18.96,16.298,217146,190438,-0.218
F12,yes,0.105,0.114,1207,1337,0.119
F13A1,yes,2.38,3.544,27261,41415,0.574
F2R,no,1.599,1.326,18309,15489,-0.27
F2RL1,no,6.756,4.229,77372,49420,-0.676
F2RL3,no,0.947,0.86,10846,10048,-0.139
F5,no,0.98,0.914,11225,10676,-0.101
F7,yes,0.785,0.289,8987,3377,-1.441
F8,no,0.9,1.185,10303,13847,0.398
FAAH,no,2.814,4.099,32233,47890,0.542
FABP2,no,0.079,0.016,908,188,-2.301
FABP3,no,0.171,0.196,1957,2285,0.195
FABP7,no,0.057,0.017,656,201,-1.735
FADD,no,3.145,3.373,36022,39418,0.101
FADS1,no,2.063,1.669,23627,19501,-0.306
FADS2,no,3.845,2.806,44035,32785,-0.455
FAF1,no,9.923,10.341,113646,120829,0.06
FAF2,no,5.86,6.323,67119,73877,0.109
FAIM,no,6.821,5.831,78122,68136,-0.226
FAIM2,no,0.47,0.329,5386,3847,-0.514
FAM107A,no,2.266,1.861,25957,21745,-0.284
FAM110A,no,0.707,0.902,8099,10538,0.351
FAM117B,no,4.883,5.768,55921,67399,0.24
FAM126B,no,3.415,3.628,39116,42387,0.087
FAM131C,no,1.203,0.627,13782,7325,-0.941
FAM161A,no,0.588,0.705,6738,8239,0.261
FAM168A,no,5.25,4.622,60123,54007,-0.184
FAM193A,no,5.083,6.186,58215,72278,0.283
FAM3A,no,6.724,9.354,77005,109304,0.476
FAM53C,no,11.85,10.543,135713,123187,-0.169
FAM76B,no,1.625,2.035,18610,23773,0.324
FAM98A,no,6.869,6.228,78667,72767,-0.141
FAM9B,no,0.077,,881,0,
FANCA,no,0.14,0.185,1604,2164,0.403
FANCC,no,1.786,1.903,20452,22237,0.092
FANCD2,no,0.487,0.431,5576,5033,-0.177
FANCI,no,1.182,1.045,13532,12210,-0.177
FAP,no,1.191,2.01,13642,23483,0.755
FAR1,no,17.557,14.281,201084,166875,-0.298
FAS,no,1.751,1.442,20051,16855,-0.279
FASLG,no,0.121,0.134,1381,1565,0.152
FASN,no,3.095,2.902,35452,33908,-0.093
FAT1,no,15.089,8.973,172814,104844,-0.75
FAT2,no,0.024,,273,0,
FAT3,no,0.112,0.058,1279,675,-0.951
FAT4,no,0.975,0.915,11164,10690,-0.091
FBL,no,37.523,34.367,429747,401568,-0.127
FBLN2,no,0.703,0.554,8049,6469,-0.344
FBLN5,no,12.541,4.752,143627,55521,-1.4
FBP1,no,4.312,4.142,49386,48395,-0.058
FBXO16,no,1.215,1.706,13915,19937,0.49
FBXO25,no,7.177,7.054,82196,82423,-0.025
FBXO33,no,2.458,2.626,28156,30689,0.095
FBXO42,no,3.055,3.684,34991,43049,0.27
FBXO43,no,0.076,0.043,876,500,-0.838
FBXO45,no,2.722,1.87,31179,21846,-0.542
FBXW11,no,7.449,6.098,85312,71251,-0.289
FBXW7,no,1.6,1.316,18329,15374,-0.283
FCAR,no,0.114,0.194,1305,2261,0.764
FCER1A,no,0.029,0.063,328,736,1.137
FCER2,no,0.081,0.072,931,836,-0.184
FCGBP,no,7.041,7.696,80645,89924,0.128
FCGR1A,no,0.216,0.41,2479,4796,0.923
FCGR2A,no,3.357,3.777,38445,44137,0.17
FCGR2B,no,0.251,0.606,2873,7078,1.272
FCGR3A,no,0.961,1.066,11012,12454,0.149
FCGR3B,no,1.18,0.869,13519,10152,-0.442
FCMR,no,0.347,0.367,3978,4287,0.079
FCN1,no,0.158,0.296,1808,3459,0.907
FCN2,no,0.1,0.091,1149,1060,-0.145
FCRL1,no,0.025,0.028,287,331,0.177
FCRL2,no,0.03,0.023,340,271,-0.356
FCRL3,no,0.04,0.032,458,374,-0.321
FCRL4,no,0.031,,353,0,
FCRL5,no,0.034,0.099,391,1151,1.529
FCRLA,no,0.025,,288,0,
FDFT1,no,13.32,11.508,152552,134464,-0.211
FDPS,no,9.543,7.761,109291,90688,-0.298
FDX1,no,9.587,7.079,109796,82713,-0.438
FECH,no,4.133,4.253,47330,49691,0.041
FEN1,no,1.577,1.78,18067,20794,0.174
FENDRR,no,0.112,0.077,1287,898,-0.548
FER,no,2.272,1.995,26022,23308,-0.188
FERMT3,no,0.932,1.513,10674,17676,0.699
FES,no,1.706,2.207,19539,25789,0.371
FETUB,no,0.034,0.009,390,101,-1.978
FEV,no,0.983,0.836,11256,9770,-0.233
FEZ1,no,0.26,0.235,2979,2750,-0.144
FEZF1,no,0.051,,589,0,
FEZF2,no,0.013,,154,0,
FFAR1,no,0.474,0.266,5431,3113,-0.832
FGF1,no,0.157,0.115,1802,1343,-0.453
FGF10,no,1.064,0.845,12191,9874,-0.333
FGF13,no,0.273,0.203,3124,2368,-0.429
FGF19,no,0.016,,183,0,
FGF2,no,0.524,0.608,6005,7105,0.214
FGF21,no,0.026,0.017,299,202,-0.595
FGF23,no,0.02,,227,0,
FGF4,no,0.021,,246,0,
FGF7,no,2.953,1.762,33819,20591,-0.745
FGF9,no,0.214,0.149,2449,1738,-0.524
FGFBP2,no,0.091,0.085,1038,997,-0.087
FGFR1,no,20.063,19.893,229786,232446,-0.012
FGFR2,no,6.628,8.716,75913,101840,0.395
FGFR3,no,9.369,13.209,107302,154346,0.496
FGFR4,no,3.986,4.659,45653,54437,0.225
FGR,no,0.67,0.773,7671,9035,0.207
FH,no,7.96,7.794,91170,91069,-0.031
FHAD1,no,0.588,0.385,6732,4497,-0.611
FHL1,no,1.006,0.81,11516,9461,-0.312
FHL2,no,0.399,0.266,4567,3106,-0.585
FHL3,no,1.929,3.102,22096,36244,0.685
FHOD1,no,2.419,3.402,27700,39750,0.492
FIBCD1,no,0.016,,188,0,
FIBP,no,7.631,7.477,87397,87368,-0.029
FILIP1L,no,9.807,8.038,112317,93927,-0.287
FIP1L1,no,6.579,8.357,75354,97645,0.345
FKBP11,no,15.625,14.172,178955,165594,-0.141
FKBP15,no,3.652,4.363,41821,50977,0.257
FKTN,no,2.051,2.141,23489,25016,0.062
FLCN,no,3.749,4.899,42932,57238,0.386
FLI1,no,1.253,1.669,14349,19496,0.413
FLII,no,29.503,32.47,337900,379408,0.138
FLNB,no,17.103,19.596,195885,228975,0.196
FLNC,no,0.106,0.133,1217,1551,0.321
FLOT2,no,14.003,14.234,160372,166318,0.024
FLRT3,no,1.601,0.791,18341,9239,-1.018
FLT3,no,0.744,0.665,8525,7770,-0.163
FLT3LG,no,0.83,1.186,9506,13855,0.515
FLT4,no,0.634,1.107,7260,12930,0.804
FLYWCH1,no,0.811,1.153,9291,13468,0.507
FMC1,no,4.758,4.569,54495,53386,-0.059
FMN1,no,3.485,3.609,39912,42174,0.051
FMN2,no,0.329,0.126,3771,1476,-1.382
FMO3,no,0.475,0.59,5441,6899,0.314
FMO5,no,4.799,6.855,54958,80099,0.515
FMOD,no,5.36,4.986,61384,58260,-0.104
FN3KRP,no,3.555,3.343,40719,39065,-0.089
FNDC3A,no,13.061,12.829,149591,149899,-0.026
FNDC3B,no,20.546,20.562,235310,240267,0.001
FNDC5,no,0.127,0.092,1453,1079,-0.458
FNTA,no,9.635,10.382,110346,121314,0.108
FOLH1,no,0.085,0.082,976,960,-0.053
FOLR1,no,0.351,0.238,4019,2777,-0.562
FOLR2,no,0.685,0.585,7849,6839,-0.228
FOSL1,no,0.868,0.38,9946,4437,-1.193
FOXA1,no,0.158,0.092,1809,1070,-0.786
FOXA2,no,3.283,2.851,37599,33316,-0.203
FOXB1,no,0.059,0.009,681,107,-2.699
FOXC1,no,0.999,0.941,11447,10991,-0.088
FOXC2,no,0.04,0.02,462,229,-1.041
FOXD2,no,0.079,0.045,910,526,-0.82
FOXE1,no,0.037,,424,0,
FOXE3,no,0.019,,216,0,
FOXF1,no,0.503,0.307,5762,3586,-0.713
FOXG1,no,0.051,0.01,584,122,-2.288
FOXI1,no,0.046,0.033,522,386,-0.464
FOXJ1,no,0.279,0.282,3196,3297,0.016
FOXJ2,no,2.657,3.175,30428,37099,0.257
FOXL2,no,0.092,0.053,1055,620,-0.796
FOXM1,no,0.45,0.243,5159,2838,-0.891
FOXN1,no,0.019,0.016,219,185,-0.272
FOXO1,no,6.409,6.11,73403,71398,-0.069
FOXO3,no,14.004,9.691,160388,113235,-0.531
FOXO4,no,2.192,1.981,25102,23143,-0.146
FOXP1,no,4.356,5.357,49894,62590,0.298
FOXP2,no,1.086,1.249,12440,14589,0.201
FOXP3,no,0.043,0.033,488,383,-0.378
FOXP4,no,7.399,7.095,84742,82898,-0.061
FOXRED1,no,3.631,5.081,41591,59371,0.485
FPR1,no,0.751,0.982,8596,11474,0.388
FPR2,no,0.223,0.127,2558,1486,-0.812
FRA10AC1,no,4.959,10.988,56798,128387,1.148
FRAS1,no,5.61,5.523,64250,64533,-0.023
FREM1,no,1.632,1.386,18693,16191,-0.236
FREM2,no,2.864,1.196,32806,13971,-1.26
FRMD6,no,2.294,2.774,26277,32409,0.274
FRMD7,no,0.034,,391,0,
FRZB,no,0.603,0.641,6904,7485,0.088
FSCN1,no,2.087,2.471,23905,28869,0.243
FSHR,no,0.032,,361,0,
FSIP1,no,0.282,0.206,3235,2412,-0.452
FST,no,0.158,0.147,1810,1720,-0.102
FSTL1,no,8.714,5.426,99799,63396,-0.684
FSTL3,no,3.874,3.282,44368,38349,-0.239
FTO,no,5.262,5.552,60263,64878,0.078
FUBP3,no,7.3,7.25,83609,84720,-0.01
FUCA1,no,4.735,4.577,54234,53483,-0.049
FURIN,no,18.017,23.844,206347,278609,0.404
FUS,no,9.255,12.992,105996,151810,0.489
FUT2,no,1.145,1.12,13110,13091,-0.031
FUT3,no,3.062,2.884,35074,33694,-0.087
FUT4,no,3.995,3.115,45759,36396,-0.359
FUT7,no,0.046,0.036,527,424,-0.343
FUT8,no,4.548,4.153,52091,48524,-0.131
FXR2,no,4.997,5.303,57236,61967,0.086
FXYD7,no,0.048,0.022,546,258,-1.11
FYN,no,2.617,3.046,29968,35596,0.219
FZD1,no,2.307,2.319,26425,27097,0.007
FZD10,no,0.219,0.068,2508,797,-1.683
FZD3,no,3.336,2.892,38204,33796,-0.206
FZD4,no,4.318,5.094,49450,59526,0.239
FZD6,no,2.997,2.472,34325,28887,-0.278
FZD9,no,0.083,0.099,955,1157,0.248
FZR1,no,2.81,3.256,32178,38047,0.213
G6PD,no,3.457,3.789,39591,44272,0.132
GAA,no,14.603,13.344,167253,155919,-0.13
GAB1,no,2.825,3.16,32349,36919,0.162
GAB2,no,1.279,1.862,14649,21762,0.542
GABBR1,no,2.63,4.209,30119,49186,0.679
GABBR2,no,0.064,0.011,737,134,-2.488
GABRA1,no,0.029,,329,0,
GABRA2,no,0.127,0.058,1451,676,-1.131
GABRA3,no,0.031,,350,0,
GABRA4,no,0.068,0.045,780,526,-0.597
GABRA5,no,0.035,0.034,396,393,-0.04
GABRA6,no,0.038,,440,0,
GABRB2,no,0.083,0.026,950,307,-1.659
GABRB3,no,1.421,1.407,16270,16443,-0.014
GABRD,no,0.054,0.02,616,237,-1.407
GABRG1,no,0.085,0.024,974,278,-1.838
GABRG2,no,0.105,0.071,1201,829,-0.564
GABRG3,no,0.032,,363,0,
GABRP,no,0.092,0.057,1058,663,-0.703
GABRQ,no,0.027,,307,0,
GABRR3,no,0.055,,626,0,
GAD1,no,0.087,0.093,995,1092,0.105
GAD2,no,0.478,0.274,5475,3197,-0.805
GADD45A,no,5.886,3.406,67415,39799,-0.789
GADD45G,no,3.816,3.375,43710,39432,-0.178
GAGE1,no,0.032,,362,0,
GAL,no,0.647,0.813,7406,9497,0.33
GALE,no,3.083,2.999,35313,35037,-0.04
GALK1,no,4.426,4.98,50695,58191,0.17
GALNS,no,0.92,1.121,10539,13102,0.285
GALP,no,0.042,,482,0,
GALR1,no,0.103,0.029,1179,341,-1.819
GANAB,no,36.575,37.107,418889,433584,0.021
GANC,no,1.525,1.89,17465,22086,0.31
GAP43,no,0.207,0.052,2370,604,-2.001
GART,no,9.743,9.477,111590,110737,-0.04
GAS2L1,no,1.53,1.619,17526,18920,0.082
GAS6,no,12.655,15.47,144941,180761,0.29
GATA1,no,0.019,0.012,217,142,-0.641
GATA2,no,2.307,4.203,26419,49109,0.866
GATA3,no,0.061,0.054,703,631,-0.185
GATA4,no,8.05,8.864,92197,103568,0.139
GATA6,no,14.105,17.883,161546,208963,0.342
GBA,no,4.006,5.144,45880,60101,0.361
GBE1,no,5.408,4.875,61942,56968,-0.15
GBF1,no,9.443,9.746,108154,113881,0.046
GBP1,no,1.566,1.712,17936,20005,0.129
GBP5,no,0.171,0.427,1964,4993,1.317
GBX2,no,0.041,,470,0,
GCGR,no,0.09,0.044,1035,513,-1.042
GCH1,no,3.808,2.234,43608,26101,-0.769
GCKR,no,0.36,0.532,4128,6222,0.563
GCLM,no,5.397,4.686,61812,54757,-0.204
GCM1,no,0.062,0.015,707,170,-2.085
GCN1,no,10.903,11.563,124872,135116,0.085
GCNT2,no,1.452,1.296,16634,15138,-0.165
GCNT4,no,1.864,1.686,21352,19698,-0.145
GDA,no,1.144,0.706,13106,8248,-0.697
GDF11,no,0.967,0.944,11076,11030,-0.035
GDF15,no,3.439,2.825,39392,33008,-0.284
GDF2,no,0.026,0.01,300,113,-1.438
GDF3,no,0.015,,175,0,
GDF5,no,0.029,,328,0,
GDF6,no,0.336,0.203,3846,2372,-0.726
GDF7,no,0.443,0.121,5069,1419,-1.866
GDF9,yes,0.091,0.041,1037,484,-1.128
GDNF,no,0.053,0.041,608,477,-0.379
GFPT1,no,19.465,19.522,222933,228104,0.004
GGT1,no,3.597,3.886,41191,45408,0.112
GH1,no,0.036,,416,0,
GHITM,no,13.882,12.149,158990,141959,-0.192
GHR,no,0.575,0.596,6584,6967,0.053
GHSR,no,0.132,0.073,1514,852,-0.858
GIGYF1,no,7.579,10.787,86800,126046,0.509
GIMAP4,no,2.742,3.991,31408,46633,0.541
GIMAP5,no,1.227,2.262,14057,26427,0.882
GIMAP8,no,1.106,2.371,12671,27704,1.1
GIPC1,no,5.05,4.955,57838,57892,-0.028
GIPC2,no,11.147,12.583,127667,147024,0.175
GJA1,no,3.263,2.296,37370,26826,-0.507
GJA5,yes,0.274,0.172,3139,2014,-0.669
GJB1,no,2.173,2.316,24887,27058,0.092
GJB6,no,0.064,,732,0,
GJC1,no,0.209,0.294,2399,3438,0.49
GKN1,no,0.023,,260,0,
GLA,no,3.206,2.975,36718,34758,-0.108
GLB1,no,12.326,12.196,141169,142504,-0.015
GLCCI1,no,1.149,1.306,13155,15255,0.185
GLDN,no,2.022,2.236,23159,26130,0.145
GLI1,no,0.09,0.069,1029,807,-0.38
GLI2,no,0.118,0.119,1354,1395,0.014
GLI3,no,0.844,1.038,9672,12133,0.298
GLIPR2,no,1.222,1.198,13995,13998,-0.029
GLOD4,no,6.879,7.857,78782,91805,0.192
GLP1R,no,1.796,3.361,20570,39277,0.904
