source,subpanel,gene,subtype_hint,evidence,detection_pct_r1,detection_pct_r2,det_max,specificity_flag
thymus,12_thymic_DC_myeloid,C5AR1,,cellxgene,0.66,1.128,1.128,
thymus,12_thymic_DC_myeloid,CCL18,,cellxgene,2.623,2.624,2.624,
thymus,12_thymic_DC_myeloid,CCR1,,cellxgene,1.834,1.363,1.834,
thymus,12_thymic_DC_myeloid,CCR2,monocyte,both,0.517,1.124,1.124,
thymus,12_thymic_DC_myeloid,CD14,,both,9.338,7.875,9.338,
thymus,12_thymic_DC_myeloid,CD163,,both,7.615,3.747,7.615,
thymus,12_thymic_DC_myeloid,CD1C,DC,both,0.317,0.346,0.346,
thymus,12_thymic_DC_myeloid,CD1D,,cellxgene,0.501,0.829,0.829,
thymus,12_thymic_DC_myeloid,CD33,,both,0.355,0.489,0.489,
thymus,12_thymic_DC_myeloid,CD68,,both,6.485,4.861,6.485,
thymus,12_thymic_DC_myeloid,CD84,,cellxgene,2.38,2.282,2.38,
thymus,12_thymic_DC_myeloid,CD86,,cellxgene,1.293,0.775,1.293,
thymus,12_thymic_DC_myeloid,CIITA,,cellxgene,8.247,9.514,9.514,
thymus,12_thymic_DC_myeloid,CLEC10A,DC,both,0.278,0.549,0.549,
thymus,12_thymic_DC_myeloid,CLEC12A,,cellxgene,0.631,0.642,0.642,
thymus,12_thymic_DC_myeloid,CLEC4A,,cellxgene,1.299,1.456,1.456,
thymus,12_thymic_DC_myeloid,CLEC4C,pDC,both,0.124,0.215,0.215,
thymus,12_thymic_DC_myeloid,CLEC7A,,cellxgene,1.161,1.018,1.161,
thymus,12_thymic_DC_myeloid,CLEC9A,DC,both,0.887,0.918,0.918,
thymus,12_thymic_DC_myeloid,CPVL,,cellxgene,2.183,1.58,2.183,
thymus,12_thymic_DC_myeloid,CSF1R,,both,1.777,1.562,1.777,
thymus,12_thymic_DC_myeloid,CSF2RB,,cellxgene,1.762,2.063,2.063,
thymus,12_thymic_DC_myeloid,CXCL16,,cellxgene,1.532,2.027,2.027,
thymus,12_thymic_DC_myeloid,FCER1A,DC,both,0.089,0.129,0.129,
thymus,12_thymic_DC_myeloid,FCGR1A,,both,0.1,0.142,0.142,
thymus,12_thymic_DC_myeloid,FCGR2A,,cellxgene,3.617,3.735,3.735,
thymus,12_thymic_DC_myeloid,FCGR2B,,cellxgene,0.528,0.484,0.528,
thymus,12_thymic_DC_myeloid,FCN1,monocyte,both,0.098,0.826,0.826,
thymus,12_thymic_DC_myeloid,FLT3,DC,both,0.692,0.377,0.692,
thymus,12_thymic_DC_myeloid,FOLR2,,cellxgene,0.828,0.85,0.85,
thymus,12_thymic_DC_myeloid,FPR1,,cellxgene,0.242,0.472,0.472,
thymus,12_thymic_DC_myeloid,GRN,,cellxgene,15.849,8.832,15.849,
thymus,12_thymic_DC_myeloid,IL17RA,,cellxgene,4.789,3.637,4.789,
thymus,12_thymic_DC_myeloid,IL1B,,cellxgene,0.144,0.243,0.243,
thymus,12_thymic_DC_myeloid,IL3RA,pDC,both,0.868,1.123,1.123,
thymus,12_thymic_DC_myeloid,IQGAP1,,cellxgene,7.697,5.988,7.697,
thymus,12_thymic_DC_myeloid,IRF7,pDC,both,2.109,1.854,2.109,
thymus,12_thymic_DC_myeloid,IRF8,DC,both,3.139,2.725,3.139,
thymus,12_thymic_DC_myeloid,ITGAM,,both,0.905,1.456,1.456,
thymus,12_thymic_DC_myeloid,ITGAX,,both,1.332,1.826,1.826,
thymus,12_thymic_DC_myeloid,LGALS9,,cellxgene,4.807,3.037,4.807,
thymus,12_thymic_DC_myeloid,LILRA4,pDC,both,0.317,0.44,0.44,
thymus,12_thymic_DC_myeloid,LILRB1,,cellxgene,0.518,0.813,0.813,
thymus,12_thymic_DC_myeloid,LILRB3,,cellxgene,0.268,0.412,0.412,
thymus,12_thymic_DC_myeloid,LILRB4,,cellxgene,0.445,0.813,0.813,
thymus,12_thymic_DC_myeloid,MAN2B1,,cellxgene,9.38,6.244,9.38,
thymus,12_thymic_DC_myeloid,MARCO,macrophage,both,1.31,0.534,1.31,
thymus,12_thymic_DC_myeloid,MERTK,macrophage,both,3.016,2.567,3.016,
thymus,12_thymic_DC_myeloid,MRC1,macrophage,both,3.535,2.99,3.535,
thymus,12_thymic_DC_myeloid,MSR1,macrophage,both,4.237,4.103,4.237,
thymus,12_thymic_DC_myeloid,MYD88,,cellxgene,3.966,3.207,3.966,
thymus,12_thymic_DC_myeloid,NAAA,,cellxgene,3.353,3.108,3.353,
thymus,12_thymic_DC_myeloid,NCF2,,cellxgene,1.758,1.886,1.886,
thymus,12_thymic_DC_myeloid,NR4A3,,cellxgene,0.193,0.278,0.278,
thymus,12_thymic_DC_myeloid,PLA2G7,,cellxgene,1.693,1.859,1.859,
thymus,12_thymic_DC_myeloid,PLEKHO1,,cellxgene,7.796,5.375,7.796,
thymus,12_thymic_DC_myeloid,PLP2,,cellxgene,6.417,6.17,6.417,
thymus,12_thymic_DC_myeloid,PLSCR1,,cellxgene,2.116,2.472,2.472,
thymus,12_thymic_DC_myeloid,PNPLA6,,cellxgene,3.751,2.739,3.751,
thymus,12_thymic_DC_myeloid,S1PR3,,cellxgene,0.805,0.755,0.805,
thymus,12_thymic_DC_myeloid,SERPINB9,,cellxgene,2.588,2.251,2.588,
