source,subpanel,gene,lineage_hint,cl_terms
thymus,04_thymic_specialized_TEC,EPS8L3,TEC,enterocyte of epithelium of small intestine;tuft cell;intestinal tuft cell;intestinal epithelial cell;epithelial cell of large intestine;epithelial cell of small intestine
thymus,04_thymic_specialized_TEC,EYA1,TEC,ependymal cell;neuroendocrine cell;chromaffin cell
thymus,04_thymic_specialized_TEC,FAM131C,TEC,pulmonary ionocyte;ionocyte
thymus,04_thymic_specialized_TEC,FEV,TEC,neuroendocrine cell;chromaffin cell;type EC enteroendocrine cell;pancreatic A cell;type L enteroendocrine cell;intestinal enteroendocrine cell
thymus,04_thymic_specialized_TEC,FOXA2,TEC,pulmonary neuroendocrine cell;pancreatic PP cell;large intestine goblet cell;colon goblet cell;PP cell
thymus,04_thymic_specialized_TEC,FOXP4,TEC,pulmonary neuroendocrine cell
thymus,04_thymic_specialized_TEC,FURIN,TEC,acinar cell of salivary gland;tuft cell;intestinal tuft cell;tuft cell of colon
thymus,04_thymic_specialized_TEC,GABRP,TEC,lung goblet cell;glandular secretory epithelial cell;goblet cell;respiratory tract goblet cell;tracheal goblet cell;tuft cell
thymus,04_thymic_specialized_TEC,HES6,TEC,pulmonary neuroendocrine cell;intestine goblet cell;colon goblet cell;small intestine goblet cell;paneth cell;brush cell of trachea
thymus,04_thymic_specialized_TEC,ICA1,TEC,pulmonary neuroendocrine cell
thymus,04_thymic_specialized_TEC,IGSF8,TEC,pulmonary neuroendocrine cell
thymus,04_thymic_specialized_TEC,IL13RA1,TEC,tuft cell;intestinal tuft cell;tuft cell of colon
thymus,04_thymic_specialized_TEC,IL17RB,TEC,tuft cell;intestinal tuft cell;tuft cell of colon
thymus,04_thymic_specialized_TEC,IL7,TEC,neuroendocrine cell;chromaffin cell
thymus,04_thymic_specialized_TEC,INPPL1,TEC,pulmonary ionocyte;ionocyte
thymus,04_thymic_specialized_TEC,ITPRID2,TEC,type EC enteroendocrine cell;pulmonary ionocyte;acinar cell of salivary gland;ionocyte
thymus,04_thymic_specialized_TEC,KCNH6,TEC,pulmonary neuroendocrine cell
thymus,04_thymic_specialized_TEC,LIPG,TEC,tuft cell;intestinal tuft cell
thymus,04_thymic_specialized_TEC,MELTF,TEC,paneth cell;tuft cell;intestinal tuft cell
thymus,04_thymic_specialized_TEC,MUC16,TEC,epithelial cell;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;corneal epithelial cell;pulmonary ionocyte;lung goblet cell
thymus,04_thymic_specialized_TEC,MUC5AC,TEC,epithelial cell;pulmonary ionocyte;lung goblet cell;glandular secretory epithelial cell;goblet cell;respiratory tract goblet cell
thymus,04_thymic_specialized_TEC,MYO1B,TEC,intrahepatic cholangiocyte;pulmonary alveolar type 1 cell;hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;intestinal tuft cell
thymus,04_thymic_specialized_TEC,NIPSNAP1,TEC,pulmonary neuroendocrine cell
thymus,04_thymic_specialized_TEC,NKX2-1,TEC,neuroendocrine cell;pulmonary neuroendocrine cell;epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell;pulmonary alveolar type 2 cell
thymus,04_thymic_specialized_TEC,NUDT16L1,TEC,pulmonary neuroendocrine cell
thymus,04_thymic_specialized_TEC,PCBD1,TEC,pulmonary neuroendocrine cell;type B pancreatic cell;pancreatic A cell
thymus,04_thymic_specialized_TEC,PCSK1,TEC,neuroendocrine cell;chromaffin cell;type EC enteroendocrine cell;pancreatic endocrine cell;type B pancreatic cell;pancreatic D cell
thymus,04_thymic_specialized_TEC,PIK3CG,TEC,tuft cell;intestinal tuft cell;tuft cell of colon
thymus,04_thymic_specialized_TEC,PLCG2,TEC,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;tuft cell
thymus,04_thymic_specialized_TEC,PPP1R1B,TEC,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;intestinal crypt stem cell of colon;large intestine goblet cell;colon goblet cell;enteroendocrine cell of colon
thymus,04_thymic_specialized_TEC,PYGB,TEC,pulmonary ionocyte;epithelial cell of sweat gland;ionocyte
thymus,04_thymic_specialized_TEC,RET,TEC,pulmonary neuroendocrine cell
thymus,04_thymic_specialized_TEC,RPRM,TEC,neuroendocrine cell;pulmonary neuroendocrine cell;mesothelial cell;granulosa cell;ovarian surface epithelial cell
thymus,04_thymic_specialized_TEC,SCG2,TEC,type EC enteroendocrine cell;pulmonary neuroendocrine cell;pancreatic endocrine cell;type B pancreatic cell;pancreatic A cell;pancreatic D cell
thymus,04_thymic_specialized_TEC,SCG5,TEC,type EC enteroendocrine cell;pulmonary neuroendocrine cell;pancreatic endocrine cell;type B pancreatic cell;pancreatic A cell;pancreatic D cell
thymus,04_thymic_specialized_TEC,SCGN,TEC,neuroendocrine cell;type EC enteroendocrine cell;pulmonary neuroendocrine cell;pancreatic endocrine cell;type B pancreatic cell;pancreatic A cell
thymus,04_thymic_specialized_TEC,SCNN1A,TEC,pulmonary ionocyte;small intestine goblet cell;ionocyte
thymus,04_thymic_specialized_TEC,SCNN1G,TEC,duct epithelial cell;kidney collecting duct epithelial cell;kidney collecting duct principal cell;basal epithelial cell of prostatic duct;renal principal cell;pulmonary ionocyte
thymus,04_thymic_specialized_TEC,SLC6A2,TEC,neuroendocrine cell;chromaffin cell
thymus,04_thymic_specialized_TEC,ST14,TEC,pulmonary ionocyte;paneth cell of epithelium of small intestine;ionocyte
thymus,04_thymic_specialized_TEC,STAP1,TEC,kidney collecting duct intercalated cell;renal intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;ionocyte
thymus,04_thymic_specialized_TEC,TMPRSS11E,TEC,pulmonary ionocyte;bronchial goblet cell;brush cell of bronchus;ionocyte
thymus,04_thymic_specialized_TEC,TMPRSS13,TEC,pulmonary ionocyte;ionocyte
thymus,04_thymic_specialized_TEC,TMTC3,TEC,pulmonary ionocyte;ionocyte
thymus,04_thymic_specialized_TEC,TOX,TEC,neuroendocrine cell;chromaffin cell
thymus,04_thymic_specialized_TEC,TPH1,TEC,neuroendocrine cell;chromaffin cell;type EC enteroendocrine cell;pulmonary neuroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of small intestine
