gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
SCARB1,,,no,ENSG00000073060,"Scavenger receptor class B member 1 (SRB1) (CD36 and LIMPII analogous 1) (CLA-1) (CD36 antigen-like 1) (Collagen type I receptor, thrombospondin receptor-like 1) (SR-BI) (CD antigen CD36)",Cell membrane,glandular epithelial cell;cortical cell of adrenal gland;sympathetic neuron,,1.641,1.262,1.641,7614,3049,-0.379,HALLMARK,Hypoxia,True
SDC2,,,no,ENSG00000169439,Syndecan-2 (SYND2) (Fibroglycan) (Heparan sulfate proteoglycan core protein) (HSPG) (CD antigen CD362),Membrane,renal beta-intercalated cell;pancreatic PP cell;PP cell;endosteal cell;muscle cell;smooth muscle cell;bronchial smooth muscle cell;pancreatic stellate cell;osteoblast;theca cell,ANGPTL;MK;PTN;ADGRA,0.625,0.86,0.86,2902,2078,0.459,HALLMARK,Hypoxia,False
SDC3,,,no,ENSG00000162512,Syndecan-3 (SYND3),Cell membrane,,ANGPTL;PTN,2.998,4.483,4.483,13912,10834,0.58,HALLMARK,Hypoxia,True
SDC4,,,no,ENSG00000124145,Syndecan-4 (SYND4) (Amphiglycan) (Ryudocan core protein),Secreted,duct epithelial cell;pancreatic ductal cell;luminal epithelial cell of mammary gland;myoepithelial cell;myoepithelial cell of mammary gland;mammary gland epithelial cell;serous cell of epithelium of trachea,ANGPTL;MK;PTN;COLLAGEN;FN1;THBS;TENASCIN,2.202,1.691,2.202,10218,4087,-0.381,HALLMARK,Hypoxia,True
SELENBP1,,,no,ENSG00000143416,Methanethiol oxidase (MTO),Nucleus,intestinal crypt stem cell;intestinal crypt stem cell of large intestine;intestinal crypt stem cell of colon;enterocyte of epithelium of large intestine;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;respiratory goblet cell;tracheal goblet cell;erythrocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte;erythroblast;primitive red blood cell;transit amplifying cell of colon,,0.622,0.619,0.622,2887,1496,-0.007,HALLMARK,Hypoxia,True
SERPINE1,,,no,ENSG00000106366,Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;myometrial cell;connective tissue cell;fibroblast;fibroblast of lung;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;mesothelial fibroblast,,0.242,0.171,0.242,1125,413,-0.504,HALLMARK,Hypoxia,False
SLC25A1,,,no,ENSG00000100075,"Tricarboxylate transport protein, mitochondrial (Citrate transport protein) (CTP) (Mitochondrial citrate carrier) (CIC) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein)",Mitochondrion inner membrane,,,3.754,2.826,3.754,17424,6830,-0.41,HALLMARK,Hypoxia,True
SLC2A1,,,no,ENSG00000117394,"Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)",Cell membrane,cerebral cortex endothelial cell;trophoblast giant cell;extravillous trophoblast;placental villous trophoblast;syncytiotrophoblast cell;erythrocyte;enucleate erythrocyte;erythroid lineage cell;reticulocyte;Mueller cell;fibroblast,,3.209,1.723,3.209,14892,4165,-0.897,HALLMARK,Hypoxia,False
SLC2A3,,,no,ENSG00000059804,"Solute carrier family 2, facilitated glucose transporter member 3 (Glucose transporter type 3, brain) (GLUT-3)",Cell membrane,anterior lens cell;vasa recta ascending limb cell;retinal blood vessel endothelial cell;gut endothelial cell;granulocyte;neutrophil;liver dendritic cell;B-1b B cell;T follicular helper cell;group 2 innate lymphoid cell,,2.576,2.647,2.647,11953,6397,0.039,HALLMARK,Hypoxia,False
SLC37A4,,,no,ENSG00000137700,Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19),Endoplasmic reticulum membrane,,,0.969,0.885,0.969,4497,2138,-0.131,HALLMARK,Hypoxia,True
