gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
CFH,,,no,ENSG00000000971,Complement factor H (H factor 1),Secreted,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;parietal epithelial cell;keratocyte;hepatic stellate cell;skin fibroblast;mesothelial fibroblast;chondrocyte;inflammatory cell,,1.348,1.149,1.348,6254,2778,-0.229,HALLMARK,Interferon Gamma Response,False
CIITA,,,no,ENSG00000179583,MHC class II transactivator (CIITA),Nucleus,professional antigen presenting cell;dendritic cell;CD141-positive myeloid dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell,,8.247,9.514,9.514,38273,22993,0.206,HALLMARK,Interferon Gamma Response,False
CMKLR1,,,no,ENSG00000174600,Chemerin-like receptor 1 (Chemokine-like receptor 1) (G-protein coupled receptor ChemR23) (G-protein coupled receptor DEZ),Cell membrane,immature innate lymphoid cell,CHEMERIN,1.936,1.724,1.936,8986,4166,-0.168,HALLMARK,Interferon Gamma Response,False
CSF2RB,,,no,ENSG00000100368,Cytokine receptor common subunit beta (CDw131) (GM-CSF/IL-3/IL-5 receptor common beta subunit) (CD antigen CD131),Membrane,follicular dendritic cell;granulocyte;basophil;eosinophil;plasmacytoid dendritic cell;basophil mast progenitor cell,IL4,1.762,2.063,2.063,8178,4987,0.228,HALLMARK,Interferon Gamma Response,False
CXCL10,,,no,ENSG00000169245,C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Small-inducible cytokine B10),Secreted,medullary thymic epithelial cell;early T lineage precursor,CXCL,0.492,0.691,0.691,2285,1669,0.488,HALLMARK,Interferon Gamma Response,False
CXCL11,,,no,ENSG00000169248,C-X-C motif chemokine 11 (Beta-R1) (H174) (Interferon gamma-inducible protein 9) (IP-9) (Interferon-inducible T-cell alpha chemoattractant) (I-TAC) (Small-inducible cytokine B11),Secreted,medullary thymic epithelial cell,CXCL,0.114,0.252,0.252,527,609,1.15,HALLMARK,Interferon Gamma Response,False
CXCL9,,,no,ENSG00000138755,C-X-C motif chemokine 9 (Gamma-interferon-induced monokine) (Monokine induced by interferon-gamma) (HuMIG) (MIG) (Small-inducible cytokine B9),Secreted,medullary thymic epithelial cell,CXCL,1.315,1.382,1.382,6102,3341,0.072,HALLMARK,Interferon Gamma Response,False
DDX58,,,no,ENSG00000107201,RNA helicase,Cytoplasm,,,1.893,2.019,2.019,8786,4879,0.093,HALLMARK,Interferon Gamma Response,True
EIF2AK2,,,no,ENSG00000055332,"Interferon-induced, double-stranded RNA-activated protein kinase",Cytoplasm,"activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human",,3.569,3.153,3.569,16563,7620,-0.179,HALLMARK,Interferon Gamma Response,False
FAS,,,no,ENSG00000026103,Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95),Secreted,basal cell of prostate epithelium;medullary thymic epithelial cell,FASLG,2.323,1.828,2.323,10781,4418,-0.346,HALLMARK,Interferon Gamma Response,False
FCGR1A,,,no,ENSG00000150337,High affinity immunoglobulin gamma Fc receptor I (IgG Fc receptor I) (Fc-gamma RI) (FcRI) (Fc-gamma RIA) (FcgammaRIa) (CD antigen CD64),Cell membrane,phagocyte;macrophage;microglial cell;Hofbauer cell;classical monocyte;immature neutrophil;professional antigen presenting cell;myeloid leukocyte;mast cell;mucosal type mast cell;myeloid cell,,0.1,0.142,0.142,465,344,0.506,HALLMARK,Interferon Gamma Response,False
FPR1,,,no,ENSG00000171051,fMet-Leu-Phe receptor (fMLP receptor) (N-formyl peptide receptor) (FPR) (N-formylpeptide chemoattractant receptor),Cell membrane,"phagocyte;macrophage;alveolar macrophage;microglial cell;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;blood cell;granulocyte;neutrophil;immature neutrophil;leukocyte;professional antigen presenting cell;myeloid leukocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;myeloid cell",ANNEXIN;TAFA;CTSG,0.242,0.472,0.472,1125,1140,0.96,HALLMARK,Interferon Gamma Response,False
