gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
LTB4R2,,,no,True,ENSG00000213906,Leukotriene B4 receptor 2 (LTB4-R 2) (LTB4-R2) (LTB4 receptor JULF2) (Leukotriene B4 receptor BLT2) (Seven transmembrane receptor BLTR2),Cell membrane,,CysLTs;12oxoLTB5,3.571,3.315,3.571,16571,8011,-0.107
LTBR,,,no,True,ENSG00000111321,Tumor necrosis factor receptor superfamily member 3 (Lymphotoxin-beta receptor) (Tumor necrosis factor C receptor) (Tumor necrosis factor receptor 2-related protein) (Tumor necrosis factor receptor type III) (TNF-RIII) (TNFR-III),Membrane,,LT;LIGHT,2.855,3.281,3.281,13250,7930,0.201
MAP3K14,,,no,True,ENSG00000006062,Mitogen-activated protein kinase kinase kinase 14,Cytoplasm,,,2.2,1.412,2.2,10212,3412,-0.64
NFKB2,,,no,True,ENSG00000077150,Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (H2TF1) (Lymphocyte translocation chromosome 10 protein) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) (Oncogene Lyt-10) (Lyt10),Nucleus;Cytoplasm,medullary thymic epithelial cell;IgG memory B cell;group 2 innate lymphoid cell,,4.79,5.174,5.174,22228,12504,0.111
RELB,,,no,True,ENSG00000104856,Transcription factor RelB (I-Rel),Nucleus,luminal epithelial cell of mammary gland;medullary thymic epithelial cell;follicular dendritic cell;fibroblast of mammary gland,,1.712,1.957,1.957,7944,4729,0.193
TNFRSF11A,,,no,True,ENSG00000141655,Tumor necrosis factor receptor superfamily member 11A (Osteoclast differentiation factor receptor) (ODFR) (Receptor activator of NF-KB) (CD antigen CD265),Cell membrane,,RANKL,1.294,0.871,1.294,6005,2106,-0.57
TNFRSF11B,,,no,True,ENSG00000164761,Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin),Secreted,kidney loop of Henle thin ascending limb epithelial cell;parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell,RANKL,0.313,0.216,0.313,1452,522,-0.535
TNFRSF14,,,no,True,ENSG00000157873,Tumor necrosis factor receptor superfamily member 14 (Herpes virus entry mediator A) (Herpesvirus entry mediator A) (HveA) (Tumor necrosis factor receptor-like 2) (TR2) (CD antigen CD270),Cell membrane,,LT;LIGHT;BTLA;CD160,7.006,6.948,7.006,32516,16793,-0.012
TNFRSF1A,,,no,True,ENSG00000067182,Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a),Cell membrane,mesothelial cell of pleura;follicular dendritic cell,TNF;LT,3.164,3.399,3.399,14684,8216,0.104
TNFRSF1B,,,no,True,ENSG00000028137,Tumor necrosis factor receptor superfamily member 1B (Tumor necrosis factor receptor 2) (TNF-R2) (Tumor necrosis factor receptor type II) (TNF-RII) (TNFR-II) (p75) (p80 TNF-alpha receptor) (CD antigen CD120b) (Etanercept),Secreted,"phagocyte;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;peripheral blood mononuclear cell;myeloid cell",TNF;LT,3.059,2.532,3.059,14197,6119,-0.273
TNFSF11,,,no,True,ENSG00000120659,Tumor necrosis factor ligand superfamily member 11 (Osteoclast differentiation factor) (ODF) (Osteoprotegerin ligand) (OPGL) (Receptor activator of nuclear factor kappa-B ligand) (RANKL) (TNF-related activation-induced cytokine) (TRANCE) (CD antigen CD254),Secreted,group 3 innate lymphoid cell,RANKL,0.183,0.141,0.183,851,341,-0.378
TNFSF14,,,no,True,ENSG00000125735,Tumor necrosis factor ligand superfamily member 14 (Herpes virus entry mediator ligand) (HVEM-L) (Herpesvirus entry mediator ligand) (CD antigen CD258),Cytoplasm,"T-helper 1 cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;group 3 innate lymphoid cell",LIGHT,0.169,0.633,0.633,786,1531,1.903
TRAF3,,,no,True,ENSG00000131323,TNF receptor-associated factor 3,Cytoplasm,,,1.299,1.014,1.299,6028,2451,-0.357
TRAF6,,,no,True,ENSG00000175104,TNF receptor-associated factor 6,Cytoplasm,,,1.613,1.487,1.613,7484,3593,-0.117
