gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
CD28,,,no,True,ENSG00000178562,T-cell-specific surface glycoprotein CD28 (TP44) (CD antigen CD28),Membrane,"T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature T cell;regulatory T cell;cytotoxic T cell;intraepithelial lymphocyte;DN4 thymocyte;double negative T regulatory cell",CD80;CD86;ICOS,3.111,4.378,4.378,14436,10581,0.493
CD3E,,,no,True,ENSG00000198851,T-cell surface glycoprotein CD3 epsilon chain (T-cell surface antigen T3/Leu-4 epsilon chain) (CD antigen CD3e),Cell membrane,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 2 cell;T-helper 22 cell;T follicular helper cell;naive thymus-derived CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;regulatory T cell;naive T cell;exhausted T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;double negative T regulatory cell",,33.355,24.568,33.355,154796,59377,-0.441
CD3G,,,no,True,ENSG00000160654,T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g),Cell membrane,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;T-helper 2 cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta cytotoxic T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;DN3 thymocyte;double negative T regulatory cell;DN1 thymic pro-T cell",,4.184,3.243,4.184,19418,7837,-0.368
CD4,,,no,True,ENSG00000010610,T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4),Cell membrane,"macrophage;colon macrophage;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;lymphocyte;T cell;T-helper 1 cell;T follicular helper cell;effector memory CD4-positive, alpha-beta T cell;regulatory T cell;cytotoxic T cell",IL16;MHC-II,11.554,6.913,11.554,53620,16707,-0.741
CD5,,,no,True,ENSG00000110448,T-cell surface glycoprotein CD5 (Lymphocyte antigen T1/Leu-1) (CD antigen CD5),Cell membrane,"mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 22 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;memory T cell;regulatory T cell;DN4 thymocyte;double negative T regulatory cell",,5.523,5.293,5.523,25632,12792,-0.061
CD70,,,no,True,ENSG00000125726,CD70 antigen (CD27 ligand) (CD27-L) (Tumor necrosis factor ligand superfamily member 7) (CD antigen CD70),Membrane,medullary thymic epithelial cell;CD4-positive helper T cell;T-helper 17 cell;regulatory T cell;exhausted T cell,CD70,0.914,0.532,0.914,4244,1285,-0.782
CD79A,,,no,True,ENSG00000105369,B-cell antigen receptor complex-associated protein alpha chain (Ig-alpha) (MB-1 membrane glycoprotein) (Membrane-bound immunoglobulin-associated protein) (Surface IgM-associated protein) (CD antigen CD79a),Cell membrane,hematopoietic cell;leukocyte;professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1a B cell;B-1b B cell;follicular B cell;germinal center B cell;plasmablast;mononuclear cell;lymphocyte;regulatory T cell;B cell;immature B cell;precursor B cell;small pre-B-II cell;large pre-B-II cell;pre-B-I cell;late pro-B cell;transitional stage B cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;early lymphoid progenitor,,8.313,4.721,8.313,38581,11409,-0.816
CDKN1B,,,no,True,ENSG00000111276,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1),Nucleus;Cytoplasm;Endosome,"CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte",,11.379,10.381,11.379,52808,25090,-0.132
CTLA4,,,no,True,ENSG00000163599,Cytotoxic T-lymphocyte protein 4 (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD antigen CD152),Cell membrane,"CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;CD4-positive, alpha-beta memory T cell;effector CD4-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;regulatory T cell;DN3 thymocyte;DN4 thymocyte;double negative T regulatory cell",CD80;CD86;ICOS,3.159,1.655,3.159,14659,3999,-0.933
CXCR3,,,no,True,ENSG00000186810,C-X-C chemokine receptor type 3 (CXC-R3) (CXCR-3) (CKR-L2) (G protein-coupled receptor 9) (Interferon-inducible protein 10 receptor) (IP-10 receptor) (CD antigen CD183),Cell membrane,"plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mature gamma-delta T cell;regulatory T cell;exhausted T cell",CXCL,1.154,0.571,1.154,5357,1380,-1.015
