gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
FGFR4,,,no,ENSG00000160867,Fibroblast growth factor receptor 4 (FGFR-4),Cell membrane,pulmonary interstitial fibroblast;fibroblast of lung,FGF,0.077,0.102,0.102,359,246,0.396,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
FLT3,,,no,ENSG00000122025,Receptor-type tyrosine-protein kinase FLT3,Membrane,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;dendritic cell;plasmacytoid dendritic cell, human;CD141-positive myeloid dendritic cell;conventional dendritic cell;hematopoietic multipotent progenitor cell;subcutaneous fat cell",FLT3,0.692,0.377,0.692,3211,912,-0.875,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
FLT3LG,,,no,ENSG00000090554,Fms-related tyrosine kinase 3 ligand (Flt3 ligand) (Flt3L) (SL cytokine),Secreted,"leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T-helper 22 cell;T follicular helper cell;naive thymus-derived CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;naive thymus-derived CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;central memory CD8-positive, alpha-beta T cell;mucosal invariant T cell;mature T cell;memory T cell;regulatory T cell;naive T cell;exhausted T cell;group 2 innate lymphoid cell",,2.997,3.893,3.893,13907,9410,0.378,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
FNTA,,,no,ENSG00000168522,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,,,,3.806,3.346,3.806,17661,8087,-0.186,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
FOXO1,,,no,ENSG00000150907,Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma),Cytoplasm,renal beta-intercalated cell;endothelial cell of pericentral hepatic sinusoid;skeletal muscle fiber;cell of skeletal muscle;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,4.399,3.376,4.399,20416,8159,-0.382,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
FOXO3,,,no,ENSG00000118689,Forkhead box protein O3 (AF6q21 protein) (Forkhead in rhabdomyosarcoma-like 1),Cytoplasm,tongue muscle cell;skeletal muscle fibroblast;erythroid lineage cell,,3.615,1.334,3.615,16777,3224,-1.438,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
FYN,,,no,ENSG00000010810,Tyrosine-protein kinase Fyn,Cytoplasm,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;immature natural killer cell;DN1 thymic pro-T cell;brown preadipocyte;fibro/adipogenic progenitor cell,,5.017,3.562,5.017,23282,8609,-0.494,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
GDNF,,,no,ENSG00000168621,Glial cell line-derived neurotrophic factor (hGDNF) (Astrocyte-derived trophic factor) (ATF),Secreted,mesangial cell,GDNF,0.046,0.102,0.102,213,246,1.149,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
GRB2,,,no,ENSG00000177885,Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2),Nucleus,inflammatory macrophage;hematopoietic cell;leukocyte;conventional dendritic cell;intermediate monocyte,,11.697,11.184,11.697,54287,27030,-0.065,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
GRIN2B,,,no,ENSG00000273079,"Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B) (N-methyl-D-aspartate receptor subunit 3) (NR3) (hNR3)",Cell membrane,corneal endothelial cell;neural cell;neuron;inhibitory interneuron;stellate neuron;granule cell;neuronal brush cell;GABAergic neuron;glutamatergic neuron,Glutamate,0.027,,0.027,124,0,,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
