gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
AGER,,,no,ENSG00000204305,Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products),Cell membrane,epithelial cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;lung secretory cell,,1.469,1.037,1.469,6816,2507,-0.502,REACTOME,Signaling By Interleukins R-HSA-449147,True
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,4.956,3.876,4.956,23000,9367,-0.355,REACTOME,Signaling By Interleukins R-HSA-449147,True
ALOX15,,,no,ENSG00000161905,"Polyunsaturated fatty acid lipoxygenase ALOX15 (12/15-lipoxygenase) (Arachidonate 12-lipoxygenase, leukocyte-type) (12-LOX)",Cytoplasm,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of trachea;multi-ciliated epithelial cell;lung goblet cell;glandular epithelial cell;goblet cell;respiratory goblet cell;tracheal goblet cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;bronchial epithelial cell;erythroid lineage cell,,0.409,0.29,0.409,1897,700,-0.497,REACTOME,Signaling By Interleukins R-HSA-449147,False
ALOX5,,,no,ENSG00000012779,Polyunsaturated fatty acid 5-lipoxygenase,Cytoplasm,brush cell;intestinal tuft cell;tuft cell of colon;macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;basophil;eosinophil;Langerhans cell;B-1b B cell;mast cell,,2.944,2.156,2.944,13665,5210,-0.45,REACTOME,Signaling By Interleukins R-HSA-449147,False
ALPK1,,,no,ENSG00000073331,Alpha-protein kinase 1,Cytoplasm,,,1.917,1.693,1.917,8895,4092,-0.179,REACTOME,Signaling By Interleukins R-HSA-449147,True
ANXA2,,,no,ENSG00000182718,Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36),Secreted,basal cell of epithelium of bronchus;pancreatic ductal cell;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;bronchial epithelial cell;epithelial cell of urethra;conjunctival epithelial cell;T cell,,16.021,9.825,16.021,74352,23747,-0.705,REACTOME,Signaling By Interleukins R-HSA-449147,True
APP,,,no,ENSG00000142192,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II),Cell membrane,epithelial cell;lens epithelial cell;anterior lens cell;endothelial tip cell;kidney capillary endothelial cell;glomerular capillary endothelial cell;lung endothelial cell;type B pancreatic cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;kidney loop of Henle thin ascending limb epithelial cell;surface ectodermal cell,APP,17.331,11.755,17.331,80430,28411,-0.56,REACTOME,Signaling By Interleukins R-HSA-449147,False
BATF,,,no,ENSG00000156127,Basic leucine zipper transcriptional factor ATF-like (B-cell-activating transcription factor) (B-ATF) (SF-HT-activated gene 2 protein) (SFA-2),Nucleus,"duct epithelial cell;luminal epithelial cell of mammary gland;mammary gland epithelial cell;mast cell;CD4-positive helper T cell;T-helper 17 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;type I NK T cell;regulatory T cell;exhausted T cell;group 2 innate lymphoid cell",,2.356,1.408,2.356,10935,3402,-0.743,REACTOME,Signaling By Interleukins R-HSA-449147,False
BCL2,,,no,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,3.767,2.743,3.767,17483,6629,-0.458,REACTOME,Signaling By Interleukins R-HSA-449147,False
BCL2L1,,,no,ENSG00000171552,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),Mitochondrion inner membrane,erythrocyte;enucleate erythrocyte;reticulocyte;enucleated reticulocyte,,5.766,4.478,5.766,26759,10823,-0.365,REACTOME,Signaling By Interleukins R-HSA-449147,True
BCL6,,,no,ENSG00000113916,B-cell lymphoma 6 protein (BCL-6) (B-cell lymphoma 5 protein) (BCL-5) (Protein LAZ-3) (Zinc finger and BTB domain-containing protein 27) (Zinc finger protein 51),Nucleus,skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;white fat cell;subcutaneous fat cell;sebaceous gland cell,,1.846,1.746,1.846,8568,4221,-0.08,REACTOME,Signaling By Interleukins R-HSA-449147,False
BIRC5,,,no,ENSG00000089685,Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin),Cytoplasm,"double-positive, alpha-beta thymocyte;large pre-B-II cell",,0.559,0.511,0.559,2594,1234,-0.131,REACTOME,Signaling By Interleukins R-HSA-449147,False
BLNK,,,no,ENSG00000095585,B-cell linker protein (B-cell adapter containing a SH2 domain protein) (B-cell adapter containing a Src homology 2 domain protein) (Cytoplasmic adapter protein) (Src homology 2 domain-containing leukocyte protein of 65 kDa) (SLP-65),Cytoplasm,central nervous system macrophage;B-1a B cell;late pro-B cell;early lymphoid progenitor;pro-B cell;fraction A pre-pro B cell,,1.097,0.938,1.097,5091,2267,-0.226,REACTOME,Signaling By Interleukins R-HSA-449147,False
BTRC,,,no,ENSG00000166167,F-box/WD repeat-containing protein 1A (E3RSIkappaB) (Epididymis tissue protein Li 2a) (F-box and WD repeats protein beta-TrCP) (pIkappaBalpha-E3 receptor subunit),Cytoplasm,,,1.88,1.689,1.88,8727,4082,-0.155,REACTOME,Signaling By Interleukins R-HSA-449147,True
CANX,,,no,ENSG00000127022,Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90),Endoplasmic reticulum membrane,fallopian tube secretory epithelial cell;IgG plasmablast;IgA plasmablast;serous cell of epithelium of bronchus,,7.354,4.775,7.354,34127,11541,-0.623,REACTOME,Signaling By Interleukins R-HSA-449147,True
CASP1,,,no,ENSG00000137752,Caspase-1 (CASP-1),Cytoplasm,"classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell;transit amplifying cell of small intestine",,2.138,2.158,2.158,9923,5215,0.013,REACTOME,Signaling By Interleukins R-HSA-449147,False
CASP3,,,no,ENSG00000164305,Caspase-3 (CASP-3),Cytoplasm,"erythroid progenitor cell;erythroid progenitor cell, mammalian",,3.016,3.198,3.198,13998,7729,0.084,REACTOME,Signaling By Interleukins R-HSA-449147,False
CASP8,,,no,ENSG00000064012,Caspase-8 (CASP-8),Cytoplasm,"memory regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell",,3.354,2.655,3.354,15566,6418,-0.337,REACTOME,Signaling By Interleukins R-HSA-449147,False
CBL,,,no,ENSG00000110395,E3 ubiquitin-protein ligase CBL,Cytoplasm;Cell membrane;Cell projection,,,3.889,2.524,3.889,18049,6099,-0.624,REACTOME,Signaling By Interleukins R-HSA-449147,True
CCL11,,,no,ENSG00000172156,Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11),Secreted,,CCL,0.078,0.141,0.141,360,340,0.859,REACTOME,Signaling By Interleukins R-HSA-449147,True
CCL19,,,no,ENSG00000172724,C-C motif chemokine 19 (Beta-chemokine exodus-3) (CK beta-11) (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Macrophage inflammatory protein 3 beta) (MIP-3-beta) (Small-inducible cytokine A19),Secreted,epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;follicular dendritic cell;smooth muscle cell of prostate;connective tissue cell;fibroblast;fibroblast of lung;pericyte;mural cell;inflammatory cell,CCL,4.95,7.824,7.824,22972,18910,0.661,REACTOME,Signaling By Interleukins R-HSA-449147,False
CCL20,,,no,ENSG00000115009,C-C motif chemokine 20 (Beta-chemokine exodus-1) (CC chemokine LARC) (Liver and activation-regulated chemokine) (Macrophage inflammatory protein 3 alpha) (MIP-3-alpha) (Small-inducible cytokine A20),Secreted,epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;paneth cell;M cell of gut;club cell;epithelial cell of urethra;inflammatory macrophage;T-helper 1 cell;lung secretory cell,CCL,0.178,0.15,0.178,827,362,-0.251,REACTOME,Signaling By Interleukins R-HSA-449147,False
CCL22,,,no,ENSG00000102962,C-C motif chemokine 22 (CC chemokine STCP-1) (MDC(1-69)) (Macrophage-derived chemokine) (Small-inducible cytokine A22) (Stimulated T-cell chemotactic protein 1),Secreted,"Langerhans cell;myeloid dendritic cell, human;mature conventional dendritic cell;type I NK T cell",CCL,1.272,0.892,1.272,5903,2155,-0.512,REACTOME,Signaling By Interleukins R-HSA-449147,False
CCL5,,,no,,,,,,93.621,96.949,96.949,434488,234313,0.05,REACTOME,Signaling By Interleukins R-HSA-449147,True
CCND1,,,no,ENSG00000110092,G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene),Nucleus,glioblast;Schwann cell precursor;epithelial cell;type I pneumocyte;epithelial cell of uterus;epithelial cell of thymus;cortical thymic epithelial cell,,0.821,1.147,1.147,3809,2772,0.483,REACTOME,Signaling By Interleukins R-HSA-449147,False
CCR1,,,no,ENSG00000163823,C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (HM145) (LD78 receptor) (Macrophage inflammatory protein 1-alpha receptor) (MIP-1alpha-R) (RANTES-R) (CD antigen CD191),Cell membrane,phagocyte;elicited macrophage;alternatively activated macrophage;intermediate monocyte,CCL,1.834,1.363,1.834,8510,3293,-0.428,REACTOME,Signaling By Interleukins R-HSA-449147,False
CCR2,,,no,ENSG00000121807,C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192),Cell membrane,classical monocyte;IgG plasmablast;IgA plasmablast;monocyte,CCL,0.517,1.124,1.124,2401,2716,1.119,REACTOME,Signaling By Interleukins R-HSA-449147,False
CCR5,,,no,ENSG00000160791,C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CHEMR13) (HIV-1 fusion coreceptor) (CD antigen CD195),Cell membrane,,CCL,0.158,0.118,0.158,732,286,-0.415,REACTOME,Signaling By Interleukins R-HSA-449147,True
CD36,,,no,ENSG00000135218,Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36),Cell membrane,"vein endothelial cell;capillary endothelial cell;dermis microvascular lymphatic vessel endothelial cell;Hofbauer cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast;dendritic cell, human;erythroid lineage cell;erythroblast;fat cell;white fat cell;adipocyte of breast",THBS,2.591,2.569,2.591,12024,6209,-0.012,REACTOME,Signaling By Interleukins R-HSA-449147,False
CD4,,,no,ENSG00000010610,T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4),Cell membrane,"macrophage;colon macrophage;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;lymphocyte;T cell;T-helper 1 cell;T follicular helper cell;effector memory CD4-positive, alpha-beta T cell;regulatory T cell;cytotoxic T cell",IL16;MHC-II,11.554,6.913,11.554,53620,16707,-0.741,REACTOME,Signaling By Interleukins R-HSA-449147,False
CD80,,,no,ENSG00000121594,T-lymphocyte activation antigen CD80 (Activation B7-1 antigen) (BB1) (CTLA-4 counter-receptor B7.1) (B7) (CD antigen CD80),Membrane,,CD80,0.325,0.238,0.325,1509,575,-0.451,REACTOME,Signaling By Interleukins R-HSA-449147,False
CD86,,,no,ENSG00000114013,T-lymphocyte activation antigen CD86 (Activation B7-2 antigen) (B70) (BU63) (CTLA-4 counter-receptor B7.2) (FUN-1) (CD antigen CD86),Cell membrane,"phagocyte;macrophage;inflammatory macrophage;tissue-resident macrophage;colon macrophage;mononuclear phagocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;myeloid leukocyte;myeloid cell",CD86,1.293,0.775,1.293,6003,1874,-0.738,REACTOME,Signaling By Interleukins R-HSA-449147,False
CDC42,,,no,ENSG00000070831,Cell division control protein 42 homolog,Cell membrane,mast cell;mucosal type mast cell;peripheral blood mononuclear cell,,9.594,7.743,9.594,44523,18714,-0.309,REACTOME,Signaling By Interleukins R-HSA-449147,True
