gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
HERC2,,,no,ENSG00000128731,E3 ubiquitin-protein ligase HERC2,Cytoplasm;Cytoplasm,,,5.42,5.615,5.615,25156,13570,0.051,KEGG,Ubiquitin mediated proteolysis,True
HUWE1,,,no,ENSG00000086758,E3 ubiquitin-protein ligase HUWE1,Cytoplasm,Sertoli cell,,6.666,6.033,6.666,30938,14580,-0.144,KEGG,Ubiquitin mediated proteolysis,True
ITCH,,,no,ENSG00000078747,E3 ubiquitin-protein ligase Itchy homolog (Itch),Cell membrane,preadipocyte,,5.147,4.62,5.147,23887,11167,-0.156,KEGG,Ubiquitin mediated proteolysis,True
KEAP1,,,no,ENSG00000079999,Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19),Cytoplasm,,,1.359,0.725,1.359,6306,1752,-0.906,KEGG,Ubiquitin mediated proteolysis,True
KLHL13,,,no,ENSG00000003096,Kelch-like protein 13 (BTB and kelch domain-containing protein 2),,kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney cortex tubule cell;kidney loop of Henle epithelial cell;mesangial cell,,0.26,0.292,0.292,1205,705,0.168,KEGG,Ubiquitin mediated proteolysis,True
MAP3K1,,,no,ENSG00000095015,Mitogen-activated protein kinase kinase kinase 1,,kidney loop of Henle thin descending limb epithelial cell,,3.843,3.254,3.843,17833,7865,-0.24,KEGG,Ubiquitin mediated proteolysis,True
MDM2,,,no,ENSG00000135679,E3 ubiquitin-protein ligase Mdm2,Nucleus,,,5.812,4.051,5.812,26974,9790,-0.521,KEGG,Ubiquitin mediated proteolysis,True
NEDD4,,,no,ENSG00000069869,E3 ubiquitin-protein ligase NEDD4,Cytoplasm,skeletal muscle fiber;slow muscle cell;fast muscle cell;cell of skeletal muscle,,1.495,1.057,1.495,6936,2554,-0.5,KEGG,Ubiquitin mediated proteolysis,True
NEDD4L,,,no,ENSG00000049759,E3 ubiquitin-protein ligase NEDD4-like,Cytoplasm,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;luminal cell of prostate epithelium;retinal pigment epithelial cell;papillary tips cell;lung secretory cell,,0.577,0.422,0.577,2679,1020,-0.452,KEGG,Ubiquitin mediated proteolysis,True
PIAS1,,,no,,,,,,6.804,5.413,6.804,31578,13082,-0.33,KEGG,Ubiquitin mediated proteolysis,True
