gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
SMAD2,,,no,ENSG00000175387,Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (JV18-1) (Mad-related protein 2) (hMAD-2) (SMAD family member 2) (SMAD 2) (Smad2) (hSMAD2),Cytoplasm,non-pigmented ciliary epithelial cell,,3.998,4.083,4.083,18556,9869,0.03,HALLMARK,PI3K/AKT/mTOR  Signaling,True
SQSTM1,,,no,ENSG00000161011,Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62),Cytoplasm,intestinal crypt stem cell of large intestine;pancreatic PP cell;PP cell;epithelial cell of urethra;mature conventional dendritic cell,,6.789,5.997,6.789,31508,14493,-0.179,HALLMARK,PI3K/AKT/mTOR  Signaling,False
STAT2,,,no,ENSG00000170581,Signal transducer and activator of transcription 2 (p113),Cytoplasm,,,8.025,4.894,8.025,37241,11829,-0.713,HALLMARK,PI3K/AKT/mTOR  Signaling,True
TBK1,,,no,ENSG00000183735,Serine/threonine-protein kinase TBK1,Cytoplasm,,,1.983,1.697,1.983,9204,4102,-0.225,HALLMARK,PI3K/AKT/mTOR  Signaling,True
TIAM1,,,no,ENSG00000156299,Rho guanine nucleotide exchange factor TIAM1 (T-lymphoma invasion and metastasis-inducing protein 1) (TIAM-1),Cell junction;Cell membrane,corneal epithelial cell;retina horizontal cell;cerebellar granule cell,,2.313,2.627,2.627,10734,6349,0.184,HALLMARK,PI3K/AKT/mTOR  Signaling,True
TNFRSF1A,,,no,ENSG00000067182,Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a),Cell membrane,mesothelial cell of pleura;follicular dendritic cell,TNF;LT,3.164,3.399,3.399,14684,8216,0.104,HALLMARK,PI3K/AKT/mTOR  Signaling,False
TRAF2,,,no,ENSG00000127191,TNF receptor-associated factor 2,Cytoplasm,,,3.063,2.302,3.063,14216,5564,-0.412,HALLMARK,PI3K/AKT/mTOR  Signaling,True
TRIB3,,,no,ENSG00000101255,Tribbles homolog 3 (TRB-3) (Neuronal cell death-inducible putative kinase) (SINK) (p65-interacting inhibitor of NF-kappa-B),Nucleus,myoepithelial cell;myoepithelial cell of mammary gland,,0.399,0.477,0.477,1851,1152,0.257,HALLMARK,PI3K/AKT/mTOR  Signaling,True
TSC2,,,no,ENSG00000103197,Tuberin (Tuberous sclerosis 2 protein),Cytoplasm;Membrane,,,8.875,5.588,8.875,41190,13505,-0.668,HALLMARK,PI3K/AKT/mTOR  Signaling,True
UBE2D3,,,no,ENSG00000109332,Ubiquitin-conjugating enzyme E2 D3,Cell membrane,myeloid leukocyte,,9.511,9.854,9.854,44140,23815,0.051,HALLMARK,PI3K/AKT/mTOR  Signaling,False
VAV3,,,no,ENSG00000134215,Guanine nucleotide exchange factor VAV3 (VAV-3),,kidney distal convoluted tubule epithelial cell,,1.825,1.451,1.825,8471,3507,-0.331,HALLMARK,PI3K/AKT/mTOR  Signaling,True
